  Te(eV)   rho/rho0  Ne_b  Ne_quasi  Ne_sc     Z_bar    Rc       mu      nu_mom    nu_tot     sigma      k_th       L       G   
1.000e-01   1.000  10.000   0.000 3.000e+00 3.000e+00  0.514   +2.889e-01 1.607e-02 9.550e-02 1.074e+00 1.299e-02  3.293 1.713e-08 
2.000e-01   1.000  10.000   0.000 3.000e+00 3.000e+00  0.517   +3.292e-01 1.455e-02 7.732e-02 1.062e+00 2.592e-02  3.321 2.510e-08 
5.000e-01   1.000  10.000   0.000 3.000e+00 3.000e+00  0.518   +3.308e-01 1.410e-02 7.276e-02 1.113e+00 6.950e-02  3.399 2.533e-08 
1.000e+00   1.000  10.000   0.000 3.000e+00 3.000e+00  0.521   +3.314e-01 1.352e-02 6.448e-02 1.228e+00 1.422e-01  3.153 2.608e-08 
2.000e+00   1.000  10.000   0.000 3.000e+00 3.000e+00  0.525   +3.273e-01 1.493e-02 5.904e-02 1.248e+00 2.216e-01  2.417 3.186e-08 
5.000e+00   1.000  10.000   0.000 3.005e+00 3.005e+00  0.533   +2.585e-01 2.399e-02 5.507e-02 1.081e+00 2.968e-01  1.494 6.148e-08 
1.000e+01   1.000   9.932   0.000 3.068e+00 3.068e+00  0.538   +7.439e-03 4.736e-02 7.723e-02 7.355e-01 3.585e-01  1.327 1.238e-07 
2.000e+01   1.000   9.108   0.000 3.892e+00 3.892e+00  0.513   -6.921e-01 1.087e-01 2.016e-01 2.711e-01 5.186e-01  2.602 2.779e-07 
5.000e+01   1.000   6.893   0.000 6.107e+00 6.107e+00  0.486   -3.522e+00 2.712e-01 5.574e-01 2.203e-01 1.425e+00  3.520 6.410e-07 
1.000e+02   1.000   4.599   0.000 8.401e+00 8.401e+00  0.397   -9.565e+00 2.722e-01 5.968e-01 4.190e-01 5.618e+00  3.649 8.146e-07 
2.000e+02   1.000   2.876   0.000 1.012e+01 1.012e+01  0.267   -2.501e+01 2.474e-01 7.606e-01 9.042e-01 2.474e+01  3.722 7.491e-07 
5.000e+02   1.000   0.852   0.000 1.215e+01 1.215e+01  0.212   -8.493e+01 1.636e-01 9.597e-01 2.147e+00 1.168e+02  2.960 4.634e-07 
1.000e+03   1.000   0.118   0.000 1.288e+01 1.288e+01  0.326   -2.046e+02 9.960e-02 1.034e+00 5.593e+00 4.152e+02  2.020 2.608e-07 
