# Ichimaru 1993 https://journals.aps.org/rmp/pdf/10.1103/RevModPhys.65.255
# Γ11=20 
r/a      g11(r)
4.568e-1 -7.476e-4
8.042e-1 1.074e-2
9.491e-1 1.073e-1
1.045e+0 2.891e-1
1.173e+0 6.802e-1
1.248e+0 9.446e-1
1.332e+0 1.157e+0
1.402e+0 1.297e+0
1.444e+0 1.344e+0
1.489e+0 1.385e+0
1.535e+0 1.396e+0
1.621e+0 1.364e+0
1.700e+0 1.303e+0
1.782e+0 1.223e+0
1.894e+0 1.130e+0
2.063e+0 9.925e-1
2.270e+0 9.240e-1
2.406e+0 9.214e-1
2.720e+0 9.604e-1
3.010e+0 9.966e-1
3.262e+0 1.005e+0
