# Diaw & Murillo 2016 DOI: http://dx.doi.org/10.3847/0004-637X/829/1/16
# Γ11=20.8 κ=0
r/a       g12(r)
1.195e+0 8.569e-3
1.334e+0 4.638e-2
1.388e+0 1.090e-1
1.432e+0 1.735e-1
1.461e+0 2.514e-1
1.495e+0 3.229e-1
1.519e+0 3.942e-1
1.537e+0 4.638e-1
1.562e+0 5.454e-1
1.587e+0 6.282e-1
1.607e+0 7.134e-1
1.632e+0 7.882e-1
1.645e+0 8.566e-1
1.666e+0 9.251e-1
1.686e+0 9.951e-1
1.724e+0 1.112e+0
1.690e+0 1.043e+0
1.742e+0 1.202e+0
1.788e+0 1.303e+0
1.844e+0 1.387e+0
2.007e+0 1.402e+0
2.125e+0 1.332e+0
2.205e+0 1.236e+0
2.254e+0 1.178e+0
2.338e+0 1.118e+0
2.409e+0 1.050e+0
2.503e+0 9.983e-1
2.670e+0 9.448e-1
2.823e+0 9.286e-1
2.986e+0 9.380e-1
3.148e+0 9.670e-1
3.311e+0 9.923e-1
3.474e+0 1.007e+0
3.637e+0 1.014e+0
3.800e+0 1.021e+0
3.928e+0 1.020e+0
