r[σ]         g_ii        
 4.94860e+00  2.09631e-03
 4.98553e+00  2.21946e-03
 5.02246e+00  2.25774e-03
 5.05939e+00  2.21611e-03
 5.09632e+00  2.10337e-03
 5.13325e+00  1.93142e-03
 5.17018e+00  1.71438e-03
 5.20711e+00  1.46758e-03
 5.24404e+00  1.20667e-03
 5.28097e+00  9.46690e-04
 5.31790e+00  7.01251e-04
 5.35483e+00  4.81899e-04
 5.39176e+00  2.97615e-04
 5.42869e+00  1.54532e-04
 5.46562e+00  5.58448e-05
 5.50255e+00  1.91278e-06
 5.53948e+00 -9.47777e-06
 5.57641e+00  1.72778e-05
 5.61334e+00  7.60830e-05
 5.65027e+00  1.59668e-04
 5.68720e+00  2.60127e-04
 5.72413e+00  3.69434e-04
 5.76106e+00  4.79903e-04
 5.79799e+00  5.84585e-04
 5.83492e+00  6.77567e-04
 5.87185e+00  7.54196e-04
 5.90878e+00  8.11201e-04
 5.94571e+00  8.46728e-04
 5.98264e+00  8.60304e-04
 6.01957e+00  8.52720e-04
 6.05650e+00  8.25869e-04
 6.09343e+00  7.82533e-04
 6.13036e+00  7.26152e-04
 6.16729e+00  6.60568e-04
 6.20422e+00  5.89783e-04
 6.24115e+00  5.17719e-04
 6.27808e+00  4.48011e-04
 6.31501e+00  3.83832e-04
 6.35194e+00  3.27756e-04
 6.38887e+00  2.81673e-04
 6.42580e+00  2.46741e-04
 6.46273e+00  2.23397e-04
 6.49966e+00  2.11391e-04
 6.53659e+00  2.09874e-04
 6.57352e+00  2.17497e-04
 6.61045e+00  2.32537e-04
 6.64738e+00  2.53032e-04
 6.68430e+00  2.76913e-04
 6.72123e+00  3.02128e-04
 6.75816e+00  3.26762e-04
 6.79509e+00  3.49125e-04
 6.83202e+00  3.67824e-04
 6.86895e+00  3.81816e-04
 6.90588e+00  3.90428e-04
 6.94281e+00  3.93359e-04
 6.97974e+00  3.90658e-04
 7.01667e+00  3.82693e-04
 7.05360e+00  3.70094e-04
 7.09053e+00  3.53694e-04
 7.12746e+00  3.34465e-04
 7.16439e+00  3.13452e-04
 7.20132e+00  2.91703e-04
 7.23825e+00  2.70215e-04
 7.27518e+00  2.49883e-04
 7.31211e+00  2.31457e-04
 7.34904e+00  2.15516e-04
 7.38597e+00  2.02453e-04
 7.42290e+00  1.92467e-04
 7.45983e+00  1.85574e-04
 7.49676e+00  1.81618e-04
 7.53369e+00  1.80302e-04
 7.57062e+00  1.81212e-04
 7.60755e+00  1.83856e-04
 7.64448e+00  1.87695e-04
 7.68141e+00  1.92179e-04
 7.71834e+00  1.96779e-04
 7.75527e+00  2.01015e-04
 7.79220e+00  2.04476e-04
 7.82913e+00  2.06838e-04
 7.86606e+00  2.07873e-04
 7.90299e+00  2.07453e-04
 7.93992e+00  2.05547e-04
 7.97685e+00  2.02215e-04
 8.01378e+00  1.97591e-04
 8.05071e+00  1.91877e-04
 8.08764e+00  1.85316e-04
 8.12457e+00  1.78181e-04
 8.16150e+00  1.70755e-04
 8.19843e+00  1.63312e-04
 8.23536e+00  1.56106e-04
 8.27229e+00  1.49358e-04
 8.30922e+00  1.43243e-04
 8.34615e+00  1.37889e-04
 8.38308e+00  1.33375e-04
 8.42001e+00  1.29724e-04
 8.45694e+00  1.26915e-04
 8.49387e+00  1.24885e-04
 8.53080e+00  1.23534e-04
 8.56773e+00  1.22738e-04
 8.60466e+00  1.22355e-04
 8.64159e+00  1.22238e-04
 8.67852e+00  1.22240e-04
 8.71545e+00  1.22223e-04
 8.75238e+00  1.22066e-04
 8.78931e+00  1.21671e-04
 8.82624e+00  1.20963e-04
 8.86317e+00  1.19895e-04
 8.90010e+00  1.18445e-04
 8.93703e+00  1.16619e-04
 8.97396e+00  1.14443e-04
 9.01089e+00  1.11965e-04
 9.04782e+00  1.09244e-04
 9.08475e+00  1.06353e-04
 9.12168e+00  1.03366e-04
 9.15861e+00  1.00360e-04
 9.19554e+00  9.74060e-05
 9.23247e+00  9.45689e-05
 9.26940e+00  9.19017e-05
 9.30633e+00  8.94453e-05
 9.34326e+00  8.72266e-05
 9.38018e+00  8.52585e-05
 9.41711e+00  8.35405e-05
 9.45404e+00  8.20598e-05
 9.49097e+00  8.07930e-05
 9.52790e+00  7.97089e-05
 9.56483e+00  7.87703e-05
 9.60176e+00  7.79368e-05
 9.63869e+00  7.71676e-05
 9.67562e+00  7.64234e-05
 9.71255e+00  7.56687e-05
 9.74948e+00  7.48732e-05
 9.78641e+00  7.40130e-05
 9.82334e+00  7.30715e-05
 9.86027e+00  7.20395e-05
 9.89720e+00  7.09149e-05
 9.93413e+00  6.97021e-05
 9.97106e+00  6.84116e-05
 1.00080e+01  6.70582e-05
 1.00449e+01  6.56601e-05
 1.00819e+01  6.42375e-05
 1.01188e+01  6.28112e-05
 1.01557e+01  6.14015e-05
 1.01926e+01  6.00267e-05
 1.02296e+01  5.87030e-05
 1.02665e+01  5.74429e-05
 1.03034e+01  5.62554e-05
 1.03404e+01  5.51457e-05
 1.03773e+01  5.41151e-05
 1.04142e+01  5.31613e-05
 1.04512e+01  5.22790e-05
 1.04881e+01  5.14602e-05
 1.05250e+01  5.06951e-05
 1.05619e+01  4.99728e-05
 1.05989e+01  4.92818e-05
 1.06358e+01  4.86107e-05
 1.06727e+01  4.79490e-05
 1.07097e+01  4.72876e-05
 1.07466e+01  4.66188e-05
 1.07835e+01  4.59369e-05
