#TCCW 2 paper Fig6c e-conductivtiy for Al
T[eV]    σ[S/cm]
1.000e-2 1.019e+6
1.641e-2 1.128e+6
2.659e-2 6.631e+5
4.309e-2 4.219e+5
6.247e-2 8.006e+4
1.012e-1 9.170e+4
1.601e-1 6.459e+4
2.594e-1 3.972e+4
2.972e-1 3.241e+4
4.001e-1 3.278e+4
1.012e+0 1.282e+4
2.128e+0 1.701e+4
5.125e+0 1.023e+4
8.513e+0 7.710e+3
1.064e+1 6.582e+3
2.128e+1 5.191e+3
3.491e+1 6.291e+3
5.872e+1 8.067e+3
9.170e+1 1.095e+4
1.505e+2 1.590e+4
2.408e+2 2.585e+4
4.001e+2 4.251e+4
6.404e+2 6.912e+4
1.025e+3 9.486e+4
