Column1,Column2
0.1,130866563.48867227
0.10687951450190757,130809729.96577914
0.11423230620163467,130749810.66631451
0.12209093427263959,130686685.3574194
0.13049019780144022,130620236.21290754
0.13946728988275817,130550349.30179709
0.14906196231566,130476916.35039327
0.15931670162999376,130400761.62290485
0.17027691722259,130320076.10901389
0.18199114243631923,130235594.81775333
0.194511249472413,52058903.741583556
0.20789267908770925,52022012.754439935
0.22219468609395238,51983559.865298614
0.23748060174625377,51943552.09203954
0.25381811418260464,51902010.97255993
0.27127956815626525,51859330.99671983
0.28994228538828765,51814910.39920623
0.30988890695873705,51768527.217856064
0.33120775925276624,51721441.97355326
0.35399324508200336,51673257.37765134
0.3783462617131929,51624155.35570192
0.40437464765517717,51574361.83228144
0.4321936601826527,51524153.43042521
0.4619264857112433,51474633.49040959
0.49370478528390027,51424775.17396213
0.5276692775841177,51375137.089149535
0.563970362057628,51327388.76352679
0.602768784901843,51280836.9724432
0.6442363508721374,51237806.525532395
0.688556684056946,51198460.20626197
0.7359260409904974,51163830.87051009
0.7865541797037527,51136832.89348671
0.8406652885618325,51115616.087445945
0.8984989790009469,51102299.04095542
0.9603113465608082,51100398.625794284
1.0263761049109228,51111073.2709737
1.0969857978923836,51136712.29882659
1.1724530949422567,51179527.736377314
1.253112175636873,51241327.121929534
1.3393202094849808,51328243.55404273
1.4314589375234785,51442114.81246972
1.5299363627192586,51584214.95600064
1.6351885566624869,51760707.26581609
1.7476815905516152,51978300.27839576
1.8679135990207827,52238456.72996568
1.9964169859485206,52548913.5568431
2.1337607820153943,52910533.50990394
2.2805531644501604,53335796.755644076
2.4374441501222206,53826576.8370753
2.6051284739057756,54390568.09769071
2.7843486650614473,55032869.171630085
2.9758983352580186,55765584.5038856
3.180625692794119,57133021.61969097
3.3994372985812893,62174178.23628149
3.6333020805204432,67785544.9729716
3.883255624047955,74050732.0785568
4.150404757850477,81060051.00405043
4.435932455054661,88930296.3998122
4.741103071594969,97786073.55643219
5.067267944955729,107782434.47990924
5.415871378079474,119085554.97809476
5.7884570349391105,131900113.35747011
6.186674776094434,146480367.667902
6.61228796450171,163114216.6647308
7.067181273927491,182122197.3181372
7.553369034543427,203897127.29176223
8.07300415265744,228922312.83370385
8.628387644079107,257736429.95275432
9.221978823334327,290983772.91185004
9.856406193848459,329438752.9904949
10.534479087321177,373945326.68188703
11.259200103833853,425615372.695187
12.033778407775893,485645784.08414835
12.861643938466253,555482110.3834275
13.746462598396766,636857417.3127171
14.692152486352766,731789536.2007532
15.702901247293775,842629138.2791799
16.78318461582157,972158387.961655
17.93778623534893,1123671516.9455059
19.171818840730936,1301037986.5308158
20.49074689815846,1508826545.7287521
21.900410802566462,1752395784.3220875
23.407052739706348,2038070181.5002944
25.017344327403592,2373327333.5719104
26.738416158399467,2766970053.5918016
28.577889375596946,3229380226.4788857
30.543909419530234,3772814937.4405556
32.64518209749635,4411717431.612806
34.891012134067736,5163185458.263481
37.29134437369325,6047335809.663658
39.856807817837755,7087842912.179507
42.59876269166332,8312770894.78286
45.52935074866948,9755218114.73062
48.66154903604859,11454450883.496737
