r[Angstrom]  g(r)
2.879411911484863196e-01 0.000000000000000000e+00
5.758823822969726391e-01 0.000000000000000000e+00
8.638235734454591253e-01 0.000000000000000000e+00
1.151764764593945278e+00 0.000000000000000000e+00
1.439705955742431653e+00 0.000000000000000000e+00
1.727647146890918251e+00 0.000000000000000000e+00
2.015588338039404182e+00 2.034425260699634919e-06
2.303529529187890557e+00 1.608999497193508432e-05
2.591470720336376932e+00 7.439612504689674388e-02
2.879411911484863307e+00 5.703048214247833370e-01
3.167353102633349682e+00 9.226820122232914922e-01
3.455294293781836501e+00 1.028468434312758362e+00
3.743235484930322432e+00 1.044915535105605420e+00
4.031176676078808363e+00 1.038904881032025163e+00
4.319117867227294738e+00 1.029601000709212011e+00
4.607059058375781113e+00 1.021595359367704736e+00
4.895000249524268376e+00 1.015546726117661613e+00
5.182941440672753863e+00 1.011183712954042191e+00
5.470882631821240238e+00 1.008104993749674216e+00
5.758823822969726614e+00 1.005956410493437092e+00
6.046765014118212989e+00 1.004452001953709317e+00
6.334706205266699364e+00 1.003381610306080862e+00
6.622647396415186627e+00 1.002604279189804659e+00
6.910588587563673002e+00 1.002029111021020213e+00
7.198529778712158489e+00 1.001596931454014738e+00
7.486470969860644864e+00 1.001268326393078612e+00
7.774412161009131239e+00 1.001015685847358228e+00
8.062353352157616726e+00 1.000819499733820672e+00
8.350294543306103989e+00 1.000665850209567997e+00
8.638235734454589476e+00 1.000544597237444266e+00
8.926176925603076739e+00 1.000448184371216742e+00
9.214118116751562226e+00 1.000370974172074545e+00
9.502059307900049490e+00 1.000308760120213192e+00
9.790000499048536753e+00 1.000258416069790268e+00
1.007794169019702224e+01 1.000217402846682813e+00
1.036588288134550773e+01 1.000183761799988913e+00
1.065382407249399499e+01 1.000156019886079051e+00
1.094176526364248048e+01 1.000133035317316788e+00
1.122970645479096774e+01 1.000113885976998018e+00
1.151764764593945323e+01 1.000097846194690554e+00
1.180558883708794049e+01 1.000084366213969123e+00
1.209353002823642598e+01 1.000073034683332418e+00
1.238147121938491146e+01 1.000063454055754253e+00
1.266941241053339873e+01 1.000055302773480426e+00
1.295735360168188421e+01 1.000048342795299972e+00
1.324529479283037325e+01 1.000042383743223962e+00
1.353323598397885874e+01 1.000037256366962390e+00
1.382117717512734600e+01 1.000032822968623059e+00
1.410911836627583149e+01 1.000028987288606563e+00
1.439705955742431698e+01 1.000025682964608587e+00
1.468500074857280424e+01 1.000022818530640567e+00
1.497294193972128973e+01 1.000020317407445347e+00
1.526088313086977699e+01 1.000018128388334704e+00
1.554882432201826248e+01 1.000016210266954753e+00
1.583676551316674797e+01 1.000014520206518043e+00
1.612470670431523345e+01 1.000013022737314961e+00
1.641264789546372072e+01 1.000011699484082195e+00
1.670058908661220798e+01 1.000010542024245108e+00
1.698853027776069524e+01 1.000009521351526320e+00
1.727647146890917895e+01 1.000008612537423236e+00
1.756441266005766622e+01 1.000007802250123534e+00
1.785235385120615348e+01 1.000007080046614760e+00
1.814029504235464074e+01 1.000006431641331517e+00
1.842823623350312445e+01 1.000005845132623694e+00
1.871617742465161172e+01 1.000005318432461321e+00
1.900411861580009898e+01 1.000004853948266881e+00
1.929205980694858624e+01 1.000004439631926978e+00
1.958000099809707351e+01 1.000004064913246671e+00
1.986794218924555722e+01 1.000003725909359042e+00
2.015588338039404448e+01 1.000003419835181484e+00
2.044382457154253174e+01 1.000003140604603047e+00
2.073176576269101545e+01 1.000002883145379329e+00
2.101970695383950272e+01 1.000002648964278373e+00
2.130764814498798998e+01 1.000002442021137306e+00
2.159558933613647369e+01 1.000002256129358669e+00
2.188353052728496095e+01 1.000002085769842841e+00
2.217147171843344822e+01 1.000001929788236099e+00
2.245941290958193548e+01 1.000001787549205767e+00
2.274735410073042274e+01 1.000001655870569550e+00
2.303529529187890645e+01 1.000001532099531465e+00
2.332323648302739016e+01 1.000001418335219272e+00
2.361117767417588098e+01 1.000001318176795495e+00
2.389911886532436824e+01 1.000001227924814939e+00
2.418706005647285195e+01 1.000001144233124251e+00
2.447500124762133922e+01 1.000001066813770656e+00
2.476294243876982293e+01 1.000000995666163073e+00
2.505088362991831374e+01 1.000000928849699156e+00
2.533882482106679745e+01 1.000000864740896445e+00
2.562676601221528472e+01 1.000000805296426432e+00
2.591470720336376843e+01 1.000000753458549108e+00
2.620264839451225569e+01 1.000000706774587300e+00
2.649058958566074651e+01 1.000000663000143009e+00
2.677853077680923022e+01 1.000000622133554673e+00
2.706647196795771748e+01 1.000000584351058874e+00
2.735441315910620119e+01 1.000000548336831940e+00
2.764235435025469201e+01 1.000000512982902379e+00
2.793029554140317572e+01 1.000000479955543531e+00
2.821823673255166298e+01 1.000000451600680407e+00
2.850617792370014669e+01 1.000000426175992052e+00
2.879411911484863396e+01 1.000000402071348438e+00
2.908206030599712477e+01 1.000000379375457493e+00
2.937000149714560848e+01 1.000000358295445979e+00
2.965794268829409575e+01 1.000000337874779932e+00
2.994588387944257946e+01 1.000000317301287911e+00
3.023382507059106317e+01 1.000000297957896356e+00
3.052176626173955398e+01 1.000000281713234074e+00
3.080970745288804125e+01 1.000000267269850918e+00
3.109764864403652496e+01 1.000000253418105833e+00
3.138558983518501222e+01 1.000000240268031249e+00
3.167353102633349593e+01 1.000000228012024817e+00
3.196147221748198675e+01 1.000000215922163260e+00
3.224941340863046690e+01 1.000000203374818541e+00
3.253735459977895772e+01 1.000000191512288472e+00
3.282529579092744143e+01 1.000000181833829993e+00
3.311323698207592514e+01 1.000000173340036103e+00
3.340117817322441596e+01 1.000000165091967652e+00
3.368911936437289967e+01 1.000000157196432760e+00
3.397706055552139048e+01 1.000000149819426420e+00
3.426500174666987419e+01 1.000000142389529278e+00
3.455294293781835790e+01 1.000000134412862618e+00
3.484088412896684872e+01 1.000000126835905556e+00
3.512882532011533243e+01 1.000000120873380194e+00
3.541676651126381614e+01 1.000000115735866668e+00
3.570470770241230696e+01 1.000000110676618315e+00
3.599264889356079067e+01 1.000000105791257976e+00
