r[Angstrom]  g(r)
7.198529778712159377e-02 0.000000000000000000e+00
1.439705955742431875e-01 0.000000000000000000e+00
2.159558933613648091e-01 0.000000000000000000e+00
2.879411911484863751e-01 0.000000000000000000e+00
3.599264889356079689e-01 0.000000000000000000e+00
4.319117867227296181e-01 0.000000000000000000e+00
5.038970845098512674e-01 0.000000000000000000e+00
5.758823822969727502e-01 0.000000000000000000e+00
6.478676800840943439e-01 0.000000000000000000e+00
7.198529778712159377e-01 0.000000000000000000e+00
7.918382756583376425e-01 0.000000000000000000e+00
8.638235734454592363e-01 0.000000000000000000e+00
9.358088712325807190e-01 0.000000000000000000e+00
1.007794169019702535e+00 0.000000000000000000e+00
1.079779466806823907e+00 0.000000000000000000e+00
1.151764764593945500e+00 0.000000000000000000e+00
1.223750062381067316e+00 0.000000000000000000e+00
1.295735360168188688e+00 0.000000000000000000e+00
1.367720657955310282e+00 0.000000000000000000e+00
1.439705955742431875e+00 0.000000000000000000e+00
1.511691253529553469e+00 0.000000000000000000e+00
1.583676551316675285e+00 0.000000000000000000e+00
1.655661849103796879e+00 0.000000000000000000e+00
1.727647146890918473e+00 0.000000000000000000e+00
1.799632444678039844e+00 0.000000000000000000e+00
1.871617742465161438e+00 0.000000000000000000e+00
1.943603040252283254e+00 0.000000000000000000e+00
2.015588338039405070e+00 0.000000000000000000e+00
2.087573635826526441e+00 2.180151263742047263e-05
2.159558933613647813e+00 5.404647291451514235e-05
2.231544231400769629e+00 8.451051480162785623e-05
2.303529529187891001e+00 1.128896910130849918e-04
2.375514826975012816e+00 1.418279995246685132e-04
2.447500124762134632e+00 1.776437987163204113e-04
2.519485422549255560e+00 2.266378723482231905e-04
2.591470720336377376e+00 2.898053591372518056e-04
2.663456018123499192e+00 3.621644699185466720e-04
2.735441315910620563e+00 4.437426366628027807e-04
2.807426613697742379e+00 8.656477870194745350e-04
2.879411911484863751e+00 5.868259982398260632e-03
2.951397209271985567e+00 3.502359322286863197e-02
3.023382507059106938e+00 1.266392829891282990e-01
3.095367804846228310e+00 3.095324951069291508e-01
3.167353102633350570e+00 5.717142834865545087e-01
3.239338400420471942e+00 8.660372831012592698e-01
3.311323698207593758e+00 1.140372467294634706e+00
3.383308995994715129e+00 1.360239133994095351e+00
3.455294293781836945e+00 1.513404849943333907e+00
3.527279591568958317e+00 1.603674043150659978e+00
3.599264889356079689e+00 1.642689649563925824e+00
3.671250187143201504e+00 1.643948141288861242e+00
3.743235484930322876e+00 1.619620890202879693e+00
3.815220782717445136e+00 1.579387736438344181e+00
3.887206080504566508e+00 1.530366473861990206e+00
3.959191378291687435e+00 1.477501968280970468e+00
4.031176676078810139e+00 1.424067947591602046e+00
4.103161973865931067e+00 1.372127608041441960e+00
4.175147271653052883e+00 1.322902908209852457e+00
4.247132569440174699e+00 1.277049480323526609e+00
4.319117867227295626e+00 1.234852364884794662e+00
4.391103165014417442e+00 1.196361854861263119e+00
4.463088462801539258e+00 1.161485950420261037e+00
4.535073760588661074e+00 1.130051861869677765e+00
4.607059058375782001e+00 1.101845900999219197e+00
4.679044356162903817e+00 1.076638747497949522e+00
4.751029653950025633e+00 1.054200968729967158e+00
4.823014951737146561e+00 1.034311965705749348e+00
4.895000249524269265e+00 1.016764725851717621e+00
4.966985547311390192e+00 1.001368215199156753e+00
5.038970845098511120e+00 9.879483939000984760e-01
5.110956142885633824e+00 9.763482548776624137e-01
5.182941440672754752e+00 9.664271696113158061e-01
5.254926738459876567e+00 9.580598507102557893e-01
5.326912036246998383e+00 9.511351311867479730e-01
5.398897334034119311e+00 9.455546019771197130e-01
5.470882631821241127e+00 9.412312451618881637e-01
5.542867929608362942e+00 9.380882731150463893e-01
5.614853227395484758e+00 9.360581940053237515e-01
5.686838525182606574e+00 9.350819852685933187e-01
5.758823822969727502e+00 9.351082989402066392e-01
5.830809120756848429e+00 9.360926755032542568e-01
5.902794418543971133e+00 9.379965854553489191e-01
5.974779716331092949e+00 9.407856862936235798e-01
6.046765014118213877e+00 9.444262487602876899e-01
6.118750311905335693e+00 9.488786768761435786e-01
6.190735609692456620e+00 9.540879692405147550e-01
6.262720907479579324e+00 9.599729064531418166e-01
6.334706205266701140e+00 9.664175274764460477e-01
6.406691503053822068e+00 9.732686060521461568e-01
6.478676800840943883e+00 9.803410212867151863e-01
6.550662098628064811e+00 9.874302010594656620e-01
6.622647396415187515e+00 9.943287151468406249e-01
6.694632694202308443e+00 1.000843329935978243e+00
6.766617991989430259e+00 1.006809289504255078e+00
6.838603289776551186e+00 1.012099820838463504e+00
6.910588587563673890e+00 1.016630293874665636e+00
6.982573885350795706e+00 1.020357613457701262e+00
7.054559183137916634e+00 1.023276051168477530e+00
7.126544480925038449e+00 1.025410887843542840e+00
7.198529778712159377e+00 1.026811142372905161e+00
7.270515076499282081e+00 1.027542400496464392e+00
7.342500374286403009e+00 1.027680384329955343e+00
7.414485672073524825e+00 1.027305571756770952e+00
7.486470969860645752e+00 1.026498957720445082e+00
7.558456267647767568e+00 1.025338920716091895e+00
7.630441565434890272e+00 1.023899068603010054e+00
7.702426863222011200e+00 1.022246881086209092e+00
7.774412161009133015e+00 1.020442982025191236e+00
7.846397458796253943e+00 1.018540908954703061e+00
7.918382756583374871e+00 1.016587242015326575e+00
7.990368054370497575e+00 1.014621957146913056e+00
8.062353352157620279e+00 1.012678902376192402e+00
8.134338649944739430e+00 1.010786336838804367e+00
8.206323947731862134e+00 1.008967490920940069e+00
8.278309245518983062e+00 1.007241107079686282e+00
8.350294543306105766e+00 1.005621947601441191e+00
8.422279841093228470e+00 1.004121278961601416e+00
8.494265138880349397e+00 1.002747327635994612e+00
8.566250436667468549e+00 1.001505688511554748e+00
8.638235734454591253e+00 1.000399675888348661e+00
8.710221032241712180e+00 9.994306228176114137e-01
8.782206330028834884e+00 9.985981358566695665e-01
8.854191627815955812e+00 9.979003024547262735e-01
8.926176925603078516e+00 9.973338596915167775e-01
8.998162223390197667e+00 9.968943446487367188e-01
9.070147521177322147e+00 9.965762312906562004e-01
9.142132818964444851e+00 9.963730451890677742e-01
9.214118116751564003e+00 9.962774526782606221e-01
9.286103414538684930e+00 9.962813327529590479e-01
9.358088712325807634e+00 9.963758422963955308e-01
9.430074010112928562e+00 9.965514780518327509e-01
9.502059307900051266e+00 9.967981482455031683e-01
9.574044605687173970e+00 9.971052750226727657e-01
9.646029903474293121e+00 9.974619348303204180e-01
9.718015201261414049e+00 9.978570293136279634e-01
9.790000499048538529e+00 9.982794778869561458e-01
9.861985796835657681e+00 9.987184269109784518e-01
9.933971094622780384e+00 9.991634671347492391e-01
1.000595639240990131e+01 9.996048420017168423e-01
1.007794169019702224e+01 1.000033635673013288e+00
1.014992698798414672e+01 1.000441938279694298e+00
1.022191228577126765e+01 1.000822979743280827e+00
1.029389758355838680e+01 1.001171218561987875e+00
1.036588288134550950e+01 1.001482378769998016e+00
1.043786817913263043e+01 1.001753438828892451e+00
1.050985347691975313e+01 1.001982579654055350e+00
1.058183877470687406e+01 1.002169095686061384e+00
1.065382407249399677e+01 1.002313278886470149e+00
1.072580937028111947e+01 1.002416291711742291e+00
1.079779466806823862e+01 1.002480037288820736e+00
1.086977996585536310e+01 1.002507027113231697e+00
1.094176526364248225e+01 1.002500247649546816e+00
1.101375056142960318e+01 1.002463031620904443e+00
1.108573585921672588e+01 1.002398939105507703e+00
1.115772115700384681e+01 1.002311648065898453e+00
1.122970645479096952e+01 1.002204856847619618e+00
1.130169175257809222e+01 1.002082205369145385e+00
1.137367705036521315e+01 1.001947215047074957e+00
1.144566234815233230e+01 1.001803241429212399e+00
1.151764764593945500e+01 1.001653435001222059e+00
1.158963294372657593e+01 1.001500710118554460e+00
1.166161824151369686e+01 1.001347722641404703e+00
1.173360353930081956e+01 1.001196853043651469e+00
1.180558883708794227e+01 1.001050195063256876e+00
1.187757413487506142e+01 1.000909554003631463e+00
1.194955943266218590e+01 1.000776454126849568e+00
1.202154473044930505e+01 1.000652149774423849e+00
1.209353002823642775e+01 1.000537636664175611e+00
1.216551532602355223e+01 1.000433663585902577e+00
1.223750062381067139e+01 1.000340745640568407e+00
1.230948592159779231e+01 1.000259177001998623e+00
1.238147121938491324e+01 1.000189043785437271e+00
1.245345651717203594e+01 1.000130241167199507e+00
1.252544181495915865e+01 1.000082494810472733e+00
1.259742711274627780e+01 1.000045382756995505e+00
1.266941241053340228e+01 1.000018355193291963e+00
1.274139770832052143e+01 1.000000752803394954e+00
1.281338300610764414e+01 9.999918249813787297e-01
1.288536830389476506e+01 9.999907465338095935e-01
1.295735360168188777e+01 9.999966334295261605e-01
1.302933889946900869e+01 1.000008561128933771e+00
1.310132419725612962e+01 1.000025585490767588e+00
1.317330949504325055e+01 1.000046762909742926e+00
1.324529479283037503e+01 1.000071167347319934e+00
1.331728009061749418e+01 1.000097904711341190e+00
1.338926538840461689e+01 1.000126125578454817e+00
1.346125068619173604e+01 1.000155034986114133e+00
1.353323598397886052e+01 1.000183899745985094e+00
1.360522128176598144e+01 1.000212056212531397e+00
1.367720657955310237e+01 1.000238918670040666e+00
1.374919187734022685e+01 1.000263985584289417e+00
1.382117717512734778e+01 1.000286842089593620e+00
1.389316247291446693e+01 1.000307159345699359e+00
1.396514777070159141e+01 1.000324692067785293e+00
1.403713306848871056e+01 1.000339273517272254e+00
1.410911836627583327e+01 1.000350808715668505e+00
1.418110366406295419e+01 1.000359268664442691e+00
1.425308896185007690e+01 1.000364686052645835e+00
1.432507425963719960e+01 1.000367150263332228e+00
1.439705955742431875e+01 1.000366800514760124e+00
1.446904485521143968e+01 1.000363817724368110e+00
1.454103015299856416e+01 1.000358416364345526e+00
1.461301545078568331e+01 1.000350835661776960e+00
1.468500074857280602e+01 1.000341330738452994e+00
1.475698604635992517e+01 1.000330165974960606e+00
1.482897134414704965e+01 1.000317610819643432e+00
1.490095664193417235e+01 1.000303936113611680e+00
1.497294193972129150e+01 1.000289409608411839e+00
1.504492723750841598e+01 1.000274291196440846e+00
1.511691253529553514e+01 1.000258828701548142e+00
1.518889783308265606e+01 1.000243253599558901e+00
1.526088313086978054e+01 1.000227777031084342e+00
1.533286842865689970e+01 1.000212587914374840e+00
1.540485372644402240e+01 1.000197853299791273e+00
1.547683902423114155e+01 1.000183719106123803e+00
1.554882432201826603e+01 1.000170310094703696e+00
1.562080961980538873e+01 1.000157729449123067e+00
1.569279491759250789e+01 1.000146058676908645e+00
1.576478021537962881e+01 1.000135357265344416e+00
1.583676551316674974e+01 1.000125662361158518e+00
1.590875081095387245e+01 1.000116990050562649e+00
1.598073610874099515e+01 1.000109338282481053e+00
1.605272140652811430e+01 1.000102689836761982e+00
1.612470670431524056e+01 1.000097014357015368e+00
1.619669200210235971e+01 1.000092269729616845e+00
1.626867729988947886e+01 1.000088403485358546e+00
1.634066259767660512e+01 1.000085353767161456e+00
1.641264789546372427e+01 1.000083050046719935e+00
1.648463319325084697e+01 1.000081415021821352e+00
1.655661849103796612e+01 1.000080367661504877e+00
1.662860378882508883e+01 1.000079826062837851e+00
1.670058908661221153e+01 1.000079709260415450e+00
1.677257438439933068e+01 1.000079938230620913e+00
1.684455968218645694e+01 1.000080436769757775e+00
1.691654497997357609e+01 1.000081131806690893e+00
1.698853027776069879e+01 1.000081953389007738e+00
1.706051557554782150e+01 1.000082835571323603e+00
1.713250087333493710e+01 1.000083718193260252e+00
1.720448617112205980e+01 1.000084548375054672e+00
1.727647146890918251e+01 1.000085281038592289e+00
1.734845676669630521e+01 1.000085878679068063e+00
1.742044206448342436e+01 1.000086311017434282e+00
1.749242736227054706e+01 1.000086554179909326e+00
1.756441266005766977e+01 1.000086589657827041e+00
1.763639795784479247e+01 1.000086404061174328e+00
1.770838325563191162e+01 1.000085989770366668e+00
1.778036855341903433e+01 1.000085345351829469e+00
1.785235385120615703e+01 1.000084475211171053e+00
1.792433914899327974e+01 1.000083388663771888e+00
1.799632444678039533e+01 1.000082099028984040e+00
1.806830974456752159e+01 1.000080622403502817e+00
1.814029504235464429e+01 1.000078976371008288e+00
1.821228034014176345e+01 1.000077179517288029e+00
1.828426563792888970e+01 1.000075251797368558e+00
1.835625093571600530e+01 1.000073214782923436e+00
1.842823623350312801e+01 1.000071091315216432e+00
1.850022153129025071e+01 1.000068904701733263e+00
1.857220682907736986e+01 1.000066678014689181e+00
1.864419212686449256e+01 1.000064433167964006e+00
1.871617742465161527e+01 1.000062190013187857e+00
1.878816272243873797e+01 1.000059966186872984e+00
1.886014802022585712e+01 1.000057777710729345e+00
1.893213331801297983e+01 1.000055639518145245e+00
1.900411861580010253e+01 1.000053565440779391e+00
1.907610391358722168e+01 1.000051567815166242e+00
1.914808921137434794e+01 1.000049657161611982e+00
1.922007450916146709e+01 1.000047841712068175e+00
1.929205980694858624e+01 1.000046126935960622e+00
1.936404510473571250e+01 1.000044515708965243e+00
1.943603040252282810e+01 1.000043009153526397e+00
1.950801570030995080e+01 1.000041607340599326e+00
1.958000099809707706e+01 1.000040309511269543e+00
1.965198629588419621e+01 1.000039113924374501e+00
1.972397159367131536e+01 1.000038017743652752e+00
1.979595689145843807e+01 1.000037016795739531e+00
1.986794218924556077e+01 1.000036105287078980e+00
1.993992748703268347e+01 1.000035276095901704e+00
2.001191278481980262e+01 1.000034521593547332e+00
2.008389808260692533e+01 1.000033834323893700e+00
2.015588338039404448e+01 1.000033207201561636e+00
2.022786867818117074e+01 1.000032633391793269e+00
2.029985397596829344e+01 1.000032106190929859e+00
2.037183927375540904e+01 1.000031618767987185e+00
2.044382457154253530e+01 1.000031163909290699e+00
2.051580986932965445e+01 1.000030734221948325e+00
2.058779516711677360e+01 1.000030322803517002e+00
2.065978046490389985e+01 1.000029923748031901e+00
2.073176576269101901e+01 1.000029532229583573e+00
2.080375106047814171e+01 1.000029144283129945e+00
2.087573635826526086e+01 1.000028756591902157e+00
2.094772165605238357e+01 1.000028366176224148e+00
2.101970695383950627e+01 1.000027970075187955e+00
2.109169225162662897e+01 1.000027565455466227e+00
2.116367754941374812e+01 1.000027150118335761e+00
2.123566284720087083e+01 1.000026722857109140e+00
2.130764814498799353e+01 1.000026283433032903e+00
2.137963344277511624e+01 1.000025832303532702e+00
2.145161874056223894e+01 1.000025370359890919e+00
2.152360403834935809e+01 1.000024898596046929e+00
2.159558933613647724e+01 1.000024417801143262e+00
2.166757463392359995e+01 1.000023928627524539e+00
2.173955993171072620e+01 1.000023432016816649e+00
2.181154522949784180e+01 1.000022929479188472e+00
2.188353052728496451e+01 1.000022423057670196e+00
2.195551582507208721e+01 1.000021915047924148e+00
2.202750112285920636e+01 1.000021407777719418e+00
2.209948642064632907e+01 1.000020903308118214e+00
2.217147171843345177e+01 1.000020403197624974e+00
2.224345701622057447e+01 1.000019908587550521e+00
2.231544231400769362e+01 1.000019420603727616e+00
2.238742761179481633e+01 1.000018940616680840e+00
2.245941290958193903e+01 1.000018470222259426e+00
2.253139820736906174e+01 1.000018011014717434e+00
2.260338350515618444e+01 1.000017564400616177e+00
2.267536880294330004e+01 1.000017131385572799e+00
2.274735410073042630e+01 1.000016712397185481e+00
2.281933939851754900e+01 1.000016307408680083e+00
2.289132469630466460e+01 1.000015916326415955e+00
2.296330999409178730e+01 1.000015539232034234e+00
2.303529529187891001e+01 1.000015176379194237e+00
2.310728058966603271e+01 1.000014828010293400e+00
2.317926588745315186e+01 1.000014494206245885e+00
2.325125118524027812e+01 1.000014174713467652e+00
2.332323648302739372e+01 1.000013868828685926e+00
2.339522178081451997e+01 1.000013575534927313e+00
2.346720707860163913e+01 1.000013293846853779e+00
2.353919237638876183e+01 1.000013023037389592e+00
2.361117767417588453e+01 1.000012762622110918e+00
2.368316297196300368e+01 1.000012512190160407e+00
2.375514826975012284e+01 1.000012271278848175e+00
2.382713356753724909e+01 1.000012039215548265e+00
2.389911886532437180e+01 1.000011815031672135e+00
2.397110416311149450e+01 1.000011597595542145e+00
2.404308946089861010e+01 1.000011385918701201e+00
2.411507475868573280e+01 1.000011179327809918e+00
2.418706005647285551e+01 1.000010977438467563e+00
2.425904535425997821e+01 1.000010779993537380e+00
2.433103065204710447e+01 1.000010586735140983e+00
2.440301594983422007e+01 1.000010397264643247e+00
2.447500124762134277e+01 1.000010210973181879e+00
2.454698654540846547e+01 1.000010027162951509e+00
2.461897184319558463e+01 1.000009845303932332e+00
2.469095714098270733e+01 1.000009665173988260e+00
2.476294243876982648e+01 1.000009486811461956e+00
2.483492773655694918e+01 1.000009310360917114e+00
2.490691303434407189e+01 1.000009135948691785e+00
2.497889833213119459e+01 1.000008963562229347e+00
2.505088362991831730e+01 1.000008792989791173e+00
2.512286892770543645e+01 1.000008623941591512e+00
2.519485422549255560e+01 1.000008456274764423e+00
2.526683952327967830e+01 1.000008290089758223e+00
2.533882482106680456e+01 1.000008125687081195e+00
2.541081011885392726e+01 1.000007963418427348e+00
2.548279541664104286e+01 1.000007803574987530e+00
2.555478071442816557e+01 1.000007646283787466e+00
2.562676601221528827e+01 1.000007491472736598e+00
2.569875131000241097e+01 1.000007338987231043e+00
2.577073660778953013e+01 1.000007188785680956e+00
2.584272190557664928e+01 1.000007041020393395e+00
2.591470720336377553e+01 1.000006895982618493e+00
2.598669250115089824e+01 1.000006753976259821e+00
2.605867779893801739e+01 1.000006615216578743e+00
2.613066309672514009e+01 1.000006479747661325e+00
2.620264839451225924e+01 1.000006347429899689e+00
2.627463369229938195e+01 1.000006218049958262e+00
2.634661899008650110e+01 1.000006091501023819e+00
2.641860428787362736e+01 1.000005967836261833e+00
2.649058958566075006e+01 1.000005847222673605e+00
2.656257488344786921e+01 1.000005729822313283e+00
2.663456018123498836e+01 1.000005615703473127e+00
2.670654547902211107e+01 1.000005504780891341e+00
2.677853077680923377e+01 1.000005396814790615e+00
2.685051607459636003e+01 1.000005291522044093e+00
2.692250137238347207e+01 1.000005188730199945e+00
2.699448667017059833e+01 1.000005088417211363e+00
2.706647196795772103e+01 1.000004990659342230e+00
2.713845726574484374e+01 1.000004895526092952e+00
2.721044256353196289e+01 1.000004803006148579e+00
2.728242786131908204e+01 1.000004712952365704e+00
2.735441315910620474e+01 1.000004625099345068e+00
2.742639845689332745e+01 1.000004539167762552e+00
2.749838375468045371e+01 1.000004454998162817e+00
2.757036905246757286e+01 1.000004372570104660e+00
2.764235435025469556e+01 1.000004291949498025e+00
