#  Lower H1 TCCW2 Community paper digitized spread 
r/ri    gii
4.484e-1 3.720e-4
5.159e-1 1.352e-2
5.556e-1 3.951e-2
6.270e-1 1.044e-1
7.183e-1 2.599e-1
8.254e-1 4.542e-1
9.365e-1 6.517e-1
1.083e+0 8.106e-1
1.135e+0 8.496e-1
1.187e+0 8.821e-1
1.230e+0 8.919e-1
1.298e+0 9.212e-1
1.365e+0 9.408e-1
1.504e+0 9.510e-1
1.635e+0 9.773e-1
1.762e+0 9.874e-1
1.917e+0 1.011e+0
2.111e+0 1.005e+0
2.655e+0 9.935e-1
3.127e+0 9.983e-1
3.500e+0 9.995e-1
