# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e+00[eV], Tie=4.122e+01[eV] , Te_c=4.125e+01[eV], n_i=5.980e+23[1/cc], n_e=1.794e+24[1/cc]
# Zbar=3.000, Rc=0.525[AU], Γii=8.800e+01, Γei=-1.423e+00 , Γee=4.741e-01, κ=1.890e+00
r/ri        g_ii        g_ei        g_ee        HNC:g_ii    Yuk:g_ii    βu_ii_eff   βu_Yuk      βu_OCP    
4.20000e-01 4.73787e-09 1.06548e+00 6.68519e-01 0.00000e+00 0.00000e+00 1.38802e+02 2.13395e+02 7.86974e+01
4.30000e-01 3.34101e-09 1.08796e+00 6.75582e-01 0.00000e+00 0.00000e+00 1.34018e+02 2.08480e+02 7.50959e+01
4.40000e-01 1.98312e-09 1.10750e+00 6.82439e-01 0.00000e+00 0.00000e+00 1.29458e+02 2.03787e+02 7.16979e+01
4.50000e-01 6.67541e-10 1.12436e+00 6.89109e-01 0.00000e+00 0.00000e+00 1.25105e+02 1.99301e+02 6.84891e+01
4.60000e-01 0.00000e+00 1.13866e+00 6.95613e-01 0.00000e+00 0.00000e+00 1.20948e+02 1.95007e+02 6.54562e+01
4.70000e-01 0.00000e+00 1.15063e+00 7.01966e-01 0.00000e+00 0.00000e+00 1.16973e+02 1.90895e+02 6.25872e+01
4.80000e-01 0.00000e+00 1.16044e+00 7.08184e-01 0.00000e+00 1.86141e-10 1.13170e+02 1.86951e+02 5.98710e+01
4.90000e-01 0.00000e+00 1.16828e+00 7.14280e-01 0.00000e+00 9.01466e-10 1.09528e+02 1.83167e+02 5.72976e+01
5.00000e-01 0.00000e+00 1.17432e+00 7.20262e-01 0.00000e+00 1.59950e-09 1.06037e+02 1.79533e+02 5.48577e+01
5.10000e-01 0.00000e+00 1.17875e+00 7.26142e-01 0.00000e+00 2.27952e-09 1.02688e+02 1.76039e+02 5.25427e+01
5.20000e-01 0.00000e+00 1.18170e+00 7.31926e-01 0.00000e+00 2.94074e-09 9.94744e+01 1.72679e+02 5.03447e+01
5.30000e-01 0.00000e+00 1.18335e+00 7.37620e-01 0.00000e+00 3.58248e-09 9.63874e+01 1.69443e+02 4.82565e+01
5.40000e-01 0.00000e+00 1.18382e+00 7.43229e-01 0.00000e+00 4.20415e-09 9.34205e+01 1.66326e+02 4.62714e+01
5.50000e-01 0.00000e+00 1.18326e+00 7.48758e-01 0.00000e+00 4.80522e-09 9.05670e+01 1.63321e+02 4.43832e+01
5.60000e-01 0.00000e+00 1.18179e+00 7.54210e-01 0.00000e+00 5.38511e-09 8.78211e+01 1.60421e+02 4.25861e+01
5.70000e-01 0.00000e+00 1.17952e+00 7.59586e-01 0.00000e+00 5.94336e-09 8.51772e+01 1.57622e+02 4.08748e+01
5.80000e-01 0.00000e+00 1.17655e+00 7.64890e-01 0.00000e+00 6.47956e-09 8.26301e+01 1.54918e+02 3.92444e+01
5.90000e-01 0.00000e+00 1.17299e+00 7.70121e-01 0.00000e+00 6.99333e-09 8.01749e+01 1.52305e+02 3.76901e+01
6.00000e-01 0.00000e+00 1.16891e+00 7.75281e-01 0.00000e+00 7.48459e-09 7.78071e+01 1.49777e+02 3.62079e+01
6.10000e-01 0.00000e+00 1.16440e+00 7.80371e-01 0.00000e+00 7.95357e-09 7.55226e+01 1.47331e+02 3.47936e+01
6.20000e-01 0.00000e+00 1.15953e+00 7.85390e-01 4.21352e-11 8.40194e-09 7.33173e+01 1.44963e+02 3.34435e+01
6.30000e-01 0.00000e+00 1.15437e+00 7.90339e-01 2.40490e-10 8.83557e-09 7.11876e+01 1.42669e+02 3.21542e+01
6.40000e-01 0.00000e+00 1.14896e+00 7.95217e-01 4.24350e-10 9.27218e-09 6.91300e+01 1.40445e+02 3.09224e+01
6.50000e-01 0.00000e+00 1.14338e+00 8.00025e-01 5.93786e-10 9.76171e-09 6.71413e+01 1.38289e+02 2.97451e+01
6.60000e-01 0.00000e+00 1.13765e+00 8.04762e-01 7.48912e-10 1.04369e-08 6.52183e+01 1.36197e+02 2.86193e+01
6.70000e-01 0.00000e+00 1.13183e+00 8.09428e-01 8.89777e-10 1.16324e-08 6.33583e+01 1.34166e+02 2.75425e+01
6.80000e-01 0.00000e+00 1.12596e+00 8.14022e-01 1.01664e-09 1.41512e-08 6.15585e+01 1.32194e+02 2.65121e+01
6.90000e-01 0.00000e+00 1.12006e+00 8.18545e-01 1.12959e-09 1.98328e-08 5.98164e+01 1.30279e+02 2.55257e+01
7.00000e-01 0.00000e+00 1.11417e+00 8.22994e-01 1.22893e-09 3.27091e-08 5.81295e+01 1.28417e+02 2.45812e+01
7.10000e-01 0.00000e+00 1.10831e+00 8.27371e-01 1.31489e-09 6.12528e-08 5.64956e+01 1.26607e+02 2.36765e+01
7.20000e-01 0.00000e+00 1.10250e+00 8.31675e-01 1.38776e-09 1.22571e-07 5.49126e+01 1.24846e+02 2.28096e+01
7.30000e-01 0.00000e+00 1.09678e+00 8.35906e-01 1.44788e-09 2.49912e-07 5.33784e+01 1.23133e+02 2.19787e+01
7.40000e-01 0.00000e+00 1.09114e+00 8.40062e-01 1.49562e-09 5.05586e-07 5.18912e+01 1.21465e+02 2.11821e+01
7.50000e-01 0.00000e+00 1.08562e+00 8.44145e-01 1.53133e-09 1.00239e-06 5.04490e+01 1.19840e+02 2.04180e+01
7.60000e-01 0.00000e+00 1.08021e+00 8.48153e-01 1.55562e-09 1.93788e-06 4.90502e+01 1.18258e+02 1.96850e+01
7.70000e-01 0.00000e+00 1.07494e+00 8.52087e-01 1.56920e-09 3.64723e-06 4.76932e+01 1.16716e+02 1.89816e+01
7.80000e-01 0.00000e+00 1.06980e+00 8.55946e-01 1.57357e-09 6.68227e-06 4.63764e+01 1.15213e+02 1.83065e+01
7.90000e-01 0.00000e+00 1.06482e+00 8.59730e-01 1.57191e-09 1.19256e-05 4.50983e+01 1.13747e+02 1.76582e+01
8.00000e-01 0.00000e+00 1.05999e+00 8.63440e-01 1.57177e-09 2.07501e-05 4.38576e+01 1.12317e+02 1.70357e+01
8.10000e-01 0.00000e+00 1.05533e+00 8.67076e-01 1.59131e-09 3.52360e-05 4.26528e+01 1.10921e+02 1.64376e+01
8.20000e-01 0.00000e+00 1.05082e+00 8.70637e-01 1.67352e-09 5.84555e-05 4.14829e+01 1.09559e+02 1.58630e+01
8.30000e-01 0.00000e+00 1.04649e+00 8.74124e-01 1.91774e-09 9.48368e-05 4.03464e+01 1.08229e+02 1.53107e+01
8.40000e-01 0.00000e+00 1.04232e+00 8.77536e-01 2.54645e-09 1.50615e-04 3.92423e+01 1.06930e+02 1.47798e+01
8.50000e-01 0.00000e+00 1.03832e+00 8.80875e-01 4.04303e-09 2.34373e-04 3.81696e+01 1.05661e+02 1.42693e+01
8.60000e-01 0.00000e+00 1.03448e+00 8.84141e-01 7.42619e-09 3.57672e-04 3.71270e+01 1.04420e+02 1.37784e+01
