# #rs=0.4473 T=0.34 eV hydrogen columns r/r_i gee 
0, 3.576341127922970653e-01
0, 3.576341127922970653e-01
1.727100802238323018e-01, 4.092159559834938065e-01
6.812453164384495441e-01, 6.052269601100412899e-01
1.228160570480585134e+00, 8.528198074277854035e-01
1.803860837893359159e+00, 9.800550206327371949e-01
2.408346118676772285e+00, 1.004126547455295615e+00
3.243111506425294888e+00, 1.000687757909215936e+00
4.125851916458215030e+00, 1.000687757909215936e+00
5.291644957969083407e+00, 1.011004126547455195e+00
