# #rs=0.4473 T=0.34 eV hydrogen columns r/r_i gii 
0,0
8.299678855200829375e-01, 1.031636863822999947e-02
1.180185548196187151e+00, 1.031636863823899922e-02
1.362490632876899088e+00, 1.513067400275099894e-01
1.472833184131014050e+00, 8.081155433287480205e-01
1.597568242070448452e+00, 1.863823933975240044e+00
1.645543264354846436e+00, 2.063273727647867872e+00
1.698315788867684084e+00, 2.135488308115543354e+00
1.751088313380521511e+00, 2.101100412654744787e+00
1.856633362406197030e+00, 1.740027510316368042e+00
2.005355931487830201e+00, 1.227647867950480975e+00
2.178066011711662586e+00, 8.631361760660239968e-01
2.355573594163934636e+00, 7.049518569463548712e-01
2.566663692215285231e+00, 7.118294360385144515e-01
2.768158785809756051e+00, 8.253094910591471933e-01
3.003236395003305859e+00, 1.076341127922971097e+00
3.199933986369336569e+00, 1.217331499312241938e+00
3.339061550994090410e+00, 1.217331499312241938e+00
3.545354146817001340e+00, 1.072902338376890974e+00
3.766039249325231264e+00, 9.387895460797798242e-01
4.034699374117859172e+00, 8.906464924346629841e-01
4.298561996682047415e+00, 9.628610729023380221e-01
4.600804637073754755e+00, 1.052269601100412011e+00
4.864667259637942109e+00, 1.066024759284730949e+00
5.094947366603052252e+00, 1.021320495185694677e+00
