# r/rs, g(r/rs)
0., 0.
0.9800664451827242, 0.004091653027823217
1.0598006644518272, 0.009001636661211121
1.106312292358804, 0.031096563011456635
1.1794019933554818, 0.1342062193126023
1.212624584717608, 0.2471358428805237
1.2857142857142856, 0.5761047463175123
1.3388704318936877, 0.8927986906710311
1.3920265780730898, 1.1456628477905073
1.4584717607973423, 1.4132569558101473
1.4850498338870433, 1.4819967266775778
1.5116279069767442, 1.565466448445172
1.5448504983388704, 1.5875613747954174
1.5913621262458473, 1.5679214402618658
1.6511627906976745, 1.5016366612111294
1.717607973421927, 1.420621931260229
1.7641196013289036, 1.339607201309329
1.7906976744186047, 1.2782324058919805
1.8438538205980066, 1.2094926350245498
1.8770764119601329, 1.157937806873977
1.9767441860465116, 1.0253682487725042
2.116279069767442, 0.900163666121113
2.2159468438538203, 0.8707037643207856
2.2890365448504983, 0.855973813420622
2.428571428571429, 0.8878887070376432
2.6279069767441863, 0.9664484451718494
2.7408637873754156, 1.0008183306055647
2.867109634551495, 1.03518821603928
2.946843853820598, 1.0523731587561374
3.0598006644518274, 1.0499181669394435
3.1727574750830567, 1.020458265139116
