r[aB]    gii
0        0
1.002e+0 0.000e+0
1.180e+0 1.233e-2
1.290e+0 3.151e-2
1.367e+0 7.123e-2
1.531e+0 1.877e-1
1.695e+0 3.370e-1
1.940e+0 5.370e-1
2.229e+0 7.301e-1
2.484e+0 8.260e-1
2.777e+0 9.096e-1
3.021e+0 9.534e-1
3.161e+0 9.904e-1
3.343e+0 1.010e+0
3.731e+0 1.015e+0
4.029e+0 1.014e+0
4.249e+0 1.003e+0
4.499e+0 1.001e+0
4.988e+0 1.004e+0
5.151e+0 9.973e-1
5.324e+0 1.005e+0
5.693e+0 1.010e+0
5.909e+0 1.010e+0
