# Moldabekov 2018 DOI: 10.1103/PhysRevE.98.023207
# Γ=100 κ=2
r/a      gii
1.238e+0 3.690e-1
1.255e+0 4.605e-1
1.276e+0 5.414e-1
1.296e+0 6.286e-1
1.312e+0 6.963e-1
1.382e+0 9.972e-1
1.363e+0 9.081e-1
1.423e+0 1.094e+0
1.438e+0 1.196e+0
1.459e+0 1.266e+0
1.491e+0 1.355e+0
1.530e+0 1.430e+0
1.598e+0 1.468e+0
1.679e+0 1.452e+0
1.755e+0 1.386e+0
2.036e+0 1.075e+0
2.109e+0 1.007e+0
2.775e+0 9.681e-1
2.930e+0 1.019e+0
3.004e+0 1.031e+0
3.526e+0 1.023e+0
3.601e+0 1.008e+0
3.676e+0 1.002e+0
3.750e+0 9.962e-1
3.823e+0 9.956e-1
3.901e+0 9.969e-1
3.975e+0 1.004e+0
1.880e+0 1.233e+0
2.222e+0 9.319e-1
2.344e+0 8.929e-1
2.443e+0 8.857e-1
2.561e+0 8.998e-1
3.191e+0 1.048e+0
3.351e+0 1.041e+0
1.052e+0 2.981e-2
9.807e-1 1.569e-2
1.141e+0 1.218e-1
1.191e+0 2.421e-1
