# Diaw & Murillo 2016 DOI: http://dx.doi.org/10.3847/0004-637X/829/1/16
# Γ11=20.8 κ=0
r/a       g22(r)
1.536e+0 1.838e-3
1.707e+0 2.087e-2
1.889e+0 2.301e-1
1.916e+0 2.943e-1
1.922e+0 3.429e-1
1.958e+0 4.906e-1
1.984e+0 5.606e-1
2.007e+0 7.152e-1
1.985e+0 6.227e-1
2.036e+0 8.417e-1
2.016e+0 7.707e-1
2.054e+0 9.281e-1
2.076e+0 1.044e+0
2.106e+0 1.162e+0
2.062e+0 9.891e-1
2.183e+0 1.371e+0
2.228e+0 1.441e+0
2.593e+0 1.328e+0
2.658e+0 1.267e+0
2.682e+0 1.206e+0
3.065e+0 9.179e-1
3.183e+0 8.982e-1
3.933e+0 1.020e+0
2.529e+0 1.393e+0
2.449e+0 1.487e+0
2.348e+0 1.541e+0
2.832e+0 1.060e+0
3.465e+0 9.447e-1
3.285e+0 9.121e-1
3.689e+0 9.828e-1
