# Nathaniel Shaffer 2017 https://doi.org/10.1063/1.4999185
# Figure 2 c)
r/a      gii
7.143e-1 2.665e-15
1.115e+0 1.976e-1
1.237e+0 5.195e-1
1.324e+0 8.488e-1
1.463e+0 1.163e+0
1.690e+0 1.427e+0
1.986e+0 1.149e+0
2.404e+0 9.366e-1
2.944e+0 1.017e+0
3.571e+0 9.951e-1
4.199e+0 9.951e-1
4.843e+0 9.951e-1
5.488e+0 9.951e-1

