# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e+00[eV], Tie=2.071e+01[eV] , Te_c=2.072e+01[eV], n_i=5.980e+23[1/cc], n_e=5.980e+23[1/cc]
# ri=1.391, Zbar=1.000, Rc=0.000[AU], Γii=9.778e+00, Γei=-9.440e-01 , Γee=9.436e-01, κ=1.547e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 4.11571e+00 1.34987e-01 0.00000e+00 0.00000e+00 9.66731e+02 9.78062e+02 9.59046e+02
2.00000e-02 0.00000e+00 4.00360e+00 1.37239e-01 0.00000e+00 0.00000e+00 4.77856e+02 4.89185e+02 4.70348e+02
3.00000e-02 0.00000e+00 3.89509e+00 1.39769e-01 0.00000e+00 0.00000e+00 3.14900e+02 3.26226e+02 3.07566e+02
4.00000e-02 0.00000e+00 3.79009e+00 1.42586e-01 0.00000e+00 0.00000e+00 2.33425e+02 2.44746e+02 2.26261e+02
5.00000e-02 0.00000e+00 3.68850e+00 1.45696e-01 0.00000e+00 0.00000e+00 1.84542e+02 1.95858e+02 1.77545e+02
6.00000e-02 0.00000e+00 3.59022e+00 1.49105e-01 0.00000e+00 0.00000e+00 1.51957e+02 1.63265e+02 1.45123e+02
7.00000e-02 0.00000e+00 3.49516e+00 1.52819e-01 0.00000e+00 0.00000e+00 1.28685e+02 1.39985e+02 1.22012e+02
8.00000e-02 0.00000e+00 3.40323e+00 1.56841e-01 0.00000e+00 0.00000e+00 1.11234e+02 1.22524e+02 1.04717e+02
9.00000e-02 0.00000e+00 3.31434e+00 1.61175e-01 0.00000e+00 0.00000e+00 9.76641e+01 1.08943e+02 9.13011e+01
1.00000e-01 0.00000e+00 3.22841e+00 1.65822e-01 0.00000e+00 0.00000e+00 8.68114e+01 9.80782e+01 8.05988e+01
1.10000e-01 0.00000e+00 3.14534e+00 1.70783e-01 0.00000e+00 0.00000e+00 7.79350e+01 8.91884e+01 7.18697e+01
1.20000e-01 0.00000e+00 3.06505e+00 1.76058e-01 0.00000e+00 0.00000e+00 7.05411e+01 8.17799e+01 6.46200e+01
1.30000e-01 0.00000e+00 2.98746e+00 1.81644e-01 0.00000e+00 0.00000e+00 6.42878e+01 7.55109e+01 5.85080e+01
1.40000e-01 0.00000e+00 2.91248e+00 1.87541e-01 0.00000e+00 0.00000e+00 5.89309e+01 7.01372e+01 5.32893e+01
1.50000e-01 0.00000e+00 2.84004e+00 1.93744e-01 0.00000e+00 0.00000e+00 5.42914e+01 6.54797e+01 4.87851e+01
1.60000e-01 0.00000e+00 2.77006e+00 2.00247e-01 0.00000e+00 0.00000e+00 5.02348e+01 6.14041e+01 4.48609e+01
1.70000e-01 0.00000e+00 2.70247e+00 2.07047e-01 0.00000e+00 0.00000e+00 4.66585e+01 5.78077e+01 4.14142e+01
1.80000e-01 0.00000e+00 2.63718e+00 2.14134e-01 0.00000e+00 0.00000e+00 4.34825e+01 5.46106e+01 3.83650e+01
1.90000e-01 0.00000e+00 2.57413e+00 2.21503e-01 0.00000e+00 0.00000e+00 4.06438e+01 5.17498e+01 3.56504e+01
2.00000e-01 0.00000e+00 2.51324e+00 2.29143e-01 0.00000e+00 0.00000e+00 3.80918e+01 4.91748e+01 3.32198e+01
2.10000e-01 0.00000e+00 2.45445e+00 2.37045e-01 0.00000e+00 0.00000e+00 3.57858e+01 4.68447e+01 3.10326e+01
2.20000e-01 0.00000e+00 2.39769e+00 2.45199e-01 0.00000e+00 0.00000e+00 3.36922e+01 4.47262e+01 2.90553e+01
2.30000e-01 0.00000e+00 2.34289e+00 2.53593e-01 0.00000e+00 0.00000e+00 3.17835e+01 4.27916e+01 2.72602e+01
2.40000e-01 0.00000e+00 2.29000e+00 2.62215e-01 0.00000e+00 0.00000e+00 3.00366e+01 4.10180e+01 2.56245e+01
2.50000e-01 0.00000e+00 2.23894e+00 2.71052e-01 0.00000e+00 0.00000e+00 2.84322e+01 3.93859e+01 2.41289e+01
2.60000e-01 0.00000e+00 2.18967e+00 2.80092e-01 0.00000e+00 0.00000e+00 2.69539e+01 3.78792e+01 2.27569e+01
2.70000e-01 0.00000e+00 2.14211e+00 2.89319e-01 0.00000e+00 0.00000e+00 2.55877e+01 3.64838e+01 2.14948e+01
2.80000e-01 0.00000e+00 2.09623e+00 2.98721e-01 0.00000e+00 0.00000e+00 2.43217e+01 3.51879e+01 2.03305e+01
2.90000e-01 0.00000e+00 2.05195e+00 3.08281e-01 0.00000e+00 0.00000e+00 2.31455e+01 3.39810e+01 1.92539e+01
3.00000e-01 0.00000e+00 2.00922e+00 3.17986e-01 0.00000e+00 2.16818e-08 2.20503e+01 3.28544e+01 1.82560e+01
3.10000e-01 0.00000e+00 1.96801e+00 3.27820e-01 0.00000e+00 1.13079e-07 2.10282e+01 3.18002e+01 1.73291e+01
3.20000e-01 0.00000e+00 1.92825e+00 3.37767e-01 0.00000e+00 3.18381e-07 2.00724e+01 3.08117e+01 1.64663e+01
3.30000e-01 0.00000e+00 1.88989e+00 3.47813e-01 0.00000e+00 7.53537e-07 1.91770e+01 2.98828e+01 1.56618e+01
3.40000e-01 2.83723e-08 1.85290e+00 3.57942e-01 0.00000e+00 1.62814e-06 1.83365e+01 2.90083e+01 1.49103e+01
3.50000e-01 1.45154e-07 1.81721e+00 3.68138e-01 1.02075e-08 3.30255e-06 1.75464e+01 2.81836e+01 1.42072e+01
3.60000e-01 3.78264e-07 1.78280e+00 3.78386e-01 5.10453e-08 6.36871e-06 1.68025e+01 2.74045e+01 1.35483e+01
3.70000e-01 8.24295e-07 1.74962e+00 3.88671e-01 1.31015e-07 1.17591e-05 1.61010e+01 2.66673e+01 1.29299e+01
3.80000e-01 1.64494e-06 1.71762e+00 3.98979e-01 2.81757e-07 2.08872e-05 1.54386e+01 2.59687e+01 1.23487e+01
3.90000e-01 3.10111e-06 1.68677e+00 4.09296e-01 5.55956e-07 3.58215e-05 1.48123e+01 2.53057e+01 1.18019e+01
4.00000e-01 5.59967e-06 1.65703e+00 4.19606e-01 1.03847e-06 5.94916e-05 1.42195e+01 2.46756e+01 1.12867e+01
4.10000e-01 9.75546e-06 1.62836e+00 4.29897e-01 1.86180e-06 9.59233e-05 1.36577e+01 2.40761e+01 1.08007e+01
4.20000e-01 1.64707e-05 1.60072e+00 4.40155e-01 3.22698e-06 1.50496e-04 1.31247e+01 2.35050e+01 1.03418e+01
4.30000e-01 2.70337e-05 1.57409e+00 4.50368e-01 5.43102e-06 2.30214e-04 1.26184e+01 2.29602e+01 9.90802e+00
4.40000e-01 4.32381e-05 1.54842e+00 4.60524e-01 8.90194e-06 3.43975e-04 1.21372e+01 2.24400e+01 9.49757e+00
4.50000e-01 6.75218e-05 1.52368e+00 4.70611e-01 1.42424e-05 5.02835e-04 1.16793e+01 2.19428e+01 9.10883e+00
4.60000e-01 1.03126e-04 1.49985e+00 4.80619e-01 2.22828e-05 7.20236e-04 1.12432e+01 2.14670e+01 8.74032e+00
4.70000e-01 1.54270e-04 1.47689e+00 4.90537e-01 3.41441e-05 1.01220e-03 1.08275e+01 2.10113e+01 8.39068e+00
4.80000e-01 2.26339e-04 1.45477e+00 5.00355e-01 5.13113e-05 1.39745e-03 1.04310e+01 2.05745e+01 8.05868e+00
4.90000e-01 3.26082e-04 1.43347e+00 5.10066e-01 7.57163e-05 1.89753e-03 1.00525e+01 2.01553e+01 7.74317e+00
5.00000e-01 4.61805e-04 1.41295e+00 5.19660e-01 1.09830e-04 2.53672e-03 9.69086e+00 1.97527e+01 7.44312e+00
5.10000e-01 6.43566e-04 1.39320e+00 5.29131e-01 1.56764e-04 3.34204e-03 9.34518e+00 1.93658e+01 7.15755e+00
5.20000e-01 8.83350e-04 1.37418e+00 5.38471e-01 2.20375e-04 4.34302e-03 9.01450e+00 1.89937e+01 6.88559e+00
5.30000e-01 1.19523e-03 1.35588e+00 5.47674e-01 3.05377e-04 5.57147e-03 8.69799e+00 1.86355e+01 6.62641e+00
5.40000e-01 1.59547e-03 1.33826e+00 5.56735e-01 4.17456e-04 7.06117e-03 8.39486e+00 1.82904e+01 6.37926e+00
5.50000e-01 2.10266e-03 1.32131e+00 5.65650e-01 5.63378e-04 8.84747e-03 8.10437e+00 1.79577e+01 6.14344e+00
5.60000e-01 2.73770e-03 1.30501e+00 5.74413e-01 7.51096e-04 1.09668e-02 7.82585e+00 1.76368e+01 5.91829e+00
5.70000e-01 3.52385e-03 1.28932e+00 5.83022e-01 9.89850e-04 1.34563e-02 7.55867e+00 1.73271e+01 5.70321e+00
5.80000e-01 4.48663e-03 1.27424e+00 5.91474e-01 1.29025e-03 1.63531e-02 7.30225e+00 1.70280e+01 5.49764e+00
5.90000e-01 5.65372e-03 1.25974e+00 5.99766e-01 1.66437e-03 1.96939e-02 7.05603e+00 1.67389e+01 5.30105e+00
6.00000e-01 7.05480e-03 1.24580e+00 6.07896e-01 2.12574e-03 2.35144e-02 6.81951e+00 1.64593e+01 5.11296e+00
6.10000e-01 8.72129e-03 1.23240e+00 6.15865e-01 2.68947e-03 2.78488e-02 6.59220e+00 1.61889e+01 4.93292e+00
6.20000e-01 1.06861e-02 1.21954e+00 6.23670e-01 3.37219e-03 3.27290e-02 6.37366e+00 1.59270e+01 4.76049e+00
6.30000e-01 1.29833e-02 1.20718e+00 6.31312e-01 4.19203e-03 3.81847e-02 6.16347e+00 1.56735e+01 4.59529e+00
6.40000e-01 1.56477e-02 1.19532e+00 6.38791e-01 5.16863e-03 4.42424e-02 5.96123e+00 1.54277e+01 4.43694e+00
6.50000e-01 1.87146e-02 1.18393e+00 6.46107e-01 6.32303e-03 5.09251e-02 5.76658e+00 1.51895e+01 4.28509e+00
