# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=5.000e+00[eV], Tie=4.447e+01[eV] , Te_c=4.447e+01[eV], n_i=5.010e+23[1/cc], n_e=2.004e+24[1/cc]
# ri=1.476, Zbar=4.000, Rc=0.278[AU], Γii=5.899e+01, Γei=-1.658e+00 , Γee=4.145e-01, κ=2.041e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 1.44620e+00 2.03330e-01 0.00000e+00 1.36049e-09 5.82884e+03 5.90155e+03 5.75331e+03
2.00000e-02 0.00000e+00 1.45205e+00 2.07524e-01 0.00000e+00 1.52227e-09 2.87929e+03 2.95198e+03 2.80555e+03
3.00000e-02 0.00000e+00 1.46201e+00 2.12578e-01 0.00000e+00 1.64800e-09 1.89612e+03 1.96879e+03 1.82413e+03
4.00000e-02 0.00000e+00 1.47596e+00 2.18508e-01 0.00000e+00 1.38192e-09 1.40456e+03 1.47719e+03 1.33428e+03
5.00000e-02 0.00000e+00 1.49424e+00 2.25327e-01 0.00000e+00 1.65380e-09 1.10964e+03 1.18223e+03 1.04104e+03
6.00000e-02 0.00000e+00 1.51680e+00 2.33037e-01 0.00000e+00 1.75805e-09 9.13048e+02 9.85591e+02 8.46085e+02
7.00000e-02 0.00000e+00 1.54410e+00 2.41634e-01 0.00000e+00 1.53540e-09 7.72648e+02 8.45131e+02 7.07289e+02
8.00000e-02 0.00000e+00 1.57617e+00 2.51110e-01 0.00000e+00 1.82627e-09 6.67370e+02 7.39784e+02 6.03579e+02
9.00000e-02 0.00000e+00 1.61356e+00 2.61445e-01 0.00000e+00 1.77522e-09 5.85509e+02 6.57845e+02 5.23252e+02
1.00000e-01 0.00000e+00 1.65641e+00 2.72615e-01 0.00000e+00 1.65699e-09 5.20041e+02 5.92292e+02 4.59286e+02
1.10000e-01 0.00000e+00 1.70544e+00 2.84589e-01 0.00000e+00 1.67830e-09 4.66498e+02 5.38657e+02 4.07211e+02
1.20000e-01 0.00000e+00 1.76085e+00 2.97329e-01 0.00000e+00 1.73685e-09 4.21901e+02 4.93958e+02 3.64050e+02
1.30000e-01 0.00000e+00 1.82362e+00 3.10793e-01 0.00000e+00 1.83525e-09 3.84185e+02 4.56135e+02 3.27739e+02
1.40000e-01 0.00000e+00 1.89403e+00 3.24932e-01 0.00000e+00 1.71252e-09 3.51878e+02 4.23713e+02 2.96806e+02
1.50000e-01 0.00000e+00 1.97340e+00 3.39693e-01 0.00000e+00 1.67947e-09 3.23899e+02 3.95611e+02 2.70171e+02
1.60000e-01 0.00000e+00 2.06209e+00 3.55018e-01 0.00000e+00 1.71119e-09 2.99437e+02 3.71021e+02 2.47025e+02
1.70000e-01 0.00000e+00 2.16191e+00 3.70848e-01 0.00000e+00 1.65539e-09 2.77873e+02 3.49322e+02 2.26747e+02
1.80000e-01 0.00000e+00 2.27330e+00 3.87118e-01 0.00000e+00 1.92392e-09 2.58724e+02 3.30032e+02 2.08856e+02
1.90000e-01 0.00000e+00 2.39741e+00 4.03763e-01 0.00000e+00 1.81799e-09 2.41610e+02 3.12771e+02 1.92972e+02
2.00000e-01 0.00000e+00 2.50748e+00 4.20717e-01 0.00000e+00 1.86967e-09 2.26226e+02 2.97234e+02 1.78792e+02
2.10000e-01 0.00000e+00 2.58691e+00 4.37912e-01 0.00000e+00 1.87285e-09 2.12325e+02 2.83176e+02 1.66069e+02
2.20000e-01 0.00000e+00 2.64082e+00 4.55281e-01 0.00000e+00 1.83147e-09 1.99707e+02 2.70393e+02 1.54602e+02
2.30000e-01 0.00000e+00 2.67097e+00 4.72757e-01 0.00000e+00 1.80630e-09 1.88203e+02 2.58721e+02 1.44224e+02
2.40000e-01 0.00000e+00 2.68165e+00 4.90275e-01 0.00000e+00 1.76918e-09 1.77676e+02 2.48019e+02 1.34798e+02
2.50000e-01 0.00000e+00 2.67520e+00 5.07772e-01 0.00000e+00 1.87404e-09 1.68008e+02 2.38172e+02 1.26208e+02
2.60000e-01 0.00000e+00 2.65516e+00 5.25187e-01 0.00000e+00 1.81817e-09 1.59101e+02 2.29081e+02 1.18354e+02
2.70000e-01 0.00000e+00 2.62365e+00 5.42461e-01 0.00000e+00 1.81406e-09 1.50870e+02 2.20661e+02 1.11153e+02
2.80000e-01 0.00000e+00 2.58340e+00 5.59540e-01 0.00000e+00 1.92379e-09 1.43245e+02 2.12842e+02 1.04534e+02
2.90000e-01 0.00000e+00 2.53609e+00 5.76372e-01 0.00000e+00 1.87092e-09 1.36161e+02 2.05560e+02 9.84341e+01
3.00000e-01 0.00000e+00 2.48373e+00 5.92910e-01 0.00000e+00 1.88969e-09 1.29566e+02 1.98762e+02 9.28008e+01
3.10000e-01 0.00000e+00 2.42753e+00 6.09110e-01 0.00000e+00 2.00383e-09 1.23412e+02 1.92402e+02 8.75872e+01
3.20000e-01 0.00000e+00 2.36893e+00 6.24934e-01 0.00000e+00 1.96610e-09 1.17659e+02 1.86437e+02 8.27526e+01
3.30000e-01 0.00000e+00 2.30875e+00 6.40347e-01 0.00000e+00 1.95325e-09 1.12270e+02 1.80833e+02 7.82614e+01
3.40000e-01 0.00000e+00 2.24799e+00 6.55318e-01 0.00000e+00 1.92634e-09 1.07214e+02 1.75557e+02 7.40819e+01
3.50000e-01 0.00000e+00 2.18715e+00 6.69821e-01 0.00000e+00 1.92212e-09 1.02462e+02 1.70581e+02 7.01863e+01
3.60000e-01 0.00000e+00 2.12692e+00 6.83836e-01 0.00000e+00 1.95758e-09 9.79899e+01 1.65881e+02 6.65499e+01
3.70000e-01 0.00000e+00 2.06758e+00 6.97346e-01 0.00000e+00 1.97682e-09 9.37744e+01 1.61433e+02 6.31506e+01
3.80000e-01 0.00000e+00 2.00957e+00 7.10336e-01 0.00000e+00 1.98342e-09 8.97959e+01 1.57218e+02 5.99688e+01
3.90000e-01 0.00000e+00 1.95303e+00 7.22798e-01 0.00000e+00 1.97032e-09 8.60364e+01 1.53218e+02 5.69867e+01
4.00000e-01 0.00000e+00 1.89825e+00 7.34726e-01 0.00000e+00 1.96064e-09 8.24797e+01 1.49417e+02 5.41886e+01
4.10000e-01 0.00000e+00 1.84525e+00 7.46120e-01 0.00000e+00 2.02045e-09 7.91113e+01 1.45800e+02 5.15601e+01
4.20000e-01 0.00000e+00 1.79421e+00 7.56981e-01 0.00000e+00 2.00502e-09 7.59178e+01 1.42355e+02 4.90882e+01
4.30000e-01 0.00000e+00 1.74509e+00 7.67313e-01 0.00000e+00 2.02851e-09 7.28873e+01 1.39068e+02 4.67614e+01
4.40000e-01 0.00000e+00 1.69798e+00 7.77125e-01 0.00000e+00 1.99106e-09 7.00089e+01 1.35930e+02 4.45690e+01
4.50000e-01 0.00000e+00 1.65282e+00 7.86426e-01 0.00000e+00 1.97693e-09 6.72726e+01 1.32931e+02 4.25013e+01
4.60000e-01 0.00000e+00 1.60964e+00 7.95230e-01 0.00000e+00 2.00692e-09 6.46692e+01 1.30061e+02 4.05496e+01
4.70000e-01 0.00000e+00 1.56836e+00 8.03551e-01 0.00000e+00 2.01233e-09 6.21904e+01 1.27312e+02 3.87058e+01
4.80000e-01 0.00000e+00 1.52898e+00 8.11404e-01 0.00000e+00 2.00627e-09 5.98284e+01 1.24677e+02 3.69626e+01
4.90000e-01 0.00000e+00 1.49140e+00 8.18809e-01 0.00000e+00 2.01429e-09 5.75762e+01 1.22149e+02 3.53132e+01
5.00000e-01 0.00000e+00 1.45561e+00 8.25782e-01 0.00000e+00 2.04991e-09 5.54273e+01 1.19721e+02 3.37515e+01
5.10000e-01 0.00000e+00 1.42151e+00 8.32343e-01 0.00000e+00 2.02391e-09 5.33756e+01 1.17387e+02 3.22717e+01
5.20000e-01 0.00000e+00 1.38908e+00 8.38512e-01 0.00000e+00 2.01360e-09 5.14156e+01 1.15142e+02 3.08687e+01
5.30000e-01 0.00000e+00 1.35820e+00 8.44310e-01 0.00000e+00 2.05299e-09 4.95420e+01 1.12981e+02 2.95376e+01
5.40000e-01 0.00000e+00 1.32886e+00 8.49756e-01 0.00000e+00 2.06593e-09 4.77500e+01 1.10900e+02 2.82740e+01
5.50000e-01 3.81014e-10 1.30095e+00 8.54871e-01 0.00000e+00 2.18813e-09 4.60352e+01 1.08894e+02 2.70737e+01
5.60000e-01 1.12510e-09 1.27445e+00 8.59674e-01 0.00000e+00 2.49255e-09 4.43934e+01 1.06958e+02 2.59329e+01
5.70000e-01 1.77163e-09 1.24926e+00 8.64184e-01 0.00000e+00 3.39167e-09 4.28207e+01 1.05090e+02 2.48482e+01
5.80000e-01 2.34627e-09 1.22535e+00 8.68422e-01 0.00000e+00 5.77081e-09 4.13136e+01 1.03286e+02 2.38161e+01
