# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e+01[eV], Tie=2.305e+01[eV] , Te_c=2.305e+01[eV], n_i=5.979e+22[1/cc], n_e=2.327e+23[1/cc]
# ri=2.998, Zbar=3.892, Rc=0.513[AU], Γii=6.874e+00, Γei=-1.532e+00 , Γee=3.937e-01, κ=2.081e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 5.14923e-08 1.37515e+00 2.39666e-01 0.00000e+00 0.00000e+00 6.77104e+02 6.87486e+02 6.72792e+02
2.00000e-02 5.16152e-08 1.38685e+00 2.47317e-01 0.00000e+00 0.00000e+00 3.33409e+02 3.43787e+02 3.29247e+02
3.00000e-02 5.18154e-08 1.40698e+00 2.55447e-01 0.00000e+00 0.00000e+00 2.18850e+02 2.29220e+02 2.14834e+02
4.00000e-02 5.20883e-08 1.43537e+00 2.64078e-01 0.00000e+00 0.00000e+00 1.61577e+02 1.71937e+02 1.57702e+02
5.00000e-02 5.24287e-08 1.47319e+00 2.73227e-01 0.00000e+00 0.00000e+00 1.27221e+02 1.37566e+02 1.23480e+02
6.00000e-02 5.28308e-08 1.52061e+00 2.82912e-01 0.00000e+00 0.00000e+00 1.04323e+02 1.14653e+02 1.00714e+02
7.00000e-02 5.32879e-08 1.57932e+00 2.93147e-01 0.00000e+00 0.00000e+00 8.79748e+01 9.82859e+01 8.44915e+01
8.00000e-02 5.37932e-08 1.64987e+00 3.03945e-01 0.00000e+00 0.00000e+00 7.57206e+01 8.60106e+01 7.23591e+01
9.00000e-02 5.43395e-08 1.73470e+00 3.15313e-01 0.00000e+00 0.00000e+00 6.61963e+01 7.64629e+01 6.29524e+01
1.00000e-01 5.49199e-08 1.83492e+00 3.27257e-01 0.00000e+00 0.00000e+00 5.85834e+01 6.88247e+01 5.54532e+01
1.10000e-01 5.55275e-08 1.95407e+00 3.39780e-01 0.00000e+00 0.00000e+00 5.23611e+01 6.25751e+01 4.93407e+01
1.20000e-01 5.61558e-08 2.09404e+00 3.52878e-01 0.00000e+00 0.00000e+00 4.71820e+01 5.73669e+01 4.42679e+01
1.30000e-01 5.67983e-08 2.26022e+00 3.66545e-01 0.00000e+00 0.00000e+00 4.28056e+01 5.29599e+01 3.99943e+01
1.40000e-01 5.74492e-08 2.45551e+00 3.80772e-01 0.00000e+00 0.00000e+00 3.90602e+01 4.91823e+01 3.63484e+01
1.50000e-01 5.81029e-08 2.68857e+00 3.95543e-01 0.00000e+00 0.00000e+00 3.58196e+01 4.59083e+01 3.32043e+01
1.60000e-01 5.87546e-08 2.96325e+00 4.10840e-01 0.00000e+00 0.00000e+00 3.29894e+01 4.30433e+01 3.04675e+01
1.70000e-01 5.93996e-08 3.29494e+00 4.26640e-01 0.00000e+00 0.00000e+00 3.04973e+01 4.05153e+01 2.80660e+01
1.80000e-01 6.00351e-08 3.63115e+00 4.42917e-01 0.00000e+00 0.00000e+00 2.82870e+01 3.82681e+01 2.59435e+01
1.90000e-01 6.06647e-08 3.88877e+00 4.59638e-01 0.00000e+00 0.00000e+00 2.63140e+01 3.62573e+01 2.40558e+01
2.00000e-01 6.13226e-08 4.07182e+00 4.76771e-01 0.00000e+00 0.00000e+00 2.45429e+01 3.44474e+01 2.23673e+01
2.10000e-01 6.21687e-08 4.18295e+00 4.94276e-01 0.00000e+00 0.00000e+00 2.29448e+01 3.28097e+01 2.08496e+01
2.20000e-01 6.38026e-08 4.23437e+00 5.12113e-01 0.00000e+00 0.00000e+00 2.14962e+01 3.13209e+01 1.94789e+01
2.30000e-01 6.81670e-08 4.23352e+00 5.30237e-01 0.00000e+00 0.00000e+00 2.01777e+01 2.99613e+01 1.82361e+01
