# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e+01[eV], Tie=2.873e+01[eV] , Te_c=2.873e+01[eV], n_i=5.980e+23[1/cc], n_e=5.980e+23[1/cc]
# ri=1.391, Zbar=1.000, Rc=0.000[AU], Γii=9.778e-01, Γei=-6.807e-01 , Γee=6.806e-01, κ=1.355e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
4.20000e-01 3.16880e-01 1.74407e+00 4.51156e-01 2.35338e-01 3.36455e-01 1.33261e+00 2.32799e+00 1.25870e+00
4.30000e-01 3.32596e-01 1.71634e+00 4.59443e-01 2.47932e-01 3.52276e-01 1.28295e+00 2.27385e+00 1.21156e+00
4.40000e-01 3.48216e-01 1.68965e+00 4.67789e-01 2.60549e-01 3.67951e-01 1.23577e+00 2.22217e+00 1.16682e+00
4.50000e-01 3.63717e-01 1.66395e+00 4.76188e-01 2.73170e-01 3.83461e-01 1.19092e+00 2.17279e+00 1.12431e+00
4.60000e-01 3.79078e-01 1.63921e+00 4.84634e-01 2.85778e-01 3.98787e-01 1.14825e+00 2.12555e+00 1.08388e+00
4.70000e-01 3.94280e-01 1.61539e+00 4.93122e-01 2.98357e-01 4.13913e-01 1.10760e+00 2.08033e+00 1.04540e+00
4.80000e-01 4.09305e-01 1.59246e+00 5.01645e-01 3.10894e-01 4.28824e-01 1.06886e+00 2.03699e+00 1.00874e+00
4.90000e-01 4.24138e-01 1.57039e+00 5.10197e-01 3.23374e-01 4.43508e-01 1.03191e+00 1.99542e+00 9.73795e-01
5.00000e-01 4.38765e-01 1.54913e+00 5.18771e-01 3.35785e-01 4.57956e-01 9.96631e-01 1.95551e+00 9.40449e-01
5.10000e-01 4.53176e-01 1.52868e+00 5.27362e-01 3.48116e-01 4.72157e-01 9.62934e-01 1.91716e+00 9.08608e-01
5.20000e-01 4.67359e-01 1.50898e+00 5.35962e-01 3.60358e-01 4.86105e-01 9.30723e-01 1.88030e+00 8.78183e-01
