# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+02[eV], Tie=1.021e+02[eV] , Te_c=1.021e+02[eV], n_i=5.980e+23[1/cc], n_e=5.980e+23[1/cc]
# ri=1.391, Zbar=1.000, Rc=0.000[AU], Γii=1.956e-01, Γei=-1.915e-01 , Γee=1.915e-01, κ=7.517e-01
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
4.20000e-01 7.37873e-01 1.30851e+00 6.83220e-01 7.05424e-01 7.37373e-01 3.37978e-01 4.65621e-01 3.39383e-01
4.30000e-01 7.45450e-01 1.29854e+00 6.93787e-01 7.12921e-01 7.44910e-01 3.27551e-01 4.54792e-01 3.29003e-01
4.40000e-01 7.52733e-01 1.28899e+00 7.04074e-01 7.20141e-01 7.52154e-01 3.17618e-01 4.44456e-01 3.19114e-01
4.50000e-01 7.59736e-01 1.27984e+00 7.14076e-01 7.27099e-01 7.59120e-01 3.08145e-01 4.34579e-01 3.09682e-01
4.60000e-01 7.66474e-01 1.27108e+00 7.23786e-01 7.33808e-01 7.65824e-01 2.99103e-01 4.25132e-01 3.00677e-01
4.70000e-01 7.72959e-01 1.26267e+00 7.33201e-01 7.40279e-01 7.72277e-01 2.90463e-01 4.16087e-01 2.92073e-01
4.80000e-01 7.79205e-01 1.25461e+00 7.42318e-01 7.46525e-01 7.78492e-01 2.82201e-01 4.07418e-01 2.83842e-01
4.90000e-01 7.85223e-01 1.24688e+00 7.51136e-01 7.52556e-01 7.84481e-01 2.74294e-01 3.99104e-01 2.75964e-01
5.00000e-01 7.91023e-01 1.23945e+00 7.59654e-01 7.58383e-01 7.90255e-01 2.66720e-01 3.91121e-01 2.68416e-01
5.10000e-01 7.96616e-01 1.23231e+00 7.67873e-01 7.64014e-01 7.95823e-01 2.59458e-01 3.83452e-01 2.61179e-01
5.20000e-01 8.02012e-01 1.22545e+00 7.75795e-01 7.69458e-01 8.01196e-01 2.52493e-01 3.76078e-01 2.54235e-01
