# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+01[eV], Tie=2.292e+01[eV] , Te_c=2.292e+01[eV], n_i=5.980e+23[1/cc], n_e=5.980e+23[1/cc]
# ri=1.391, Zbar=1.000, Rc=0.000[AU], Γii=1.956e+00, Γei=-8.533e-01 , Γee=8.530e-01, κ=1.487e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
4.20000e-01 1.09552e-01 1.74733e+00 4.20160e-01 6.62963e-02 1.44360e-01 2.60908e+00 4.65597e+00 2.25120e+00
4.30000e-01 1.20733e-01 1.71882e+00 4.28136e-01 7.35524e-02 1.57632e-01 2.50942e+00 4.54769e+00 2.16113e+00
4.40000e-01 1.32387e-01 1.69134e+00 4.36180e-01 8.11951e-02 1.71308e-01 2.41475e+00 4.44434e+00 2.07578e+00
4.50000e-01 1.44486e-01 1.66486e+00 4.44288e-01 8.92137e-02 1.85346e-01 2.32475e+00 4.34557e+00 1.99484e+00
4.60000e-01 1.56999e-01 1.63934e+00 4.52453e-01 9.75961e-02 1.99708e-01 2.23910e+00 4.25110e+00 1.91800e+00
4.70000e-01 1.69894e-01 1.61475e+00 4.60671e-01 1.06329e-01 2.14353e-01 2.15753e+00 4.16065e+00 1.84499e+00
4.80000e-01 1.83141e-01 1.59107e+00 4.68935e-01 1.15399e-01 2.29243e-01 2.07978e+00 4.07397e+00 1.77556e+00
4.90000e-01 1.96707e-01 1.56824e+00 4.77240e-01 1.24790e-01 2.44339e-01 2.00563e+00 3.99083e+00 1.70949e+00
5.00000e-01 2.10560e-01 1.54625e+00 4.85580e-01 1.34487e-01 2.59605e-01 1.93484e+00 3.91102e+00 1.64657e+00
5.10000e-01 2.24667e-01 1.52507e+00 4.93950e-01 1.44474e-01 2.75005e-01 1.86722e+00 3.83433e+00 1.58659e+00
5.20000e-01 2.38997e-01 1.50467e+00 5.02344e-01 1.54733e-01 2.90505e-01 1.80259e+00 3.76059e+00 1.52939e+00
5.30000e-01 2.53518e-01 1.48501e+00 5.10756e-01 1.65248e-01 3.06072e-01 1.74078e+00 3.68964e+00 1.47479e+00
5.40000e-01 2.68200e-01 1.46608e+00 5.19181e-01 1.76003e-01 3.21675e-01 1.68163e+00 3.62131e+00 1.42265e+00
5.50000e-01 2.83013e-01 1.44784e+00 5.27612e-01 1.86978e-01 3.37285e-01 1.62499e+00 3.55547e+00 1.37283e+00
5.60000e-01 2.97928e-01 1.43028e+00 5.36045e-01 1.98158e-01 3.52874e-01 1.57072e+00 3.49198e+00 1.32518e+00
5.70000e-01 3.12916e-01 1.41336e+00 5.44473e-01 2.09525e-01 3.68416e-01 1.51870e+00 3.43072e+00 1.27960e+00
5.80000e-01 3.27952e-01 1.39707e+00 5.52891e-01 2.21062e-01 3.83887e-01 1.46881e+00 3.37157e+00 1.23597e+00
