      r[a_0]     n[bound]   n[unbound]
3.752184e-05 1.103533e+00 3.569328e-02
3.803971e-05 1.109326e+00 3.588063e-02
3.856474e-05 1.115054e+00 3.606590e-02
3.909701e-05 1.120718e+00 3.624912e-02
3.963663e-05 1.126320e+00 3.643030e-02
4.018370e-05 1.131859e+00 3.660944e-02
4.073832e-05 1.137335e+00 3.678657e-02
4.130059e-05 1.142750e+00 3.696171e-02
4.187062e-05 1.148103e+00 3.713486e-02
4.244852e-05 1.153396e+00 3.730605e-02
4.303440e-05 1.158628e+00 3.747529e-02
4.362836e-05 1.163801e+00 3.764260e-02
4.423052e-05 1.168914e+00 3.780799e-02
4.484099e-05 1.173969e+00 3.797147e-02
4.545989e-05 1.178965e+00 3.813307e-02
4.608733e-05 1.183903e+00 3.829281e-02
4.672343e-05 1.188785e+00 3.845069e-02
4.736831e-05 1.193609e+00 3.860673e-02
4.802209e-05 1.198377e+00 3.876095e-02
4.868489e-05 1.203089e+00 3.891337e-02
4.935685e-05 1.207746e+00 3.906400e-02
5.003807e-05 1.212349e+00 3.921286e-02
5.072870e-05 1.216897e+00 3.935997e-02
5.142886e-05 1.221391e+00 3.950533e-02
5.213868e-05 1.225832e+00 3.964898e-02
5.285830e-05 1.230221e+00 3.979092e-02
5.358786e-05 1.234557e+00 3.993116e-02
5.432748e-05 1.238841e+00 4.006974e-02
5.507731e-05 1.243074e+00 4.020665e-02
5.583749e-05 1.247256e+00 4.034193e-02
5.660816e-05 1.251388e+00 4.047557e-02
5.738947e-05 1.255470e+00 4.060761e-02
5.818156e-05 1.259503e+00 4.073806e-02
5.898459e-05 1.263488e+00 4.086692e-02
5.979870e-05 1.267423e+00 4.099423e-02
6.062404e-05 1.271312e+00 4.111998e-02
6.146078e-05 1.275152e+00 4.124421e-02
6.230906e-05 1.278946e+00 4.136692e-02
6.316906e-05 1.282694e+00 4.148814e-02
6.404092e-05 1.286395e+00 4.160786e-02
6.492481e-05 1.290052e+00 4.172612e-02
6.582091e-05 1.293663e+00 4.184293e-02
6.672937e-05 1.297230e+00 4.195830e-02
6.765038e-05 1.300753e+00 4.207224e-02
6.858409e-05 1.304232e+00 4.218478e-02
6.953069e-05 1.307668e+00 4.229592e-02
7.049036e-05 1.311062e+00 4.240568e-02
7.146327e-05 1.314413e+00 4.251408e-02
7.244961e-05 1.317723e+00 4.262113e-02
7.344956e-05 1.320991e+00 4.272685e-02
7.446332e-05 1.324219e+00 4.283124e-02
7.549106e-05 1.327406e+00 4.293433e-02
7.653299e-05 1.330553e+00 4.303613e-02
7.758931e-05 1.333661e+00 4.313665e-02
7.866020e-05 1.336730e+00 4.323591e-02
7.974587e-05 1.339760e+00 4.333392e-02
8.084653e-05 1.342752e+00 4.343069e-02
8.196237e-05 1.345706e+00 4.352624e-02
8.309362e-05 1.348623e+00 4.362058e-02
8.424049e-05 1.351503e+00 4.371373e-02
8.540318e-05 1.354346e+00 4.380569e-02
8.658192e-05 1.357153e+00 4.389649e-02
8.777692e-05 1.359924e+00 4.398613e-02
8.898843e-05 1.362661e+00 4.407463e-02
9.021665e-05 1.365362e+00 4.416199e-02
9.146182e-05 1.368028e+00 4.424825e-02
9.272418e-05 1.370661e+00 4.433340e-02
9.400397e-05 1.373260e+00 4.441745e-02
9.530142e-05 1.375825e+00 4.450043e-02
9.661677e-05 1.378358e+00 4.458235e-02
9.795028e-05 1.380858e+00 4.466320e-02
9.930220e-05 1.383325e+00 4.474302e-02
1.006728e-04 1.385761e+00 4.482181e-02
1.020623e-04 1.388166e+00 4.489957e-02
1.034709e-04 1.390539e+00 4.497634e-02
1.048990e-04 1.392881e+00 4.505210e-02
1.063469e-04 1.395193e+00 4.512689e-02
1.078147e-04 1.397476e+00 4.520070e-02
1.093027e-04 1.399728e+00 4.527355e-02
1.108113e-04 1.401951e+00 4.534546e-02
1.123408e-04 1.404145e+00 4.541642e-02
1.138913e-04 1.406310e+00 4.548646e-02
1.154632e-04 1.408447e+00 4.555558e-02
1.170569e-04 1.410557e+00 4.562380e-02
1.186725e-04 1.412638e+00 4.569112e-02
1.203104e-04 1.414692e+00 4.575756e-02
