# C ri=1.36 AU 430.9 eV Freidel Tail Paper 
r/ri  g_ii
0.20922384701912264     -0.007832898172323759
0.3329583802024747     0.050913838120104436
0.4116985376827897     0.1390339425587467
0.48143982002249724     0.20953002610966057
0.5466816647919011     0.3015665796344647
0.7581552305961755     0.5874673629242819
0.8728908886389202     0.6873368146214098
0.9741282339707538     0.7734986945169712
1.0686164229471318     0.8342036553524803
1.158605174353206     0.8870757180156658
1.2395950506186728     0.9223237597911226
1.313835770528684     0.9379895561357702
1.471316085489314     0.9693211488250651
1.6062992125984255     0.9889033942558746
1.7232845894263218     1.004569190600522
