      r[a_0]     n[bound]   n[unbound]
6.144212e-06 1.760922e-07 7.074641e-07
6.229015e-06 6.948119e-07 2.791461e-06
6.314988e-06 1.542164e-06 6.195763e-06
6.402148e-06 2.704595e-06 1.086592e-05
6.490511e-06 4.168984e-06 1.674922e-05
6.580093e-06 5.922626e-06 2.379461e-05
6.670912e-06 7.953220e-06 3.195268e-05
6.762984e-06 1.024886e-05 4.117560e-05
6.856327e-06 1.279803e-05 5.141707e-05
6.950959e-06 1.558956e-05 6.263228e-05
7.046896e-06 1.861267e-05 7.477787e-05
7.144158e-06 2.185692e-05 8.781189e-05
7.242762e-06 2.531220e-05 1.016937e-04
7.342727e-06 2.896873e-05 1.163841e-04
7.444072e-06 3.281706e-05 1.318451e-04
7.546815e-06 3.684806e-05 1.480399e-04
7.650976e-06 4.105286e-05 1.649331e-04
7.756576e-06 4.542293e-05 1.824902e-04
7.863632e-06 4.994999e-05 2.006780e-04
7.972167e-06 5.462605e-05 2.194644e-04
8.082199e-06 5.944339e-05 2.388185e-04
8.193750e-06 6.439455e-05 2.587101e-04
8.306840e-06 6.947230e-05 2.791104e-04
8.421492e-06 7.466968e-05 2.999913e-04
8.537726e-06 7.997996e-05 3.213257e-04
8.655564e-06 8.539663e-05 3.430876e-04
8.775028e-06 9.091340e-05 3.652517e-04
8.896142e-06 9.652422e-05 3.877936e-04
9.018927e-06 1.022232e-04 4.106898e-04
9.143406e-06 1.080048e-04 4.339177e-04
9.269604e-06 1.138634e-04 4.574552e-04
9.397544e-06 1.197939e-04 4.812813e-04
9.527249e-06 1.257911e-04 5.053755e-04
9.658745e-06 1.318501e-04 5.297182e-04
9.792055e-06 1.379663e-04 5.542905e-04
9.927206e-06 1.441351e-04 5.790739e-04
1.006422e-05 1.503520e-04 6.040509e-04
1.020313e-05 1.566129e-04 6.292045e-04
1.034395e-05 1.629136e-04 6.545183e-04
1.048672e-05 1.692503e-04 6.799765e-04
1.063146e-05 1.756192e-04 7.055639e-04
1.077819e-05 1.820166e-04 7.312660e-04
1.092696e-05 1.884391e-04 7.570686e-04
1.107777e-05 1.948831e-04 7.829582e-04
1.123067e-05 2.013456e-04 8.089217e-04
1.138567e-05 2.078234e-04 8.349466e-04
1.154282e-05 2.143134e-04 8.610209e-04
1.170213e-05 2.208129e-04 8.871329e-04
1.186365e-05 2.273189e-04 9.132715e-04
1.202739e-05 2.338290e-04 9.394261e-04
