      r[a_0]     n[bound]   n[unbound]
3.390406e-05 1.858866e-01 1.290269e-01
3.434561e-05 1.869292e-01 1.297505e-01
3.479292e-05 1.879612e-01 1.304669e-01
3.524605e-05 1.889827e-01 1.311759e-01
3.570508e-05 1.899938e-01 1.318777e-01
3.617009e-05 1.909945e-01 1.325723e-01
3.664116e-05 1.919849e-01 1.332598e-01
3.711836e-05 1.929651e-01 1.339402e-01
3.760178e-05 1.939351e-01 1.346135e-01
3.809149e-05 1.948950e-01 1.352798e-01
3.858758e-05 1.958450e-01 1.359391e-01
3.909013e-05 1.967849e-01 1.365916e-01
3.959923e-05 1.977150e-01 1.372371e-01
4.011495e-05 1.986352e-01 1.378759e-01
4.063740e-05 1.995457e-01 1.385079e-01
4.116664e-05 2.004465e-01 1.391331e-01
4.170278e-05 2.013378e-01 1.397518e-01
4.224591e-05 2.022194e-01 1.403638e-01
4.279610e-05 2.030917e-01 1.409692e-01
4.335346e-05 2.039545e-01 1.415681e-01
4.391809e-05 2.048081e-01 1.421606e-01
4.449006e-05 2.056524e-01 1.427466e-01
4.506948e-05 2.064875e-01 1.433263e-01
4.565645e-05 2.073136e-01 1.438997e-01
4.625107e-05 2.081306e-01 1.444668e-01
4.685342e-05 2.089387e-01 1.450277e-01
4.746363e-05 2.097379e-01 1.455825e-01
4.808178e-05 2.105284e-01 1.461311e-01
4.870798e-05 2.113101e-01 1.466737e-01
4.934233e-05 2.120832e-01 1.472103e-01
4.998495e-05 2.128477e-01 1.477410e-01
5.063594e-05 2.136037e-01 1.482658e-01
5.129540e-05 2.143513e-01 1.487847e-01
5.196346e-05 2.150906e-01 1.492978e-01
5.264021e-05 2.158216e-01 1.498052e-01
5.332578e-05 2.165443e-01 1.503069e-01
5.402027e-05 2.172590e-01 1.508030e-01
5.472382e-05 2.179656e-01 1.512934e-01
5.543652e-05 2.186643e-01 1.517784e-01
5.615851e-05 2.193550e-01 1.522578e-01
5.688990e-05 2.200379e-01 1.527318e-01
5.763081e-05 2.207131e-01 1.532005e-01
5.838137e-05 2.213806e-01 1.536638e-01
5.914171e-05 2.220404e-01 1.541218e-01
5.991195e-05 2.226928e-01 1.545746e-01
6.069223e-05 2.233376e-01 1.550222e-01
6.148266e-05 2.239751e-01 1.554647e-01
6.228339e-05 2.246052e-01 1.559021e-01
6.309455e-05 2.252281e-01 1.563345e-01
6.391627e-05 2.258438e-01 1.567618e-01
6.474869e-05 2.264525e-01 1.571843e-01
6.559196e-05 2.270540e-01 1.576018e-01
6.644620e-05 2.276486e-01 1.580146e-01
6.731158e-05 2.282363e-01 1.584225e-01
6.818822e-05 2.288172e-01 1.588257e-01
6.907628e-05 2.293913e-01 1.592242e-01
6.997590e-05 2.299587e-01 1.596180e-01
7.088725e-05 2.305194e-01 1.600072e-01
7.181046e-05 2.310736e-01 1.603919e-01
7.274569e-05 2.316214e-01 1.607721e-01
7.369311e-05 2.321627e-01 1.611478e-01
7.465286e-05 2.326976e-01 1.615191e-01
7.562511e-05 2.332262e-01 1.618861e-01
7.661003e-05 2.337486e-01 1.622487e-01
7.760777e-05 2.342649e-01 1.626070e-01
7.861851e-05 2.347750e-01 1.629611e-01
7.964241e-05 2.352791e-01 1.633110e-01
8.067964e-05 2.357772e-01 1.636567e-01
8.173039e-05 2.362694e-01 1.639984e-01
8.279482e-05 2.367558e-01 1.643360e-01
8.387311e-05 2.372363e-01 1.646695e-01
8.496544e-05 2.377112e-01 1.649991e-01
8.607200e-05 2.381804e-01 1.653248e-01
8.719297e-05 2.386439e-01 1.656466e-01
8.832855e-05 2.391020e-01 1.659645e-01
8.947891e-05 2.395545e-01 1.662786e-01
9.064425e-05 2.400016e-01 1.665890e-01
9.182477e-05 2.404434e-01 1.668956e-01
9.302066e-05 2.408798e-01 1.671985e-01
9.423213e-05 2.413110e-01 1.674978e-01
9.545938e-05 2.417370e-01 1.677935e-01
9.670261e-05 2.421578e-01 1.680856e-01
9.796203e-05 2.425736e-01 1.683742e-01
9.923785e-05 2.429843e-01 1.686593e-01
1.005303e-04 2.433901e-01 1.689410e-01
1.018396e-04 2.437910e-01 1.692192e-01
1.031659e-04 2.441870e-01 1.694941e-01
1.045095e-04 2.445781e-01 1.697656e-01
1.058706e-04 2.449646e-01 1.700338e-01
1.072494e-04 2.453463e-01 1.702988e-01
1.086462e-04 2.457234e-01 1.705605e-01
1.100612e-04 2.460958e-01 1.708191e-01
1.114946e-04 2.464638e-01 1.710745e-01
1.129466e-04 2.468272e-01 1.713267e-01
1.144176e-04 2.471862e-01 1.715759e-01
1.159077e-04 2.475408e-01 1.718220e-01
1.174173e-04 2.478910e-01 1.720651e-01
1.189465e-04 2.482370e-01 1.723053e-01
1.204956e-04 2.485787e-01 1.725424e-01
1.220649e-04 2.489161e-01 1.727767e-01
1.236546e-04 2.492495e-01 1.730081e-01
1.252651e-04 2.495787e-01 1.732366e-01
1.268965e-04 2.499039e-01 1.734623e-01
1.285491e-04 2.502250e-01 1.736852e-01
1.302233e-04 2.505422e-01 1.739054e-01
1.319193e-04 2.508555e-01 1.741228e-01
1.336374e-04 2.511649e-01 1.743376e-01
1.353778e-04 2.514704e-01 1.745497e-01
1.371409e-04 2.517722e-01 1.747591e-01
1.389270e-04 2.520702e-01 1.749660e-01
1.407363e-04 2.523645e-01 1.751702e-01
1.425692e-04 2.526551e-01 1.753720e-01
1.444260e-04 2.529422e-01 1.755712e-01
1.463070e-04 2.532256e-01 1.757680e-01
1.482124e-04 2.535055e-01 1.759623e-01
1.501427e-04 2.537819e-01 1.761541e-01
1.520981e-04 2.540549e-01 1.763436e-01
1.540789e-04 2.543244e-01 1.765307e-01
1.560856e-04 2.545906e-01 1.767154e-01
1.581184e-04 2.548534e-01 1.768978e-01
1.601777e-04 2.551129e-01 1.770780e-01
1.622638e-04 2.553692e-01 1.772559e-01
1.643771e-04 2.556223e-01 1.774315e-01
1.665179e-04 2.558721e-01 1.776049e-01
1.686865e-04 2.561188e-01 1.777762e-01
1.708834e-04 2.563624e-01 1.779453e-01
1.731090e-04 2.566029e-01 1.781122e-01
1.753635e-04 2.568404e-01 1.782771e-01
1.776474e-04 2.570749e-01 1.784398e-01
1.799610e-04 2.573064e-01 1.786005e-01
1.823047e-04 2.575350e-01 1.787592e-01
1.846790e-04 2.577606e-01 1.789158e-01
1.870842e-04 2.579834e-01 1.790704e-01
1.895207e-04 2.582034e-01 1.792231e-01
1.919890e-04 2.584206e-01 1.793739e-01
1.944894e-04 2.586350e-01 1.795227e-01
1.970223e-04 2.588466e-01 1.796696e-01
1.995883e-04 2.590556e-01 1.798147e-01
2.021877e-04 2.592619e-01 1.799578e-01
2.048209e-04 2.594655e-01 1.800992e-01
2.074884e-04 2.596666e-01 1.802387e-01
2.101906e-04 2.598650e-01 1.803765e-01
2.129281e-04 2.600610e-01 1.805125e-01
2.157012e-04 2.602543e-01 1.806467e-01
2.185104e-04 2.604452e-01 1.807792e-01
2.213562e-04 2.606337e-01 1.809100e-01
2.242391e-04 2.608197e-01 1.810391e-01
2.271595e-04 2.610033e-01 1.811666e-01
2.301180e-04 2.611845e-01 1.812924e-01
2.331149e-04 2.613634e-01 1.814165e-01
2.361509e-04 2.615400e-01 1.815391e-01
2.392265e-04 2.617142e-01 1.816600e-01
2.423421e-04 2.618862e-01 1.817794e-01
2.454983e-04 2.620560e-01 1.818973e-01
2.486956e-04 2.622235e-01 1.820136e-01
2.519345e-04 2.623889e-01 1.821283e-01
2.552156e-04 2.625521e-01 1.822416e-01
2.585394e-04 2.627132e-01 1.823534e-01
2.619066e-04 2.628721e-01 1.824638e-01
2.653175e-04 2.630290e-01 1.825726e-01
2.687729e-04 2.631838e-01 1.826801e-01
2.722733e-04 2.633365e-01 1.827861e-01
2.758193e-04 2.634873e-01 1.828907e-01
2.794115e-04 2.636360e-01 1.829940e-01
2.830505e-04 2.637828e-01 1.830959e-01
2.867368e-04 2.639277e-01 1.831964e-01
2.904712e-04 2.640706e-01 1.832956e-01
2.942542e-04 2.642116e-01 1.833935e-01
2.980864e-04 2.643507e-01 1.834901e-01
3.019686e-04 2.644880e-01 1.835854e-01
3.059014e-04 2.646234e-01 1.836794e-01
3.098853e-04 2.647571e-01 1.837721e-01
3.139212e-04 2.648889e-01 1.838636e-01
3.180096e-04 2.650190e-01 1.839539e-01
3.221512e-04 2.651473e-01 1.840430e-01
3.263468e-04 2.652738e-01 1.841308e-01
3.305970e-04 2.653987e-01 1.842175e-01
3.349026e-04 2.655219e-01 1.843030e-01
3.392643e-04 2.656434e-01 1.843873e-01
3.436827e-04 2.657632e-01 1.844705e-01
3.481587e-04 2.658814e-01 1.845526e-01
3.526930e-04 2.659980e-01 1.846335e-01
3.572864e-04 2.661130e-01 1.847133e-01
3.619395e-04 2.662264e-01 1.847920e-01
3.666533e-04 2.663383e-01 1.848697e-01
3.714285e-04 2.664486e-01 1.849463e-01
3.762658e-04 2.665574e-01 1.850218e-01
3.811662e-04 2.666647e-01 1.850962e-01
3.861304e-04 2.667704e-01 1.851696e-01
3.911592e-04 2.668747e-01 1.852420e-01
3.962535e-04 2.669776e-01 1.853134e-01
4.014142e-04 2.670790e-01 1.853838e-01
4.066421e-04 2.671790e-01 1.854532e-01
4.119380e-04 2.672775e-01 1.855216e-01
4.173030e-04 2.673747e-01 1.855891e-01
4.227378e-04 2.674705e-01 1.856556e-01
4.282434e-04 2.675649e-01 1.857211e-01
4.338207e-04 2.676580e-01 1.857857e-01
4.394706e-04 2.677497e-01 1.858494e-01
4.451941e-04 2.678401e-01 1.859121e-01
4.509922e-04 2.679293e-01 1.859740e-01
4.568657e-04 2.680171e-01 1.860350e-01
4.628158e-04 2.681036e-01 1.860950e-01
