      r[a_0]     n[bound]   n[unbound]
6.144212e-06 4.379235e-06 2.579286e-06
6.229015e-06 1.727927e-05 1.017716e-05
6.314988e-06 3.835206e-05 2.258863e-05
6.402148e-06 6.726056e-05 3.961518e-05
6.490511e-06 1.036784e-04 6.106462e-05
6.580093e-06 1.472897e-04 8.675083e-05
6.670912e-06 1.977886e-04 1.164937e-04
6.762984e-06 2.548789e-04 1.501188e-04
6.856327e-06 3.182740e-04 1.874573e-04
6.950959e-06 3.876967e-04 2.283459e-04
7.046896e-06 4.628784e-04 2.726265e-04
7.144158e-06 5.435595e-04 3.201462e-04
7.242762e-06 6.294888e-04 3.707568e-04
7.342727e-06 7.204230e-04 4.243154e-04
7.444072e-06 8.161272e-04 4.806833e-04
7.546815e-06 9.163738e-04 5.397266e-04
7.650976e-06 1.020943e-03 6.013159e-04
7.756576e-06 1.129622e-03 6.653258e-04
7.863632e-06 1.242206e-03 7.316352e-04
7.972167e-06 1.358494e-03 8.001272e-04
8.082199e-06 1.478297e-03 8.706885e-04
8.193750e-06 1.601427e-03 9.432098e-04
8.306840e-06 1.727705e-03 1.017585e-03
8.421492e-06 1.856959e-03 1.093713e-03
8.537726e-06 1.989020e-03 1.171495e-03
8.655564e-06 2.123727e-03 1.250834e-03
8.775028e-06 2.260923e-03 1.331640e-03
8.896142e-06 2.400459e-03 1.413824e-03
9.018927e-06 2.542187e-03 1.497299e-03
9.143406e-06 2.685968e-03 1.581984e-03
9.269604e-06 2.831666e-03 1.667797e-03
9.397544e-06 2.979150e-03 1.754663e-03
9.527249e-06 3.128294e-03 1.842506e-03
9.658745e-06 3.278977e-03 1.931254e-03
9.792055e-06 3.431079e-03 2.020840e-03
9.927206e-06 3.584489e-03 2.111196e-03
1.006422e-05 3.739098e-03 2.202257e-03
1.020313e-05 3.894799e-03 2.293962e-03
1.034395e-05 4.051492e-03 2.386251e-03
1.048672e-05 4.209079e-03 2.479067e-03
1.063146e-05 4.367466e-03 2.572354e-03
1.077819e-05 4.526562e-03 2.666058e-03
1.092696e-05 4.686281e-03 2.760129e-03
1.107777e-05 4.846537e-03 2.854518e-03
1.123067e-05 5.007252e-03 2.949175e-03
1.138567e-05 5.168346e-03 3.044057e-03
1.154282e-05 5.329746e-03 3.139118e-03
1.170213e-05 5.491380e-03 3.234318e-03
1.186365e-05 5.653178e-03 3.329614e-03
1.202739e-05 5.815075e-03 3.424968e-03
1.219339e-05 5.977007e-03 3.520342e-03
1.236168e-05 6.138912e-03 3.615702e-03
1.253230e-05 6.300733e-03 3.711011e-03
1.270527e-05 6.462413e-03 3.806238e-03
1.288063e-05 6.623899e-03 3.901350e-03
1.305841e-05 6.785138e-03 3.996316e-03
1.323864e-05 6.946081e-03 4.091109e-03
1.342136e-05 7.106681e-03 4.185699e-03
1.360661e-05 7.266893e-03 4.280061e-03
1.379441e-05 7.426673e-03 4.374168e-03
1.398480e-05 7.585980e-03 4.467997e-03
1.417782e-05 7.744774e-03 4.561523e-03
1.437350e-05 7.903017e-03 4.654725e-03
1.457188e-05 8.060673e-03 4.747582e-03
1.477300e-05 8.217709e-03 4.840073e-03
1.497690e-05 8.374090e-03 4.932179e-03
1.518361e-05 8.529786e-03 5.023881e-03
1.539318e-05 8.684767e-03 5.115162e-03
1.560564e-05 8.839005e-03 5.206005e-03
1.582103e-05 8.992473e-03 5.296395e-03
1.603939e-05 9.145146e-03 5.386316e-03
1.626077e-05 9.296998e-03 5.475754e-03
1.648520e-05 9.448009e-03 5.564696e-03
1.671273e-05 9.598154e-03 5.653129e-03
1.694340e-05 9.747415e-03 5.741041e-03
1.717725e-05 9.895772e-03 5.828420e-03
1.741433e-05 1.004321e-02 5.915257e-03
1.765469e-05 1.018970e-02 6.001539e-03
1.789836e-05 1.033524e-02 6.087260e-03
1.814539e-05 1.047981e-02 6.172408e-03
1.839583e-05 1.062340e-02 6.256976e-03
1.864973e-05 1.076598e-02 6.340957e-03
1.890714e-05 1.090756e-02 6.424342e-03
1.916810e-05 1.104811e-02 6.507126e-03
1.943265e-05 1.118763e-02 6.589302e-03
1.970087e-05 1.132611e-02 6.670864e-03
1.997278e-05 1.146354e-02 6.751807e-03
2.024844e-05 1.159991e-02 6.832126e-03
2.052791e-05 1.173521e-02 6.911816e-03
2.081124e-05 1.186944e-02 6.990874e-03
2.109848e-05 1.200259e-02 7.069296e-03
2.138968e-05 1.213465e-02 7.147079e-03
2.168490e-05 1.226563e-02 7.224219e-03
2.198420e-05 1.239550e-02 7.300714e-03
2.228762e-05 1.252428e-02 7.376563e-03
2.259524e-05 1.265196e-02 7.451763e-03
2.290710e-05 1.277853e-02 7.526312e-03
2.322327e-05 1.290400e-02 7.600209e-03
2.354379e-05 1.302836e-02 7.673454e-03
2.386875e-05 1.315161e-02 7.746046e-03
2.419818e-05 1.327375e-02 7.817984e-03
2.453217e-05 1.339478e-02 7.889268e-03
2.487076e-05 1.351470e-02 7.959898e-03
2.521403e-05 1.363351e-02 8.029875e-03
2.556204e-05 1.375121e-02 8.099199e-03
2.591484e-05 1.386780e-02 8.167870e-03
2.627252e-05 1.398329e-02 8.235891e-03
2.663514e-05 1.409768e-02 8.303261e-03
2.700276e-05 1.421096e-02 8.369982e-03
2.737545e-05 1.432314e-02 8.436057e-03
2.775329e-05 1.443423e-02 8.501486e-03
2.813634e-05 1.454423e-02 8.566272e-03
2.852468e-05 1.465314e-02 8.630416e-03
2.891838e-05 1.476096e-02 8.693921e-03
2.931751e-05 1.486770e-02 8.756789e-03
2.972215e-05 1.497336e-02 8.819023e-03
3.013238e-05 1.507795e-02 8.880625e-03
3.054827e-05 1.518147e-02 8.941598e-03
3.096990e-05 1.528393e-02 9.001945e-03
3.139735e-05 1.538534e-02 9.061668e-03
3.183069e-05 1.548569e-02 9.120772e-03
3.227002e-05 1.558499e-02 9.179259e-03
3.271541e-05 1.568325e-02 9.237132e-03
3.316695e-05 1.578047e-02 9.294395e-03
3.362473e-05 1.587667e-02 9.351052e-03
3.408882e-05 1.597184e-02 9.407105e-03
3.455931e-05 1.606599e-02 9.462559e-03
3.503630e-05 1.615913e-02 9.517417e-03
3.551987e-05 1.625126e-02 9.571683e-03
3.601012e-05 1.634240e-02 9.625361e-03
3.650714e-05 1.643254e-02 9.678454e-03
3.701101e-05 1.652170e-02 9.730968e-03
3.752184e-05 1.660989e-02 9.782905e-03
3.803971e-05 1.669710e-02 9.834270e-03
3.856474e-05 1.678334e-02 9.885066e-03
3.909701e-05 1.686863e-02 9.935299e-03
3.963663e-05 1.695297e-02 9.984973e-03
4.018370e-05 1.703636e-02 1.003409e-02
4.073832e-05 1.711882e-02 1.008266e-02
4.130059e-05 1.720035e-02 1.013068e-02
4.187062e-05 1.728096e-02 1.017815e-02
4.244852e-05 1.736065e-02 1.022509e-02
4.303440e-05 1.743944e-02 1.027150e-02
4.362836e-05 1.751733e-02 1.031737e-02
4.423052e-05 1.759433e-02 1.036272e-02
4.484099e-05 1.767044e-02 1.040755e-02
4.545989e-05 1.774568e-02 1.045187e-02
4.608733e-05 1.782005e-02 1.049567e-02
4.672343e-05 1.789356e-02 1.053896e-02
4.736831e-05 1.796621e-02 1.058175e-02
4.802209e-05 1.803802e-02 1.062405e-02
4.868489e-05 1.810899e-02 1.066585e-02
4.935685e-05 1.817912e-02 1.070716e-02
5.003807e-05 1.824844e-02 1.074798e-02
5.072870e-05 1.831694e-02 1.078833e-02
5.142886e-05 1.838463e-02 1.082819e-02
5.213868e-05 1.845152e-02 1.086759e-02
5.285830e-05 1.851762e-02 1.090652e-02
5.358786e-05 1.858293e-02 1.094499e-02
5.432748e-05 1.864746e-02 1.098300e-02
5.507731e-05 1.871122e-02 1.102055e-02
5.583749e-05 1.877422e-02 1.105766e-02
5.660816e-05 1.883647e-02 1.109432e-02
5.738947e-05 1.889796e-02 1.113054e-02
5.818156e-05 1.895872e-02 1.116632e-02
5.898459e-05 1.901874e-02 1.120168e-02
5.979870e-05 1.907804e-02 1.123660e-02
6.062404e-05 1.913662e-02 1.127110e-02
6.146078e-05 1.919449e-02 1.130518e-02
6.230906e-05 1.925165e-02 1.133885e-02
6.316906e-05 1.930812e-02 1.137211e-02
6.404092e-05 1.936389e-02 1.140496e-02
6.492481e-05 1.941899e-02 1.143741e-02
6.582091e-05 1.947341e-02 1.146946e-02
6.672937e-05 1.952716e-02 1.150112e-02
6.765038e-05 1.958025e-02 1.153239e-02
6.858409e-05 1.963268e-02 1.156327e-02
6.953069e-05 1.968447e-02 1.159378e-02
7.049036e-05 1.973562e-02 1.162390e-02
7.146327e-05 1.978614e-02 1.165366e-02
7.244961e-05 1.983602e-02 1.168304e-02
7.344956e-05 1.988529e-02 1.171206e-02
7.446332e-05 1.993395e-02 1.174071e-02
7.549106e-05 1.998200e-02 1.176901e-02
7.653299e-05 2.002945e-02 1.179696e-02
7.758931e-05 2.007631e-02 1.182456e-02
7.866020e-05 2.012258e-02 1.185181e-02
7.974587e-05 2.016827e-02 1.187872e-02
8.084653e-05 2.021338e-02 1.190530e-02
8.196237e-05 2.025793e-02 1.193153e-02
8.309362e-05 2.030192e-02 1.195744e-02
8.424049e-05 2.034535e-02 1.198302e-02
8.540318e-05 2.038824e-02 1.200828e-02
8.658192e-05 2.043058e-02 1.203322e-02
8.777692e-05 2.047239e-02 1.205785e-02
8.898843e-05 2.051367e-02 1.208216e-02
9.021665e-05 2.055442e-02 1.210616e-02
9.146182e-05 2.059466e-02 1.212986e-02
9.272418e-05 2.063438e-02 1.215326e-02
9.400397e-05 2.067360e-02 1.217635e-02
9.530142e-05 2.071232e-02 1.219916e-02
9.661677e-05 2.075054e-02 1.222167e-02
9.795028e-05 2.078827e-02 1.224389e-02
9.930220e-05 2.082552e-02 1.226583e-02
1.006728e-04 2.086230e-02 1.228749e-02
1.020623e-04 2.089860e-02 1.230887e-02
1.034709e-04 2.093443e-02 1.232998e-02
1.048990e-04 2.096981e-02 1.235081e-02
1.063469e-04 2.100472e-02 1.237138e-02
1.078147e-04 2.103919e-02 1.239168e-02
1.093027e-04 2.107321e-02 1.241172e-02
1.108113e-04 2.110680e-02 1.243150e-02
1.123408e-04 2.113995e-02 1.245102e-02
1.138913e-04 2.117267e-02 1.247030e-02
1.154632e-04 2.120496e-02 1.248932e-02
1.170569e-04 2.123684e-02 1.250809e-02
1.186725e-04 2.126830e-02 1.252662e-02
1.203104e-04 2.129935e-02 1.254491e-02
1.219709e-04 2.133000e-02 1.256296e-02
1.236544e-04 2.136025e-02 1.258078e-02
1.253611e-04 2.139011e-02 1.259836e-02
1.270913e-04 2.141957e-02 1.261572e-02
1.288454e-04 2.144865e-02 1.263284e-02
1.306238e-04 2.147735e-02 1.264975e-02
1.324266e-04 2.150567e-02 1.266643e-02
1.342544e-04 2.153362e-02 1.268289e-02
1.361074e-04 2.156121e-02 1.269914e-02
1.379859e-04 2.158843e-02 1.271517e-02
1.398904e-04 2.161529e-02 1.273099e-02
1.418212e-04 2.164180e-02 1.274661e-02
1.437786e-04 2.166796e-02 1.276201e-02
1.457631e-04 2.169377e-02 1.277722e-02
1.477749e-04 2.171925e-02 1.279222e-02
1.498145e-04 2.174439e-02 1.280703e-02
1.518822e-04 2.176919e-02 1.282164e-02
1.539785e-04 2.179366e-02 1.283605e-02
1.561037e-04 2.181781e-02 1.285028e-02
1.582583e-04 2.184164e-02 1.286431e-02
1.604426e-04 2.186516e-02 1.287816e-02
1.626570e-04 2.188836e-02 1.289182e-02
1.649020e-04 2.191125e-02 1.290531e-02
1.671780e-04 2.193383e-02 1.291861e-02
1.694854e-04 2.195612e-02 1.293173e-02
1.718247e-04 2.197811e-02 1.294468e-02
1.741962e-04 2.199980e-02 1.295746e-02
1.766005e-04 2.202120e-02 1.297006e-02
1.790379e-04 2.204231e-02 1.298250e-02
1.815090e-04 2.206315e-02 1.299477e-02
1.840142e-04 2.208370e-02 1.300688e-02
1.865540e-04 2.210397e-02 1.301882e-02
1.891288e-04 2.212398e-02 1.303060e-02
1.917392e-04 2.214371e-02 1.304222e-02
1.943855e-04 2.216317e-02 1.305369e-02
1.970685e-04 2.218238e-02 1.306500e-02
1.997884e-04 2.220132e-02 1.307615e-02
2.025459e-04 2.222001e-02 1.308716e-02
2.053415e-04 2.223844e-02 1.309802e-02
2.081756e-04 2.225663e-02 1.310873e-02
2.110488e-04 2.227456e-02 1.311929e-02
2.139617e-04 2.229225e-02 1.312971e-02
2.169149e-04 2.230970e-02 1.313999e-02
2.199087e-04 2.232692e-02 1.315013e-02
2.229439e-04 2.234390e-02 1.316013e-02
2.260210e-04 2.236064e-02 1.316999e-02
2.291406e-04 2.237716e-02 1.317972e-02
