 ,Case ID,Element,Atomic Number,Atomic Weight [a.u.],Mass [g],Number Density [N/cc],Mass Density [g/cc],Temperature [eV],Priority Level,Zbar (AAM),Wigner-Seitz Radius [cm],Plasma Frequency [rad/s],Coupling Constant,e Thomas-Fermi Wavelength [cm],Screening Parameter (kappa),Effective Coupling Constant,Average-Bound Radius [cm],mu (eV),p (Bar),cv (erg/K/cc),cp (erg/K/cc)
0,H1,H,1,1.0078,1.69E-24,5.98E+023,1,2,1,1,0.00000000736,,,,,,0,,1.69E+06,,
1,C1,C,6,12.0011,2.01E-23,5.01E+023,10,2,1,4,0.00000000781,,,,,,0.00000000146,,21200000,,
2,Al1,Al,13,26.982,4.51E-23,6.03E+022,2.7,1,1,3,0.0000000158,,,,,,0.00000000276,,229000,,
