      r[a_0]     n[bound]   n[unbound]
6.144212e-06 3.802056e-06 7.842344e-06
6.224232e-06 1.501333e-05 3.096737e-05
6.305295e-06 3.334803e-05 6.878560e-05
6.387413e-06 5.852890e-05 1.207251e-04
6.470600e-06 9.028701e-05 1.862313e-04
6.554871e-06 1.283615e-04 2.647659e-04
6.640239e-06 1.724993e-04 3.558073e-04
6.726720e-06 2.224552e-04 4.588491e-04
6.814326e-06 2.779911e-04 5.734008e-04
6.903074e-06 3.388764e-04 6.989863e-04
6.992977e-06 4.048874e-04 8.351445e-04
7.084051e-06 4.758072e-04 9.814279e-04
7.176311e-06 5.514257e-04 1.137403e-03
7.269773e-06 6.315391e-04 1.302650e-03
7.364452e-06 7.159499e-04 1.476760e-03
7.460364e-06 8.044668e-04 1.659340e-03
7.557525e-06 8.969044e-04 1.850008e-03
7.655952e-06 9.930831e-04 2.048391e-03
7.755660e-06 1.092829e-03 2.254133e-03
7.856667e-06 1.195973e-03 2.466884e-03
7.958990e-06 1.302352e-03 2.686308e-03
8.062645e-06 1.411808e-03 2.912078e-03
8.167650e-06 1.524188e-03 3.143880e-03
8.274023e-06 1.639344e-03 3.381407e-03
8.381781e-06 1.757132e-03 3.624364e-03
8.490942e-06 1.877414e-03 3.872463e-03
8.601525e-06 2.000054e-03 4.125428e-03
8.713549e-06 2.124922e-03 4.382989e-03
8.827031e-06 2.251894e-03 4.644889e-03
8.941991e-06 2.380847e-03 4.910874e-03
9.058448e-06 2.511663e-03 5.180703e-03
9.176423e-06 2.644228e-03 5.454140e-03
9.295933e-06 2.778433e-03 5.730959e-03
9.417000e-06 2.914170e-03 6.010938e-03
9.539644e-06 3.051337e-03 6.293867e-03
9.663885e-06 3.189835e-03 6.579540e-03
9.789744e-06 3.329567e-03 6.867759e-03
9.917242e-06 3.470439e-03 7.158332e-03
1.004640e-05 3.612364e-03 7.451073e-03
1.017724e-05 3.755253e-03 7.745805e-03
1.030979e-05 3.899024e-03 8.042355e-03
1.044406e-05 4.043595e-03 8.340555e-03
1.058008e-05 4.188888e-03 8.640246e-03
1.071787e-05 4.334829e-03 8.941272e-03
1.085745e-05 4.481344e-03 9.243483e-03
1.099886e-05 4.628364e-03 9.546735e-03
