      r[a_0]     n[bound]   n[unbound]
6.144212e-06 4.039510e-05 5.601790e-06
6.229015e-06 1.593881e-04 2.210314e-05
6.314988e-06 3.537684e-04 4.905883e-05
6.402148e-06 6.204273e-04 8.603774e-05
6.490511e-06 9.563544e-04 1.326224e-04
6.580093e-06 1.358635e-03 1.884087e-04
6.670912e-06 1.824448e-03 2.530053e-04
6.762984e-06 2.351063e-03 3.260336e-04
6.856327e-06 2.935834e-03 4.071268e-04
6.950959e-06 3.576205e-03 4.959302e-04
7.046896e-06 4.269699e-03 5.921004e-04
7.144158e-06 5.013921e-03 6.953054e-04
7.242762e-06 5.806552e-03 8.052235e-04
7.342727e-06 6.645351e-03 9.215439e-04
7.444072e-06 7.528148e-03 1.043966e-03
7.546815e-06 8.452847e-03 1.172198e-03
7.650976e-06 9.417417e-03 1.305960e-03
7.756576e-06 1.041990e-02 1.444979e-03
7.863632e-06 1.145839e-02 1.588992e-03
7.972167e-06 1.253107e-02 1.737746e-03
8.082199e-06 1.363615e-02 1.890993e-03
8.193750e-06 1.477193e-02 2.048498e-03
8.306840e-06 1.593675e-02 2.210029e-03
8.421492e-06 1.712902e-02 2.375366e-03
8.537726e-06 1.834718e-02 2.544295e-03
8.655564e-06 1.958974e-02 2.716607e-03
8.775028e-06 2.085528e-02 2.892105e-03
8.896142e-06 2.214238e-02 3.070594e-03
9.018927e-06 2.344971e-02 3.251889e-03
9.143406e-06 2.477598e-02 3.435809e-03
9.269604e-06 2.611993e-02 3.622181e-03
9.397544e-06 2.748036e-02 3.810838e-03
9.527249e-06 2.885610e-02 4.001618e-03
9.658745e-06 3.024602e-02 4.194366e-03
9.792055e-06 3.164905e-02 4.388931e-03
9.927206e-06 3.306413e-02 4.585168e-03
1.006422e-05 3.449027e-02 4.782938e-03
1.020313e-05 3.592649e-02 4.982106e-03
1.034395e-05 3.737186e-02 5.182542e-03
1.048672e-05 3.882547e-02 5.384122e-03
1.063146e-05 4.028647e-02 5.586725e-03
1.077819e-05 4.175400e-02 5.790235e-03
1.092696e-05 4.322728e-02 5.994541e-03
1.107777e-05 4.470552e-02 6.199536e-03
1.123067e-05 4.618798e-02 6.405116e-03
1.138567e-05 4.767394e-02 6.611183e-03
1.154282e-05 4.916272e-02 6.817640e-03
1.170213e-05 5.065366e-02 7.024395e-03
1.186365e-05 5.214612e-02 7.231361e-03
1.202739e-05 5.363948e-02 7.438454e-03
1.219339e-05 5.513316e-02 7.645590e-03
1.236168e-05 5.662661e-02 7.852694e-03
1.253230e-05 5.811927e-02 8.059689e-03
1.270527e-05 5.961063e-02 8.266503e-03
1.288063e-05 6.110020e-02 8.473069e-03
1.305841e-05 6.258749e-02 8.679319e-03
1.323864e-05 6.407206e-02 8.885191e-03
1.342136e-05 6.555345e-02 9.090624e-03
1.360661e-05 6.703127e-02 9.295560e-03
1.379441e-05 6.850510e-02 9.499943e-03
1.398480e-05 6.997456e-02 9.703721e-03
1.417782e-05 7.143930e-02 9.906843e-03
1.437350e-05 7.289895e-02 1.010926e-02
1.457188e-05 7.435319e-02 1.031093e-02
1.477300e-05 7.580170e-02 1.051180e-02
1.497690e-05 7.724418e-02 1.071183e-02
1.518361e-05 7.868033e-02 1.091099e-02
1.539318e-05 8.010989e-02 1.110924e-02
1.560564e-05 8.153259e-02 1.130653e-02
1.582103e-05 8.294819e-02 1.150284e-02
1.603939e-05 8.435645e-02 1.169813e-02
1.626077e-05 8.575715e-02 1.189237e-02
1.648520e-05 8.715007e-02 1.208553e-02
1.671273e-05 8.853502e-02 1.227759e-02
1.694340e-05 8.991181e-02 1.246852e-02
1.717725e-05 9.128026e-02 1.265829e-02
