# r/r_s,   beta v_ii^eff   (both unitless)
2.564999999999999503e+00, 2.984368992922853403e-01
2.574999999999999289e+00, 2.972147639985593393e-01
2.584999999999999520e+00, 2.960021740699220749e-01
2.594999999999999307e+00, 2.947990184266604530e-01
2.604999999999999538e+00, 2.936051890970616252e-01
2.614999999999999325e+00, 2.924205783802129588e-01
2.624999999999999556e+00, 2.912450815763353851e-01
2.634999999999999343e+00, 2.900785942358118374e-01
2.644999999999999574e+00, 2.889210148077904217e-01
2.654999999999999361e+00, 2.877722419721788771e-01
2.664999999999999591e+00, 2.866321772095523079e-01
2.674999999999999378e+00, 2.855007222130030442e-01
2.684999999999999609e+00, 2.843777813822567779e-01
2.694999999999999396e+00, 2.832632593124032039e-01
2.704999999999999627e+00, 2.821570632149957847e-01
2.714999999999999414e+00, 2.810591004808198345e-01
2.724999999999999645e+00, 2.799692810306342317e-01
2.734999999999999432e+00, 2.788875149492591743e-01
2.744999999999999662e+00, 2.778137147684973662e-01
2.754999999999999449e+00, 2.767477931699467431e-01
2.764999999999999680e+00, 2.756896652025312422e-01
2.774999999999999467e+00, 2.746392460515512668e-01
2.784999999999999254e+00, 2.735964531931545096e-01
2.794999999999999485e+00, 2.725612042272448909e-01
2.804999999999999272e+00, 2.715334189711209323e-01
2.814999999999999503e+00, 2.705130173539691540e-01
2.824999999999999289e+00, 2.694999214518039587e-01
2.834999999999999520e+00, 2.684940534413651214e-01
2.844999999999999307e+00, 2.674953375784066556e-01
2.854999999999999538e+00, 2.665036982089108442e-01
2.864999999999999325e+00, 2.655190616926856317e-01
2.874999999999999556e+00, 2.645413544698954622e-01
2.884999999999999343e+00, 2.635705049318487481e-01
2.894999999999999574e+00, 2.626064415409282149e-01
2.904999999999999361e+00, 2.616490946503707282e-01
2.914999999999999591e+00, 2.606983946757602810e-01
2.924999999999999378e+00, 2.597542738655300165e-01
2.934999999999999609e+00, 2.588166645222556572e-01
2.944999999999999396e+00, 2.578855007255402843e-01
2.954999999999999627e+00, 2.569607166014165611e-01
2.964999999999999414e+00, 2.560422479992095490e-01
2.974999999999999645e+00, 2.551300308074243572e-01
2.984999999999999432e+00, 2.542240025861172148e-01
2.994999999999999218e+00, 2.533241009277130140e-01
3.004999999999999449e+00, 2.524302650463526310e-01
3.014999999999999236e+00, 2.515424341821470566e-01
3.024999999999999467e+00, 2.506605491489113380e-01
3.034999999999999254e+00, 2.497845507804204446e-01
3.044999999999999485e+00, 2.489143814378872166e-01
3.054999999999999272e+00, 2.480499834968413475e-01
3.064999999999999503e+00, 2.471913008156537139e-01
3.074999999999999289e+00, 2.463382772617134508e-01
3.084999999999999520e+00, 2.454908581422547142e-01
3.094999999999999307e+00, 2.446489887685583398e-01
3.104999999999999538e+00, 2.438126158502842977e-01
3.114999999999999325e+00, 2.429816860964744418e-01
3.124999999999999556e+00, 2.421561475745517555e-01
3.134999999999999343e+00, 2.413359483469473821e-01
3.144999999999999574e+00, 2.405210377958807155e-01
3.154999999999999361e+00, 2.397113652944786177e-01
3.164999999999999591e+00, 2.389068814984115219e-01
3.174999999999999378e+00, 2.381075370504163458e-01
3.184999999999999609e+00, 2.373132838398198108e-01
3.194999999999999396e+00, 2.365240737394166404e-01
3.204999999999999183e+00, 2.357398598338786566e-01
3.214999999999999414e+00, 2.349605951879778776e-01
3.224999999999999201e+00, 2.341862340448377378e-01
3.234999999999999432e+00, 2.334167306245319429e-01
3.244999999999999218e+00, 2.326520402931009923e-01
3.254999999999999449e+00, 2.318921183905908179e-01
3.264999999999999236e+00, 2.311369213717243687e-01
3.274999999999999467e+00, 2.303864056624786993e-01
3.284999999999999254e+00, 2.296405287732696532e-01
3.294999999999999485e+00, 2.288992481831988168e-01
3.304999999999999272e+00, 2.281625224265768359e-01
3.314999999999999503e+00, 2.274303100040051262e-01
3.324999999999999289e+00, 2.267025704430351285e-01
3.334999999999999520e+00, 2.259792632352762010e-01
3.344999999999999307e+00, 2.252603488719595315e-01
3.354999999999999538e+00, 2.245457878062967760e-01
3.364999999999999325e+00, 2.238355414646885644e-01
3.374999999999999556e+00, 2.231295712335836789e-01
3.384999999999999343e+00, 2.224278394470473041e-01
3.394999999999999574e+00, 2.217303083973983235e-01
3.404999999999999361e+00, 2.210369412998278160e-01
3.414999999999999591e+00, 2.203477013261150586e-01
3.424999999999999378e+00, 2.196625525469630691e-01
3.434999999999999165e+00, 2.189814589881202145e-01
3.444999999999999396e+00, 2.183043855510770070e-01
3.454999999999999183e+00, 2.176312970909417832e-01
3.464999999999999414e+00, 2.169621593161190631e-01
3.474999999999999201e+00, 2.162969378873138837e-01
3.484999999999999432e+00, 2.156355992967904367e-01
3.494999999999999218e+00, 2.149781099879002066e-01
3.504999999999999449e+00, 2.143244372144993137e-01
3.514999999999999236e+00, 2.136745481804138980e-01
3.524999999999999467e+00, 2.130284108795782450e-01
3.534999999999999254e+00, 2.123859932548732010e-01
3.544999999999999485e+00, 2.117472640195227629e-01
3.554999999999999272e+00, 2.111121918347604598e-01
3.564999999999999503e+00, 2.104807461130089319e-01
3.574999999999999289e+00, 2.098528962138450082e-01
3.584999999999999520e+00, 2.092286122294684803e-01
3.594999999999999307e+00, 2.086078641984554782e-01
3.604999999999999538e+00, 2.079906228740043550e-01
3.614999999999999325e+00, 2.073768589549864205e-01
3.624999999999999556e+00, 2.067665438374399201e-01
3.634999999999999343e+00, 2.061596488624405643e-01
3.644999999999999130e+00, 2.055561460513034844e-01
3.654999999999999361e+00, 2.049560073698108165e-01
3.664999999999999147e+00, 2.043592054475636410e-01
3.674999999999999378e+00, 2.037657128581210897e-01
3.684999999999999165e+00, 2.031755028229299542e-01
3.694999999999999396e+00, 2.025885485069457981e-01
3.704999999999999183e+00, 2.020048237075515174e-01
3.714999999999999414e+00, 2.014243021652429855e-01
3.724999999999999201e+00, 2.008469582379410756e-01
3.734999999999999432e+00, 2.002727662263356356e-01
3.744999999999999218e+00, 1.997017010339769416e-01
3.754999999999999449e+00, 1.991337375068895355e-01
3.764999999999999236e+00, 1.985688510798197248e-01
3.774999999999999467e+00, 1.980070171297378667e-01
3.784999999999999254e+00, 1.974482116086079542e-01
3.794999999999999485e+00, 1.968924104104112227e-01
3.804999999999999272e+00, 1.963395899907891262e-01
3.814999999999999503e+00, 1.957897267472357428e-01
3.824999999999999289e+00, 1.952427976259540066e-01
3.834999999999999520e+00, 1.946987795148719669e-01
3.844999999999999307e+00, 1.941576498380462590e-01
3.854999999999999094e+00, 1.936193859611669010e-01
3.864999999999999325e+00, 1.930839657738279425e-01
3.874999999999999112e+00, 1.925513671071995558e-01
3.884999999999999343e+00, 1.920215683044771970e-01
3.894999999999999130e+00, 1.914945476504074096e-01
3.904999999999999361e+00, 1.909702839302147293e-01
3.914999999999999147e+00, 1.904487558706812189e-01
3.924999999999999378e+00, 1.899299426878421626e-01
3.934999999999999165e+00, 1.894138235393239000e-01
3.944999999999999396e+00, 1.889003780610942762e-01
3.954999999999999183e+00, 1.883895858307717275e-01
3.964999999999999414e+00, 1.878814268937056831e-01
3.974999999999999201e+00, 1.873758812369808735e-01
3.984999999999999432e+00, 1.868729293050939433e-01
3.994999999999999218e+00, 1.863725514843847519e-01
4.004999999999999893e+00, 1.858747286085686568e-01
4.014999999999999680e+00, 1.853794414533343204e-01
4.024999999999999467e+00, 1.848866712319813255e-01
4.034999999999999254e+00, 1.843963990999336611e-01
4.044999999999999041e+00, 1.839086066407263353e-01
4.054999999999999716e+00, 1.834232753801884330e-01
4.064999999999999503e+00, 1.829403872630168959e-01
4.074999999999999289e+00, 1.824599241763895929e-01
4.084999999999999076e+00, 1.819818684173559742e-01
4.094999999999998863e+00, 1.815062022256515861e-01
4.104999999999999538e+00, 1.810329082421263946e-01
4.114999999999999325e+00, 1.805619690505372577e-01
4.124999999999999112e+00, 1.800933676272307715e-01
4.134999999999998899e+00, 1.796270868916949870e-01
4.144999999999999574e+00, 1.791631101477083599e-01
4.154999999999999361e+00, 1.787014206424399065e-01
4.164999999999999147e+00, 1.782420019992671800e-01
4.174999999999998934e+00, 1.777848377852190853e-01
4.184999999999999609e+00, 1.773299119356625819e-01
4.194999999999999396e+00, 1.768772083298897069e-01
4.204999999999999183e+00, 1.764267112078636845e-01
4.214999999999998970e+00, 1.759784047537576168e-01
4.224999999999999645e+00, 1.755322735049475724e-01
4.234999999999999432e+00, 1.750883019433138732e-01
4.244999999999999218e+00, 1.746464748966645719e-01
4.254999999999999005e+00, 1.742067771376147045e-01
4.264999999999999680e+00, 1.737691937776188467e-01
4.274999999999999467e+00, 1.733337098732502524e-01
4.284999999999999254e+00, 1.729003108130128807e-01
4.294999999999999041e+00, 1.724689819308508898e-01
4.304999999999998828e+00, 1.720397088859047241e-01
4.314999999999999503e+00, 1.716124772830825429e-01
4.324999999999999289e+00, 1.711872730459262359e-01
4.334999999999999076e+00, 1.707640820440796126e-01
4.344999999999998863e+00, 1.703428904594214977e-01
4.354999999999999538e+00, 1.699236844202729746e-01
4.364999999999999325e+00, 1.695064503609518269e-01
4.374999999999999112e+00, 1.690911746625650136e-01
4.384999999999998899e+00, 1.686778440061319773e-01
4.394999999999999574e+00, 1.682664450198123884e-01
4.404999999999999361e+00, 1.678569646257471182e-01
4.414999999999999147e+00, 1.674493896935719262e-01
4.424999999999998934e+00, 1.670437073811176509e-01
4.434999999999999609e+00, 1.666399047940703704e-01
4.444999999999999396e+00, 1.662379693206665898e-01
4.454999999999999183e+00, 1.658378882973620405e-01
4.464999999999998970e+00, 1.654396493376557864e-01
4.474999999999999645e+00, 1.650432400036336289e-01
4.484999999999999432e+00, 1.646486481290518056e-01
4.494999999999999218e+00, 1.642558614966232455e-01
4.504999999999999005e+00, 1.638648681554883690e-01
4.514999999999998792e+00, 1.634756561041167677e-01
4.524999999999999467e+00, 1.630882136022895335e-01
4.534999999999999254e+00, 1.627025288594910746e-01
4.544999999999999041e+00, 1.623185903415236830e-01
4.554999999999998828e+00, 1.619363864642689721e-01
4.564999999999999503e+00, 1.615559058950527538e-01
4.574999999999999289e+00, 1.611771372516575263e-01
4.584999999999999076e+00, 1.608000693985509877e-01
4.594999999999998863e+00, 1.604246911510373852e-01
4.604999999999999538e+00, 1.600509915664590221e-01
4.614999999999999325e+00, 1.596789596533758071e-01
4.624999999999999112e+00, 1.593085846578488618e-01
4.634999999999998899e+00, 1.589398557775367482e-01
4.644999999999999574e+00, 1.585727624431698679e-01
4.654999999999999361e+00, 1.582072940374567860e-01
4.664999999999999147e+00, 1.578434401718509517e-01
4.674999999999998934e+00, 1.574811904101651172e-01
4.684999999999999609e+00, 1.571205345407312437e-01
4.694999999999999396e+00, 1.567614623046214295e-01
4.704999999999999183e+00, 1.564039636632980068e-01
4.714999999999998970e+00, 1.560480285313450566e-01
4.724999999999998757e+00, 1.556936470397033700e-01
4.734999999999999432e+00, 1.553408092728158774e-01
4.744999999999999218e+00, 1.549895055275412326e-01
4.754999999999999005e+00, 1.546397260546203412e-01
4.764999999999998792e+00, 1.542914613133591073e-01
4.774999999999999467e+00, 1.539447017173246890e-01
4.784999999999999254e+00, 1.535994378848853925e-01
4.794999999999999041e+00, 1.532556603890495861e-01
4.804999999999998828e+00, 1.529133600039486174e-01
4.814999999999999503e+00, 1.525725274587305946e-01
4.824999999999999289e+00, 1.522331536800715923e-01
4.834999999999999076e+00, 1.518952295500404781e-01
4.844999999999998863e+00, 1.515587461447193418e-01
4.854999999999999538e+00, 1.512236944959577389e-01
4.864999999999999325e+00, 1.508900658261820293e-01
4.874999999999999112e+00, 1.505578513139594066e-01
4.884999999999998899e+00, 1.502270423250742504e-01
4.894999999999999574e+00, 1.498976301818233658e-01
4.904999999999999361e+00, 1.495696063904353723e-01
4.914999999999999147e+00, 1.492429624140206856e-01
4.924999999999998934e+00, 1.489176898964100215e-01
4.934999999999998721e+00, 1.485937804386827932e-01
4.944999999999999396e+00, 1.482712258194966992e-01
4.954999999999999183e+00, 1.479500177751248979e-01
4.964999999999998970e+00, 1.476301482163448753e-01
4.974999999999998757e+00, 1.473116090119138133e-01
4.984999999999999432e+00, 1.469943922020866545e-01
4.994999999999999218e+00, 1.466784897854601366e-01
5.004999999999999005e+00, 1.463638939291880825e-01
5.014999999999998792e+00, 1.460505967591254617e-01
5.024999999999999467e+00, 1.457385905668065751e-01
5.034999999999999254e+00, 1.454278676028246398e-01
5.044999999999999041e+00, 1.451184202806372892e-01
5.054999999999998828e+00, 1.448102409731147899e-01
5.064999999999999503e+00, 1.445033222132383055e-01
5.074999999999999289e+00, 1.441976564937534344e-01
5.084999999999999076e+00, 1.438932364648208007e-01
5.094999999999998863e+00, 1.435900547367155722e-01
5.104999999999999538e+00, 1.432881040744887480e-01
5.114999999999999325e+00, 1.429873772036545920e-01
5.124999999999999112e+00, 1.426878670019194606e-01
5.134999999999998899e+00, 1.423895663077987261e-01
5.144999999999998685e+00, 1.420924681094712094e-01
5.154999999999999361e+00, 1.417965653562670847e-01
5.164999999999999147e+00, 1.415018511447053984e-01
5.174999999999998934e+00, 1.412083185327964174e-01
5.184999999999998721e+00, 1.409159607233156364e-01
5.194999999999999396e+00, 1.406247708808667507e-01
5.204999999999999183e+00, 1.403347423124468585e-01
5.214999999999998970e+00, 1.400458682872156024e-01
5.224999999999998757e+00, 1.397581422144017205e-01
5.234999999999999432e+00, 1.394715574657292290e-01
5.244999999999999218e+00, 1.391861075507157264e-01
5.254999999999999005e+00, 1.389017859417033263e-01
5.264999999999998792e+00, 1.386185862465986185e-01
5.274999999999999467e+00, 1.383365020364595577e-01
5.284999999999999254e+00, 1.380555270157265424e-01
5.294999999999999041e+00, 1.377756548523137725e-01
5.304999999999998828e+00, 1.374968793453799076e-01
5.314999999999999503e+00, 1.372191942578792345e-01
5.324999999999999289e+00, 1.369425934819155088e-01
5.334999999999999076e+00, 1.366670708737057760e-01
5.344999999999998863e+00, 1.363926204165646083e-01
5.354999999999998650e+00, 1.361192360582356153e-01
5.364999999999999325e+00, 1.358469118715492363e-01
5.374999999999999112e+00, 1.355756418940768926e-01
5.384999999999998899e+00, 1.353054202865070221e-01
5.394999999999998685e+00, 1.350362411745791857e-01
5.404999999999999361e+00, 1.347680988052187556e-01
5.414999999999999147e+00, 1.345009873907093423e-01
5.424999999999998934e+00, 1.342349012626281313e-01
5.434999999999998721e+00, 1.339698347182146643e-01
5.444999999999999396e+00, 1.337057821721482354e-01
5.454999999999999183e+00, 1.334427380050708101e-01
5.464999999999998970e+00, 1.331806967132469488e-01
5.474999999999998757e+00, 1.329196527592022004e-01
5.484999999999999432e+00, 1.326596007193031890e-01
5.494999999999999218e+00, 1.324005351364730410e-01
5.504999999999999005e+00, 1.321424506657292441e-01
5.514999999999998792e+00, 1.318853419289382767e-01
5.524999999999999467e+00, 1.316292036583493474e-01
5.534999999999999254e+00, 1.313740305533497021e-01
5.544999999999999041e+00, 1.311198174220307155e-01
5.554999999999998828e+00, 1.308665590399094025e-01
