 r[σ]         g_ii        
 3.69299e-02  3.55271e-15
 7.38597e-02  1.77636e-15
 1.10790e-01  0.00000e+00
 1.47719e-01  3.55271e-15
 1.84649e-01  8.88178e-16
 2.21579e-01  2.66454e-15
 2.58509e-01  8.88178e-16
 2.95439e-01  1.77636e-15
 3.32369e-01  0.00000e+00
 3.69299e-01  2.66454e-15
 4.06228e-01  0.00000e+00
 4.43158e-01  0.00000e+00
 4.80088e-01  0.00000e+00
 5.17018e-01  0.00000e+00
 5.53948e-01  1.33227e-15
 5.90878e-01  0.00000e+00
 6.27808e-01  0.00000e+00
 6.64738e-01  6.66134e-16
 7.01667e-01  0.00000e+00
 7.38597e-01  2.22045e-16
 7.75527e-01  1.11022e-15
 8.12457e-01  3.55271e-15
 8.49387e-01  3.71053e-08
 8.86317e-01  2.56893e-04
 9.23247e-01  2.81257e-02
 9.60176e-01  3.27536e-01
 9.97106e-01  1.12186e+00
 1.03404e+00  1.96416e+00
 1.07097e+00  2.38489e+00
 1.10790e+00  2.38200e+00
 1.14483e+00  2.15542e+00
 1.18176e+00  1.86695e+00
 1.21869e+00  1.59727e+00
 1.25562e+00  1.37387e+00
 1.29255e+00  1.19946e+00
 1.32948e+00  1.06781e+00
 1.36640e+00  9.70853e-01
 1.40333e+00  9.01192e-01
 1.44026e+00  8.52818e-01
 1.47719e+00  8.21072e-01
 1.51412e+00  8.02410e-01
 1.55105e+00  7.94159e-01
 1.58798e+00  7.94295e-01
 1.62491e+00  8.01279e-01
 1.66184e+00  8.13936e-01
 1.69877e+00  8.31359e-01
 1.73570e+00  8.52847e-01
 1.77263e+00  8.77852e-01
 1.80956e+00  9.05950e-01
 1.84649e+00  9.36807e-01
 1.88342e+00  9.70149e-01
 1.92035e+00  1.00562e+00
 1.95728e+00  1.04228e+00
 1.99421e+00  1.07782e+00
 2.03114e+00  1.10835e+00
 2.06807e+00  1.12965e+00
 2.10500e+00  1.13891e+00
 2.14193e+00  1.13581e+00
 2.17886e+00  1.12227e+00
 2.21579e+00  1.10148e+00
 2.25272e+00  1.07685e+00
 2.28965e+00  1.05137e+00
 2.32658e+00  1.02727e+00
 2.36351e+00  1.00599e+00
 2.40044e+00  9.88343e-01
 2.43737e+00  9.74635e-01
 2.47430e+00  9.64833e-01
 2.51123e+00  9.58690e-01
 2.54816e+00  9.55829e-01
 2.58509e+00  9.55811e-01
 2.62202e+00  9.58173e-01
 2.65895e+00  9.62454e-01
 2.69588e+00  9.68208e-01
 2.73281e+00  9.75016e-01
 2.76974e+00  9.82483e-01
 2.80667e+00  9.90241e-01
 2.84360e+00  9.97951e-01
 2.88053e+00  1.00529e+00
 2.91746e+00  1.01198e+00
 2.95439e+00  1.01772e+00
 2.99132e+00  1.02229e+00
 3.02825e+00  1.02547e+00
 3.06518e+00  1.02713e+00
 3.10211e+00  1.02724e+00
 3.13904e+00  1.02587e+00
 3.17597e+00  1.02322e+00
 3.21290e+00  1.01957e+00
 3.24983e+00  1.01527e+00
 3.28676e+00  1.01066e+00
 3.32369e+00  1.00610e+00
 3.36062e+00  1.00187e+00
 3.39755e+00  9.98192e-01
 3.43448e+00  9.95214e-01
 3.47141e+00  9.93021e-01
 3.50834e+00  9.91629e-01
 3.54527e+00  9.91008e-01
 3.58220e+00  9.91087e-01
 3.61913e+00  9.91768e-01
 3.65606e+00  9.92935e-01
 3.69299e+00  9.94466e-01
 3.72992e+00  9.96235e-01
 3.76685e+00  9.98121e-01
 3.80378e+00  1.00001e+00
 3.84071e+00  1.00182e+00
 3.87764e+00  1.00344e+00
 3.91457e+00  1.00482e+00
 3.95150e+00  1.00590e+00
 3.98843e+00  1.00665e+00
 4.02535e+00  1.00707e+00
 4.06228e+00  1.00714e+00
 4.09921e+00  1.00690e+00
 4.13614e+00  1.00638e+00
 4.17307e+00  1.00564e+00
 4.21000e+00  1.00474e+00
 4.24693e+00  1.00373e+00
 4.28386e+00  1.00269e+00
 4.32079e+00  1.00168e+00
 4.35772e+00  1.00076e+00
 4.39465e+00  9.99961e-01
 4.43158e+00  9.99324e-01
 4.46851e+00  9.98864e-01
 4.50544e+00  9.98588e-01
 4.54237e+00  9.98489e-01
 4.57930e+00  9.98553e-01
 4.61623e+00  9.98756e-01
 4.65316e+00  9.99071e-01
 4.69009e+00  9.99467e-01
 4.72702e+00  9.99911e-01
 4.76395e+00  1.00037e+00
 4.80088e+00  1.00082e+00
 4.83781e+00  1.00124e+00
 4.87474e+00  1.00160e+00
 4.91167e+00  1.00189e+00
 4.94860e+00  1.00210e+00
 4.98553e+00  1.00222e+00
 5.02246e+00  1.00226e+00
 5.05939e+00  1.00222e+00
 5.09632e+00  1.00210e+00
 5.13325e+00  1.00193e+00
 5.17018e+00  1.00171e+00
 5.20711e+00  1.00147e+00
 5.24404e+00  1.00121e+00
 5.28097e+00  1.00095e+00
 5.31790e+00  1.00070e+00
 5.35483e+00  1.00048e+00
 5.39176e+00  1.00030e+00
 5.42869e+00  1.00015e+00
 5.46562e+00  1.00006e+00
 5.50255e+00  1.00000e+00
 5.53948e+00  9.99991e-01
 5.57641e+00  1.00002e+00
 5.61334e+00  1.00008e+00
 5.65027e+00  1.00016e+00
 5.68720e+00  1.00026e+00
 5.72413e+00  1.00037e+00
 5.76106e+00  1.00048e+00
 5.79799e+00  1.00058e+00
 5.83492e+00  1.00068e+00
 5.87185e+00  1.00075e+00
 5.90878e+00  1.00081e+00
 5.94571e+00  1.00085e+00
 5.98264e+00  1.00086e+00
 6.01957e+00  1.00085e+00
 6.05650e+00  1.00083e+00
 6.09343e+00  1.00078e+00
 6.13036e+00  1.00073e+00
 6.16729e+00  1.00066e+00
 6.20422e+00  1.00059e+00
 6.24115e+00  1.00052e+00
 6.27808e+00  1.00045e+00
 6.31501e+00  1.00038e+00
 6.35194e+00  1.00033e+00
 6.38887e+00  1.00028e+00
 6.42580e+00  1.00025e+00
 6.46273e+00  1.00022e+00
 6.49966e+00  1.00021e+00
 6.53659e+00  1.00021e+00
 6.57352e+00  1.00022e+00
 6.61045e+00  1.00023e+00
 6.64738e+00  1.00025e+00
 6.68430e+00  1.00028e+00
 6.72123e+00  1.00030e+00
 6.75816e+00  1.00033e+00
 6.79509e+00  1.00035e+00
 6.83202e+00  1.00037e+00
 6.86895e+00  1.00038e+00
 6.90588e+00  1.00039e+00
 6.94281e+00  1.00039e+00
 6.97974e+00  1.00039e+00
 7.01667e+00  1.00038e+00
 7.05360e+00  1.00037e+00
 7.09053e+00  1.00035e+00
 7.12746e+00  1.00033e+00
 7.16439e+00  1.00031e+00
 7.20132e+00  1.00029e+00
 7.23825e+00  1.00027e+00
 7.27518e+00  1.00025e+00
 7.31211e+00  1.00023e+00
 7.34904e+00  1.00022e+00
 7.38597e+00  1.00020e+00
 7.42290e+00  1.00019e+00
 7.45983e+00  1.00019e+00
 7.49676e+00  1.00018e+00
 7.53369e+00  1.00018e+00
 7.57062e+00  1.00018e+00
 7.60755e+00  1.00018e+00
 7.64448e+00  1.00019e+00
 7.68141e+00  1.00019e+00
 7.71834e+00  1.00020e+00
 7.75527e+00  1.00020e+00
 7.79220e+00  1.00020e+00
 7.82913e+00  1.00021e+00
 7.86606e+00  1.00021e+00
 7.90299e+00  1.00021e+00
 7.93992e+00  1.00021e+00
 7.97685e+00  1.00020e+00
 8.01378e+00  1.00020e+00
 8.05071e+00  1.00019e+00
 8.08764e+00  1.00019e+00
 8.12457e+00  1.00018e+00
 8.16150e+00  1.00017e+00
 8.19843e+00  1.00016e+00
 8.23536e+00  1.00016e+00
 8.27229e+00  1.00015e+00
 8.30922e+00  1.00014e+00
 8.34615e+00  1.00014e+00
 8.38308e+00  1.00013e+00
 8.42001e+00  1.00013e+00
 8.45694e+00  1.00013e+00
 8.49387e+00  1.00012e+00
 8.53080e+00  1.00012e+00
 8.56773e+00  1.00012e+00
 8.60466e+00  1.00012e+00
 8.64159e+00  1.00012e+00
 8.67852e+00  1.00012e+00
 8.71545e+00  1.00012e+00
 8.75238e+00  1.00012e+00
 8.78931e+00  1.00012e+00
 8.82624e+00  1.00012e+00
 8.86317e+00  1.00012e+00
 8.90010e+00  1.00012e+00
 8.93703e+00  1.00012e+00
 8.97396e+00  1.00011e+00
 9.01089e+00  1.00011e+00
 9.04782e+00  1.00011e+00
 9.08475e+00  1.00011e+00
 9.12168e+00  1.00010e+00
 9.15861e+00  1.00010e+00
 9.19554e+00  1.00010e+00
 9.23247e+00  1.00009e+00
 9.26940e+00  1.00009e+00
 9.30633e+00  1.00009e+00
 9.34326e+00  1.00009e+00
 9.38018e+00  1.00009e+00
 9.41711e+00  1.00008e+00
 9.45404e+00  1.00008e+00
 9.49097e+00  1.00008e+00
 9.52790e+00  1.00008e+00
 9.56483e+00  1.00008e+00
 9.60176e+00  1.00008e+00
 9.63869e+00  1.00008e+00
