 r[σ]         g_ii         c_ii        
 1.50000e-02  0.00000e+00 -1.97868e+05
 3.00000e-02  0.00000e+00 -1.97868e+05
 4.50000e-02  0.00000e+00 -1.97868e+05
 6.00000e-02  0.00000e+00 -1.97868e+05
 7.50000e-02  0.00000e+00 -1.97868e+05
 9.00000e-02  0.00000e+00 -1.97868e+05
 1.05000e-01  0.00000e+00 -1.97868e+05
 1.20000e-01  0.00000e+00 -1.97868e+05
 1.35000e-01  0.00000e+00 -1.97868e+05
 1.50000e-01  0.00000e+00 -1.97868e+05
 1.65000e-01  0.00000e+00 -1.97868e+05
 1.80000e-01  0.00000e+00 -1.97868e+05
 1.95000e-01  0.00000e+00 -1.97868e+05
 2.10000e-01  0.00000e+00 -1.97868e+05
 2.25000e-01  0.00000e+00 -1.97868e+05
 2.40000e-01  0.00000e+00 -1.97868e+05
 2.55000e-01  0.00000e+00 -1.97868e+05
 2.70000e-01  0.00000e+00 -1.97868e+05
 2.85000e-01  0.00000e+00 -1.97868e+05
 3.00000e-01  0.00000e+00 -1.97868e+05
 3.15000e-01  0.00000e+00 -1.97868e+05
 3.30000e-01  0.00000e+00 -1.97868e+05
 3.45000e-01  0.00000e+00 -1.97868e+05
 3.60000e-01  0.00000e+00 -1.97868e+05
 3.75000e-01  0.00000e+00 -1.97868e+05
 3.90000e-01  0.00000e+00 -1.97868e+05
 4.05000e-01  0.00000e+00 -1.70411e+05
 4.20000e-01  0.00000e+00 -1.10026e+05
 4.35000e-01  0.00000e+00 -7.21199e+04
 4.50000e-01  0.00000e+00 -4.79410e+04
 4.65000e-01  0.00000e+00 -3.22872e+04
 4.80000e-01  0.00000e+00 -2.20110e+04
 4.95000e-01  0.00000e+00 -1.51768e+04
 5.10000e-01  0.00000e+00 -1.05761e+04
 5.25000e-01  0.00000e+00 -7.44349e+03
 5.40000e-01  0.00000e+00 -5.28749e+03
 5.55000e-01  9.94569e-06 -3.78862e+03
 5.70000e-01  3.60345e-05 -2.73668e+03
 5.85000e-01  6.25442e-05 -1.99179e+03
 6.00000e-01  8.84040e-05 -1.45987e+03
 6.15000e-01  1.12823e-04 -1.07701e+03
 6.30000e-01  1.35372e-04 -7.99379e+02
 6.45000e-01  1.55939e-04 -5.96634e+02
 6.60000e-01  1.74624e-04 -4.47594e+02
 6.75000e-01  1.91696e-04 -3.37350e+02
 6.90000e-01  2.07751e-04 -2.55326e+02
 7.05000e-01  2.24156e-04 -1.93962e+02
 7.20000e-01  2.43312e-04 -1.47820e+02
 7.35000e-01  2.68028e-04 -1.12958e+02
 7.50000e-01  3.00149e-04 -8.65021e+01
 7.65000e-01  3.39475e-04 -6.63432e+01
 7.80000e-01  3.83782e-04 -5.09253e+01
 7.95000e-01  4.29764e-04 -3.90935e+01
 8.10000e-01  4.74168e-04 -2.99863e+01
 8.25000e-01  5.14574e-04 -2.29579e+01
 8.40000e-01  5.49716e-04 -1.75216e+01
 8.55000e-01  5.83307e-04 -1.33090e+01
 8.70000e-01  7.07147e-04 -1.00404e+01
 8.85000e-01  1.84372e-03 -7.50199e+00
 9.00000e-01  8.78635e-03 -5.53010e+00
 9.15000e-01  3.57232e-02 -3.99884e+00
 9.30000e-01  1.07995e-01 -2.81106e+00
 9.45000e-01  2.52469e-01 -1.89154e+00
 9.60000e-01  4.80742e-01 -1.18187e+00
 9.75000e-01  7.79142e-01 -6.36549e-01
 9.90000e-01  1.11317e+00 -2.20069e-01
 1.00500e+00  1.44131e+00  9.53758e-02
 1.02000e+00  1.72843e+00  3.31594e-01
