 r[σ]         g_ii         c_ii        
 6.35000e+00  9.99081e-01  5.07948e-05
 6.40000e+00  9.99489e-01  4.84797e-05
 6.45000e+00  9.99914e-01  4.62878e-05
 6.50000e+00  1.00031e+00  4.42095e-05
 6.55000e+00  1.00062e+00  4.22365e-05
 6.60000e+00  1.00084e+00  4.03615e-05
 6.65000e+00  1.00095e+00  3.85787e-05
 6.70000e+00  1.00094e+00  3.68828e-05
 6.75000e+00  1.00083e+00  3.52698e-05
 6.80000e+00  1.00063e+00  3.37356e-05
 6.85000e+00  1.00039e+00  3.22771e-05
 6.90000e+00  1.00013e+00  3.08909e-05
 6.95000e+00  9.99880e-01  2.95738e-05
 7.00000e+00  9.99668e-01  2.83228e-05
 7.05000e+00  9.99513e-01  2.71346e-05
 7.10000e+00  9.99427e-01  2.60058e-05
 7.15000e+00  9.99412e-01  2.49332e-05
 7.20000e+00  9.99463e-01  2.39135e-05
 7.25000e+00  9.99568e-01  2.29433e-05
 7.30000e+00  9.99711e-01  2.20195e-05
 7.35000e+00  9.99871e-01  2.11393e-05
 7.40000e+00  1.00003e+00  2.02999e-05
 7.45000e+00  1.00017e+00  1.94988e-05
 7.50000e+00  1.00028e+00  1.87338e-05
 7.55000e+00  1.00035e+00  1.80028e-05
 7.60000e+00  1.00037e+00  1.73042e-05
 7.65000e+00  1.00035e+00  1.66362e-05
 7.70000e+00  1.00029e+00  1.59976e-05
 7.75000e+00  1.00021e+00  1.53870e-05
 7.80000e+00  1.00011e+00  1.48032e-05
 7.85000e+00  1.00001e+00  1.42449e-05
 7.90000e+00  9.99919e-01  1.37112e-05
 7.95000e+00  9.99845e-01  1.32009e-05
 8.00000e+00  9.99795e-01  1.27129e-05
 8.05000e+00  9.99773e-01  1.22462e-05
 8.10000e+00  9.99777e-01  1.17996e-05
 8.15000e+00  9.99806e-01  1.13722e-05
 8.20000e+00  9.99853e-01  1.09630e-05
 8.25000e+00  9.99912e-01  1.05709e-05
 8.30000e+00  9.99975e-01  1.01952e-05
 8.35000e+00  1.00003e+00  9.83493e-06
 8.40000e+00  1.00008e+00  9.48935e-06
 8.45000e+00  1.00012e+00  9.15773e-06
 8.50000e+00  1.00014e+00  8.83940e-06
 8.55000e+00  1.00014e+00  8.53377e-06
 8.60000e+00  1.00013e+00  8.24026e-06
 8.65000e+00  1.00010e+00  7.95836e-06
 8.70000e+00  1.00007e+00  7.68758e-06
 8.75000e+00  1.00003e+00  7.42745e-06
 8.80000e+00  9.99989e-01  7.17754e-06
 8.85000e+00  9.99955e-01  6.93741e-06
 8.90000e+00  9.99930e-01  6.70666e-06
 8.95000e+00  9.99915e-01  6.48487e-06
 9.00000e+00  9.99910e-01  6.27166e-06
 9.05000e+00  9.99916e-01  6.06665e-06
 9.10000e+00  9.99931e-01  5.86946e-06
 9.15000e+00  9.99951e-01  5.67975e-06
 9.20000e+00  9.99975e-01  5.49717e-06
 9.25000e+00  1.00000e+00  5.32141e-06
 9.30000e+00  1.00002e+00  5.15215e-06
 9.35000e+00  1.00004e+00  4.98913e-06
 9.40000e+00  1.00005e+00  4.83206e-06
 9.45000e+00  1.00006e+00  4.68070e-06
 9.50000e+00  1.00005e+00  4.53481e-06
 9.55000e+00  1.00005e+00  4.39418e-06
 9.60000e+00  1.00003e+00  4.25858e-06
 9.65000e+00  1.00002e+00  4.12783e-06
 9.70000e+00  1.00000e+00  4.00174e-06
 9.75000e+00  9.99990e-01  3.88012e-06
 9.80000e+00  9.99978e-01  3.76280e-06
 9.85000e+00  9.99969e-01  3.64961e-06
 9.90000e+00  9.99965e-01  3.54039e-06
 9.95000e+00  9.99965e-01  3.43498e-06
 1.00000e+01  9.99969e-01  3.33322e-06
 1.00500e+01  9.99976e-01  3.23497e-06
 1.01000e+01  9.99984e-01  3.14009e-06
 1.01500e+01  9.99994e-01  3.04845e-06
 1.02000e+01  1.00000e+00  2.95991e-06
 1.02500e+01  1.00001e+00  2.87435e-06
 1.03000e+01  1.00002e+00  2.79166e-06
 1.03500e+01  1.00002e+00  2.71172e-06
 1.04000e+01  1.00002e+00  2.63444e-06
 1.04500e+01  1.00002e+00  2.55970e-06
 1.05000e+01  1.00002e+00  2.48742e-06
 1.05500e+01  1.00001e+00  2.41751e-06
 1.06000e+01  1.00001e+00  2.34988e-06
 1.06500e+01  9.99999e-01  2.28444e-06
 1.07000e+01  9.99994e-01  2.22112e-06
 1.07500e+01  9.99990e-01  2.15985e-06
 1.08000e+01  9.99987e-01  2.10053e-06
 1.08500e+01  9.99986e-01  2.04312e-06
 1.09000e+01  9.99986e-01  1.98753e-06
 1.09500e+01  9.99988e-01  1.93370e-06
 1.10000e+01  9.99992e-01  1.88156e-06
 1.10500e+01  9.99995e-01  1.83106e-06
 1.11000e+01  9.99999e-01  1.78213e-06
 1.11500e+01  1.00000e+00  1.73472e-06
 1.12000e+01  1.00001e+00  1.68878e-06
 1.12500e+01  1.00001e+00  1.64425e-06
 1.13000e+01  1.00001e+00  1.60108e-06
 1.13500e+01  1.00001e+00  1.55922e-06
 1.14000e+01  1.00001e+00  1.51864e-06
 1.14500e+01  1.00001e+00  1.47927e-06
 1.15000e+01  1.00000e+00  1.44109e-06
 1.15500e+01  1.00000e+00  1.40406e-06
 1.16000e+01  9.99999e-01  1.36814e-06
 1.16500e+01  9.99997e-01  1.33328e-06
 1.17000e+01  9.99995e-01  1.29946e-06
 1.17500e+01  9.99994e-01  1.26663e-06
 1.18000e+01  9.99994e-01  1.23476e-06
 1.18500e+01  9.99995e-01  1.20383e-06
 1.19000e+01  9.99996e-01  1.17380e-06
 1.19500e+01  9.99997e-01  1.14464e-06
 1.20000e+01  9.99999e-01  1.11632e-06
 1.20500e+01  1.00000e+00  1.08882e-06
 1.21000e+01  1.00000e+00  1.06210e-06
 1.21500e+01  1.00000e+00  1.03615e-06
 1.22000e+01  1.00000e+00  1.01093e-06
 1.22500e+01  1.00000e+00  9.86424e-07
 1.23000e+01  1.00000e+00  9.62606e-07
 1.23500e+01  1.00000e+00  9.39458e-07
 1.24000e+01  1.00000e+00  9.16958e-07
 1.24500e+01  1.00000e+00  8.95084e-07
 1.25000e+01  1.00000e+00  8.73811e-07
 1.25500e+01  9.99999e-01  8.53132e-07
 1.26000e+01  9.99998e-01  8.33018e-07
 1.26500e+01  9.99998e-01  8.13456e-07
 1.27000e+01  9.99998e-01  7.94430e-07
 1.27500e+01  9.99998e-01  7.75917e-07
 1.28000e+01  9.99998e-01  7.57909e-07
 1.28500e+01  9.99999e-01  7.40386e-07
 1.29000e+01  9.99999e-01  7.23335e-07
 1.29500e+01  1.00000e+00  7.06741e-07
 1.30000e+01  1.00000e+00  6.90588e-07
 1.30500e+01  1.00000e+00  6.74861e-07
 1.31000e+01  1.00000e+00  6.59556e-07
 1.31500e+01  1.00000e+00  6.44653e-07
 1.32000e+01  1.00000e+00  6.30138e-07
 1.32500e+01  1.00000e+00  6.16006e-07
 1.33000e+01  1.00000e+00  6.02238e-07
 1.33500e+01  1.00000e+00  5.88833e-07
 1.34000e+01  1.00000e+00  5.75772e-07
 1.34500e+01  1.00000e+00  5.63046e-07
 1.35000e+01  1.00000e+00  5.50649e-07
 1.35500e+01  9.99999e-01  5.38571e-07
 1.36000e+01  9.99999e-01  5.26798e-07
 1.36500e+01  9.99999e-01  5.15327e-07
 1.37000e+01  9.99999e-01  5.04144e-07
 1.37500e+01  9.99999e-01  4.93243e-07
 1.38000e+01  9.99999e-01  4.82619e-07
 1.38500e+01  1.00000e+00  4.72259e-07
 1.39000e+01  1.00000e+00  4.62159e-07
 1.39500e+01  1.00000e+00  4.52308e-07
 1.40000e+01  1.00000e+00  4.42702e-07
 1.40500e+01  1.00000e+00  4.33332e-07
 1.41000e+01  1.00000e+00  4.24194e-07
 1.41500e+01  1.00000e+00  4.15279e-07
 1.42000e+01  1.00000e+00  4.06585e-07
 1.42500e+01  1.00000e+00  3.98100e-07
 1.43000e+01  1.00000e+00  3.89816e-07
 1.43500e+01  1.00000e+00  3.81741e-07
 1.44000e+01  1.00000e+00  3.73856e-07
 1.44500e+01  1.00000e+00  3.66160e-07
 1.45000e+01  1.00000e+00  3.58651e-07
 1.45500e+01  1.00000e+00  3.51318e-07
 1.46000e+01  1.00000e+00  3.44161e-07
 1.46500e+01  1.00000e+00  3.37173e-07
 1.47000e+01  1.00000e+00  3.30350e-07
 1.47500e+01  1.00000e+00  3.23687e-07
 1.48000e+01  1.00000e+00  3.17183e-07
 1.48500e+01  1.00000e+00  3.10826e-07
 1.49000e+01  1.00000e+00  3.04622e-07
 1.49500e+01  1.00000e+00  2.98562e-07
 1.50000e+01  1.00000e+00  2.92639e-07
 1.50500e+01  1.00000e+00  2.86850e-07
 1.51000e+01  1.00000e+00  2.81198e-07
 1.51500e+01  1.00000e+00  2.75681e-07
 1.52000e+01  1.00000e+00  2.70284e-07
 1.52500e+01  1.00000e+00  2.65008e-07
 1.53000e+01  1.00000e+00  2.59854e-07
 1.53500e+01  1.00000e+00  2.54817e-07
 1.54000e+01  1.00000e+00  2.49893e-07
 1.54500e+01  1.00000e+00  2.45079e-07
 1.55000e+01  1.00000e+00  2.40375e-07
 1.55500e+01  1.00000e+00  2.35774e-07
 1.56000e+01  1.00000e+00  2.31277e-07
 1.56500e+01  1.00000e+00  2.26878e-07
 1.57000e+01  1.00000e+00  2.22577e-07
 1.57500e+01  1.00000e+00  2.18371e-07
 1.58000e+01  1.00000e+00  2.14258e-07
 1.58500e+01  1.00000e+00  2.10236e-07
 1.59000e+01  1.00000e+00  2.06296e-07
 1.59500e+01  1.00000e+00  2.02450e-07
 1.60000e+01  1.00000e+00  1.98683e-07
 1.60500e+01  1.00000e+00  1.94999e-07
 1.61000e+01  1.00000e+00  1.91393e-07
 1.61500e+01  1.00000e+00  1.87862e-07
 1.62000e+01  1.00000e+00  1.84410e-07
 1.62500e+01  1.00000e+00  1.81033e-07
 1.63000e+01  1.00000e+00  1.77726e-07
 1.63500e+01  1.00000e+00  1.74491e-07
 1.64000e+01  1.00000e+00  1.71323e-07
 1.64500e+01  1.00000e+00  1.68222e-07
 1.65000e+01  1.00000e+00  1.65188e-07
 1.65500e+01  1.00000e+00  1.62215e-07
 1.66000e+01  1.00000e+00  1.59305e-07
 1.66500e+01  1.00000e+00  1.56456e-07
 1.67000e+01  1.00000e+00  1.53665e-07
 1.67500e+01  1.00000e+00  1.50937e-07
 1.68000e+01  1.00000e+00  1.48259e-07
 1.68500e+01  1.00000e+00  1.45642e-07
 1.69000e+01  1.00000e+00  1.43073e-07
 1.69500e+01  1.00000e+00  1.40561e-07
 1.70000e+01  1.00000e+00  1.38096e-07
 1.70500e+01  1.00000e+00  1.35684e-07
 1.71000e+01  1.00000e+00  1.33321e-07
 1.71500e+01  1.00000e+00  1.31009e-07
 1.72000e+01  1.00000e+00  1.28739e-07
 1.72500e+01  1.00000e+00  1.26516e-07
 1.73000e+01  1.00000e+00  1.24337e-07
 1.73500e+01  1.00000e+00  1.22203e-07
 1.74000e+01  1.00000e+00  1.20111e-07
 1.74500e+01  1.00000e+00  1.18061e-07
 1.75000e+01  1.00000e+00  1.16051e-07
 1.75500e+01  1.00000e+00  1.14083e-07
 1.76000e+01  1.00000e+00  1.12151e-07
 1.76500e+01  1.00000e+00  1.10259e-07
 1.77000e+01  1.00000e+00  1.08401e-07
 1.77500e+01  1.00000e+00  1.06582e-07
 1.78000e+01  1.00000e+00  1.04798e-07
 1.78500e+01  1.00000e+00  1.03049e-07
 1.79000e+01  1.00000e+00  1.01333e-07
 1.79500e+01  1.00000e+00  9.96516e-08
 1.80000e+01  1.00000e+00  9.80052e-08
 1.80500e+01  1.00000e+00  9.63877e-08
 1.81000e+01  1.00000e+00  9.47986e-08
 1.81500e+01  1.00000e+00  9.32434e-08
 1.82000e+01  1.00000e+00  9.17170e-08
 1.82500e+01  1.00000e+00  9.02193e-08
 1.83000e+01  1.00000e+00  8.87508e-08
 1.83500e+01  1.00000e+00  8.73095e-08
 1.84000e+01  1.00000e+00  8.58957e-08
 1.84500e+01  1.00000e+00  8.45085e-08
 1.85000e+01  1.00000e+00  8.31473e-08
 1.85500e+01  1.00000e+00  8.18098e-08
 1.86000e+01  1.00000e+00  8.04994e-08
 1.86500e+01  1.00000e+00  7.92169e-08
 1.87000e+01  1.00000e+00  7.79537e-08
 1.87500e+01  1.00000e+00  7.67122e-08
 1.88000e+01  1.00000e+00  7.54988e-08
 1.88500e+01  1.00000e+00  7.43023e-08
 1.89000e+01  1.00000e+00  7.31310e-08
 1.89500e+01  1.00000e+00  7.19805e-08
 1.90000e+01  1.00000e+00  7.08514e-08
 1.90500e+01  1.00000e+00  6.97445e-08
 1.91000e+01  1.00000e+00  6.86564e-08
 1.91500e+01  1.00000e+00  6.75875e-08
 1.92000e+01  1.00000e+00  6.65382e-08
 1.92500e+01  1.00000e+00  6.55082e-08
 1.93000e+01  1.00000e+00  6.44963e-08
 1.93500e+01  1.00000e+00  6.35029e-08
 1.94000e+01  1.00000e+00  6.25271e-08
 1.94500e+01  1.00000e+00  6.15670e-08
 1.95000e+01  1.00000e+00  6.06291e-08
 1.95500e+01  1.00000e+00  5.97043e-08
 1.96000e+01  1.00000e+00  5.87963e-08
 1.96500e+01  1.00000e+00  5.79019e-08
 1.97000e+01  1.00000e+00  5.70290e-08
 1.97500e+01  1.00000e+00  5.61650e-08
 1.98000e+01  1.00000e+00  5.53223e-08
 1.98500e+01  1.00000e+00  5.44884e-08
 1.99000e+01  1.00000e+00  5.36752e-08
 1.99500e+01  1.00000e+00  5.28726e-08
 2.00000e+01  1.00000e+00  5.20834e-08
 2.00500e+01  1.00000e+00  5.13086e-08
 2.01000e+01  1.00000e+00  5.05477e-08
 2.01500e+01  1.00000e+00  4.97999e-08
 2.02000e+01  1.00000e+00  4.90647e-08
 2.02500e+01  1.00000e+00  4.83423e-08
 2.03000e+01  1.00000e+00  4.76321e-08
 2.03500e+01  1.00000e+00  4.69346e-08
 2.04000e+01  1.00000e+00  4.62470e-08
 2.04500e+01  1.00000e+00  4.55757e-08
 2.05000e+01  1.00000e+00  4.49097e-08
 2.05500e+01  1.00000e+00  4.42583e-08
 2.06000e+01  1.00000e+00  4.36204e-08
 2.06500e+01  1.00000e+00  4.29881e-08
 2.07000e+01  1.00000e+00  4.23715e-08
 2.07500e+01  1.00000e+00  4.17625e-08
 2.08000e+01  1.00000e+00  4.11601e-08
 2.08500e+01  1.00000e+00  4.05751e-08
 2.09000e+01  1.00000e+00  3.99963e-08
 2.09500e+01  1.00000e+00  3.94251e-08
 2.10000e+01  1.00000e+00  3.88654e-08
 2.10500e+01  1.00000e+00  3.83151e-08
 2.11000e+01  1.00000e+00  3.77733e-08
 2.11500e+01  1.00000e+00  3.72406e-08
 2.12000e+01  1.00000e+00  3.67167e-08
 2.12500e+01  1.00000e+00  3.62021e-08
 2.13000e+01  1.00000e+00  3.56961e-08
 2.13500e+01  1.00000e+00  3.51947e-08
 2.14000e+01  1.00000e+00  3.47067e-08
 2.14500e+01  1.00000e+00  3.42239e-08
 2.15000e+01  1.00000e+00  3.37503e-08
 2.15500e+01  1.00000e+00  3.32794e-08
 2.16000e+01  1.00000e+00  3.28196e-08
 2.16500e+01  1.00000e+00  3.23705e-08
 2.17000e+01  1.00000e+00  3.19219e-08
 2.17500e+01  1.00000e+00  3.14845e-08
 2.18000e+01  1.00000e+00  3.10570e-08
 2.18500e+01  1.00000e+00  3.06334e-08
 2.19000e+01  1.00000e+00  3.02128e-08
 2.19500e+01  1.00000e+00  2.98049e-08
 2.20000e+01  1.00000e+00  2.94000e-08
 2.20500e+01  1.00000e+00  2.90019e-08
 2.21000e+01  1.00000e+00  2.86103e-08
 2.21500e+01  1.00000e+00  2.82268e-08
 2.22000e+01  1.00000e+00  2.78474e-08
 2.22500e+01  1.00000e+00  2.74740e-08
 2.23000e+01  1.00000e+00  2.71034e-08
 2.23500e+01  1.00000e+00  2.67443e-08
 2.24000e+01  1.00000e+00  2.63885e-08
 2.24500e+01  1.00000e+00  2.60344e-08
 2.25000e+01  1.00000e+00  2.56926e-08
 2.25500e+01  1.00000e+00  2.53528e-08
 2.26000e+01  1.00000e+00  2.50176e-08
 2.26500e+01  1.00000e+00  2.46881e-08
 2.27000e+01  1.00000e+00  2.43613e-08
 2.27500e+01  1.00000e+00  2.40446e-08
 2.28000e+01  1.00000e+00  2.37273e-08
 2.28500e+01  1.00000e+00  2.34202e-08
 2.29000e+01  1.00000e+00  2.31118e-08
 2.29500e+01  1.00000e+00  2.28117e-08
 2.30000e+01  1.00000e+00  2.25183e-08
 2.30500e+01  1.00000e+00  2.22239e-08
 2.31000e+01  1.00000e+00  2.19398e-08
 2.31500e+01  1.00000e+00  2.16574e-08
 2.32000e+01  1.00000e+00  2.13756e-08
 2.32500e+01  1.00000e+00  2.11042e-08
 2.33000e+01  1.00000e+00  2.08338e-08
 2.33500e+01  1.00000e+00  2.05648e-08
 2.34000e+01  1.00000e+00  2.03019e-08
 2.34500e+01  1.00000e+00  2.00443e-08
 2.35000e+01  1.00000e+00  1.97901e-08
 2.35500e+01  1.00000e+00  1.95386e-08
 2.36000e+01  1.00000e+00  1.92922e-08
 2.36500e+01  1.00000e+00  1.90482e-08
 2.37000e+01  1.00000e+00  1.88088e-08
 2.37500e+01  1.00000e+00  1.85756e-08
 2.38000e+01  1.00000e+00  1.83424e-08
 2.38500e+01  1.00000e+00  1.81097e-08
 2.39000e+01  1.00000e+00  1.78868e-08
 2.39500e+01  1.00000e+00  1.76632e-08
 2.40000e+01  1.00000e+00  1.74429e-08
 2.40500e+01  1.00000e+00  1.72262e-08
 2.41000e+01  1.00000e+00  1.70127e-08
 2.41500e+01  1.00000e+00  1.68025e-08
 2.42000e+01  1.00000e+00  1.65949e-08
 2.42500e+01  1.00000e+00  1.63909e-08
 2.43000e+01  1.00000e+00  1.61891e-08
 2.43500e+01  1.00000e+00  1.59894e-08
 2.44000e+01  1.00000e+00  1.57973e-08
 2.44500e+01  1.00000e+00  1.56038e-08
 2.45000e+01  1.00000e+00  1.54141e-08
 2.45500e+01  1.00000e+00  1.52269e-08
 2.46000e+01  1.00000e+00  1.50423e-08
 2.46500e+01  1.00000e+00  1.48606e-08
 2.47000e+01  1.00000e+00  1.46806e-08
 2.47500e+01  1.00000e+00  1.45033e-08
 2.48000e+01  1.00000e+00  1.43256e-08
 2.48500e+01  1.00000e+00  1.41560e-08
 2.49000e+01  1.00000e+00  1.39858e-08
 2.49500e+01  1.00000e+00  1.38183e-08
 2.50000e+01  1.00000e+00  1.36534e-08
