 r[σ]         g_ii         c_ii        
 1.00000e-02  0.00000e+00 -6.54522e+00
 2.00000e-02  0.00000e+00 -6.53193e+00
 3.00000e-02  0.00000e+00 -6.51000e+00
 4.00000e-02  0.00000e+00 -6.47975e+00
 5.00000e-02  0.00000e+00 -6.44159e+00
 6.00000e-02  0.00000e+00 -6.39605e+00
 7.00000e-02  0.00000e+00 -6.34370e+00
 8.00000e-02  0.00000e+00 -6.28517e+00
 9.00000e-02  0.00000e+00 -6.22110e+00
 1.00000e-01  0.00000e+00 -6.15216e+00
 1.10000e-01  0.00000e+00 -6.07898e+00
 1.20000e-01  0.00000e+00 -6.00219e+00
 1.30000e-01  0.00000e+00 -5.92239e+00
 1.40000e-01  0.00000e+00 -5.84012e+00
 1.50000e-01  0.00000e+00 -5.75589e+00
 1.60000e-01  0.00000e+00 -5.67016e+00
 1.70000e-01  0.00000e+00 -5.58335e+00
 1.80000e-01  0.00000e+00 -5.49581e+00
 1.90000e-01  0.00000e+00 -5.40787e+00
 2.00000e-01  0.00000e+00 -5.31982e+00
 2.10000e-01  0.00000e+00 -5.23189e+00
 2.20000e-01  0.00000e+00 -5.14431e+00
 2.30000e-01  0.00000e+00 -5.05724e+00
 2.40000e-01  0.00000e+00 -4.97083e+00
 2.50000e-01  0.00000e+00 -4.88522e+00
 2.60000e-01  0.00000e+00 -4.80051e+00
 2.70000e-01  0.00000e+00 -4.71677e+00
 2.80000e-01  0.00000e+00 -4.63408e+00
 2.90000e-01  0.00000e+00 -4.55249e+00
 3.00000e-01  0.00000e+00 -4.47204e+00
 3.10000e-01  0.00000e+00 -4.39275e+00
 3.20000e-01  0.00000e+00 -4.31466e+00
 3.30000e-01  0.00000e+00 -4.23777e+00
 3.40000e-01  0.00000e+00 -4.16209e+00
 3.50000e-01  0.00000e+00 -4.08762e+00
 3.60000e-01  0.00000e+00 -4.01435e+00
 3.70000e-01  0.00000e+00 -3.94228e+00
 3.80000e-01  0.00000e+00 -3.87140e+00
 3.90000e-01  0.00000e+00 -3.80169e+00
