 r[σ]         g_ii         c_ii        
 2.50000e-02  0.00000e+00 -5.87401e+01
 5.00000e-02  0.00000e+00 -5.77757e+01
 7.50000e-02  0.00000e+00 -5.62900e+01
 1.00000e-01  0.00000e+00 -5.44251e+01
 1.25000e-01  0.00000e+00 -5.23226e+01
 1.50000e-01  0.00000e+00 -5.01007e+01
 1.75000e-01  0.00000e+00 -4.78456e+01
 2.00000e-01  0.00000e+00 -4.56134e+01
 2.25000e-01  0.00000e+00 -4.34365e+01
 2.50000e-01  0.00000e+00 -4.13306e+01
 2.75000e-01  0.00000e+00 -3.93011e+01
 3.00000e-01  0.00000e+00 -3.73473e+01
 3.25000e-01  0.00000e+00 -3.54654e+01
 3.50000e-01  0.00000e+00 -3.36503e+01
 3.75000e-01  0.00000e+00 -3.18968e+01
 4.00000e-01  0.00000e+00 -3.02001e+01
 4.25000e-01  0.00000e+00 -2.85559e+01
 4.50000e-01  0.00000e+00 -2.69607e+01
 4.75000e-01  0.00000e+00 -2.54118e+01
 5.00000e-01  0.00000e+00 -2.39070e+01
 5.25000e-01  0.00000e+00 -2.24447e+01
 5.50000e-01  0.00000e+00 -2.10239e+01
 5.75000e-01  8.01702e-05 -1.96439e+01
 6.00000e-01  2.91915e-04 -1.83044e+01
 6.25000e-01  4.88776e-04 -1.70054e+01
 6.50000e-01  6.70336e-04 -1.57470e+01
 6.75000e-01  8.36342e-04 -1.45296e+01
 7.00000e-01  9.86980e-04 -1.33539e+01
 7.25000e-01  1.12280e-03 -1.22205e+01
 7.50000e-01  1.24526e-03 -1.11305e+01
 7.75000e-01  1.35683e-03 -1.00848e+01
 8.00000e-01  1.46244e-03 -9.08484e+00
 8.25000e-01  1.57104e-03 -8.13197e+00
 8.50000e-01  1.70552e-03 -7.22792e+00
 8.75000e-01  2.59935e-03 -6.37391e+00
 9.00000e-01  2.43459e-02 -5.55198e+00
 9.25000e-01  2.04684e-01 -4.62667e+00
 9.50000e-01  8.10831e-01 -3.33305e+00
 9.75000e-01  1.86154e+00 -1.65440e+00
 1.00000e+00  2.94886e+00 -2.37673e-04
 1.02500e+00  3.62958e+00  1.18546e+00
 1.05000e+00  3.75967e+00  1.75885e+00
 1.07500e+00  3.45882e+00  1.84101e+00
 1.10000e+00  2.93196e+00  1.63934e+00
 1.12500e+00  2.34955e+00  1.32786e+00
 1.15000e+00  1.81384e+00  1.01315e+00
 1.17500e+00  1.36973e+00  7.45025e-01
 1.20000e+00  1.02651e+00  5.37890e-01
 1.22500e+00  7.75561e-01  3.88299e-01
 1.25000e+00  6.01578e-01  2.85897e-01
 1.27500e+00  4.88414e-01  2.19147e-01
 1.30000e+00  4.21671e-01  1.77832e-01
 1.32500e+00  3.89515e-01  1.53823e-01
 1.35000e+00  3.82663e-01  1.41063e-01
 1.37500e+00  3.94033e-01  1.35240e-01
 1.40000e+00  4.18325e-01  1.33395e-01
 1.42500e+00  4.51618e-01  1.33567e-01
 1.45000e+00  4.91039e-01  1.34508e-01
 1.47500e+00  5.34498e-01  1.35462e-01
 1.50000e+00  5.80491e-01  1.36003e-01
 1.52500e+00  6.27942e-01  1.35923e-01
 1.55000e+00  6.76094e-01  1.35154e-01
 1.57500e+00  7.24427e-01  1.33710e-01
 1.60000e+00  7.72595e-01  1.31652e-01
 1.62500e+00  8.20382e-01  1.29067e-01
 1.65000e+00  8.67669e-01  1.26049e-01
 1.67500e+00  9.14412e-01  1.22691e-01
 1.70000e+00  9.60618e-01  1.19082e-01
 1.72500e+00  1.00634e+00  1.15299e-01
 1.75000e+00  1.05164e+00  1.11412e-01
 1.77500e+00  1.09664e+00  1.07477e-01
 1.80000e+00  1.14145e+00  1.03544e-01
 1.82500e+00  1.18617e+00  9.96501e-02
 1.85000e+00  1.23090e+00  9.58218e-02
 1.87500e+00  1.27545e+00  9.20623e-02
 1.90000e+00  1.31893e+00  8.83253e-02
 1.92500e+00  1.35893e+00  8.44845e-02
 1.95000e+00  1.39092e+00  8.03309e-02
 1.97500e+00  1.40870e+00  7.56292e-02
 2.00000e+00  1.40595e+00  7.02158e-02
 2.02500e+00  1.37847e+00  6.40855e-02
 2.05000e+00  1.32573e+00  5.74161e-02
 2.07500e+00  1.25136e+00  5.05231e-02
 2.10000e+00  1.16215e+00  4.37740e-02
 2.12500e+00  1.06649e+00  3.75035e-02
 2.15000e+00  9.72679e-01  3.19558e-02
 2.17500e+00  8.87664e-01  2.72641e-02
 2.20000e+00  8.16383e-01  2.34575e-02
 2.22500e+00  7.61631e-01  2.04854e-02
 2.25000e+00  7.24290e-01  1.82464e-02
 2.27500e+00  7.03757e-01  1.66148e-02
 2.30000e+00  6.98406e-01  1.54606e-02
 2.32500e+00  7.06021e-01  1.46630e-02
 2.35000e+00  7.24135e-01  1.41176e-02
 2.37500e+00  7.50279e-01  1.37388e-02
 2.40000e+00  7.82149e-01  1.34604e-02
 2.42500e+00  8.17689e-01  1.32328e-02
 2.45000e+00  8.55141e-01  1.30214e-02
 2.47500e+00  8.93049e-01  1.28027e-02
 2.50000e+00  9.30238e-01  1.25626e-02
 2.52500e+00  9.65791e-01  1.22935e-02
 2.55000e+00  9.99012e-01  1.19925e-02
 2.57500e+00  1.02939e+00  1.16602e-02
 2.60000e+00  1.05658e+00  1.12993e-02
 2.62500e+00  1.08033e+00  1.09133e-02
 2.65000e+00  1.10052e+00  1.05070e-02
 2.67500e+00  1.11707e+00  1.00847e-02
 2.70000e+00  1.12998e+00  9.65100e-03
 2.72500e+00  1.13927e+00  9.21010e-03
 2.75000e+00  1.14500e+00  8.76571e-03
 2.77500e+00  1.14721e+00  8.32112e-03
 2.80000e+00  1.14599e+00  7.87914e-03
 2.82500e+00  1.14140e+00  7.44211e-03
 2.85000e+00  1.13349e+00  7.01195e-03
 2.87500e+00  1.12234e+00  6.59025e-03
 2.90000e+00  1.10801e+00  6.17837e-03
 2.92500e+00  1.09062e+00  5.77763e-03
 2.95000e+00  1.07038e+00  5.38950e-03
 2.97500e+00  1.04762e+00  5.01580e-03
 3.00000e+00  1.02288e+00  4.65880e-03
 3.02500e+00  9.96915e-01  4.32122e-03
 3.05000e+00  9.70699e-01  4.00600e-03
 3.07500e+00  9.45360e-01  3.71604e-03
 3.10000e+00  9.22101e-01  3.45372e-03
 3.12500e+00  9.02078e-01  3.22065e-03
 3.15000e+00  8.86291e-01  3.01732e-03
 3.17500e+00  8.75480e-01  2.84306e-03
 3.20000e+00  8.70070e-01  2.69608e-03
 3.22500e+00  8.70143e-01  2.57364e-03
 3.25000e+00  8.75457e-01  2.47232e-03
 3.27500e+00  8.85487e-01  2.38838e-03
 3.30000e+00  8.99495e-01  2.31796e-03
 3.32500e+00  9.16596e-01  2.25741e-03
 3.35000e+00  9.35839e-01  2.20343e-03
 3.37500e+00  9.56267e-01  2.15319e-03
 3.40000e+00  9.76971e-01  2.10443e-03
 3.42500e+00  9.97135e-01  2.05540e-03
 3.45000e+00  1.01605e+00  2.00489e-03
 3.47500e+00  1.03316e+00  1.95216e-03
 3.50000e+00  1.04801e+00  1.89682e-03
 3.52500e+00  1.06031e+00  1.83883e-03
 3.55000e+00  1.06986e+00  1.77838e-03
 3.57500e+00  1.07661e+00  1.71583e-03
 3.60000e+00  1.08056e+00  1.65165e-03
 3.62500e+00  1.08182e+00  1.58638e-03
 3.65000e+00  1.08055e+00  1.52058e-03
 3.67500e+00  1.07697e+00  1.45481e-03
 3.70000e+00  1.07133e+00  1.38960e-03
 3.72500e+00  1.06392e+00  1.32543e-03
 3.75000e+00  1.05502e+00  1.26275e-03
 3.77500e+00  1.04495e+00  1.20192e-03
 3.80000e+00  1.03402e+00  1.14328e-03
 3.82500e+00  1.02254e+00  1.08708e-03
 3.85000e+00  1.01082e+00  1.03353e-03
 3.87500e+00  9.99161e-01  9.82802e-04
 3.90000e+00  9.87858e-01  9.35008e-04
 3.92500e+00  9.77198e-01  8.90226e-04
 3.95000e+00  9.67453e-01  8.48495e-04
 3.97500e+00  9.58884e-01  8.09822e-04
 4.00000e+00  9.51728e-01  7.74177e-04
 4.02500e+00  9.46195e-01  7.41496e-04
 4.05000e+00  9.42456e-01  7.11679e-04
 4.07500e+00  9.40632e-01  6.84589e-04
 4.10000e+00  9.40786e-01  6.60051e-04
 4.12500e+00  9.42911e-01  6.37856e-04
 4.15000e+00  9.46927e-01  6.17759e-04
 4.17500e+00  9.52676e-01  5.99494e-04
 4.20000e+00  9.59932e-01  5.82775e-04
 4.22500e+00  9.68401e-01  5.67314e-04
 4.25000e+00  9.77746e-01  5.52823e-04
 4.27500e+00  9.87594e-01  5.39036e-04
 4.30000e+00  9.97561e-01  5.25708e-04
 4.32500e+00  1.00727e+00  5.12631e-04
 4.35000e+00  1.01636e+00  4.99633e-04
 4.37500e+00  1.02453e+00  4.86586e-04
 4.40000e+00  1.03152e+00  4.73403e-04
 4.42500e+00  1.03711e+00  4.60035e-04
 4.45000e+00  1.04119e+00  4.46471e-04
 4.47500e+00  1.04367e+00  4.32729e-04
 4.50000e+00  1.04456e+00  4.18853e-04
 4.52500e+00  1.04391e+00  4.04905e-04
 4.55000e+00  1.04183e+00  3.90961e-04
 4.57500e+00  1.03846e+00  3.77102e-04
 4.60000e+00  1.03398e+00  3.63411e-04
 4.62500e+00  1.02861e+00  3.49972e-04
 4.65000e+00  1.02256e+00  3.36860e-04
 4.67500e+00  1.01606e+00  3.24145e-04
 4.70000e+00  1.00935e+00  3.11883e-04
 4.72500e+00  1.00263e+00  3.00124e-04
 4.75000e+00  9.96120e-01  2.88904e-04
 4.77500e+00  9.90004e-01  2.78248e-04
 4.80000e+00  9.84448e-01  2.68170e-04
 4.82500e+00  9.79594e-01  2.58675e-04
 4.85000e+00  9.75555e-01  2.49756e-04
 4.87500e+00  9.72421e-01  2.41401e-04
 4.90000e+00  9.70248e-01  2.33589e-04
 4.92500e+00  9.69069e-01  2.26293e-04
 4.95000e+00  9.68886e-01  2.19481e-04
 4.97500e+00  9.69675e-01  2.13117e-04
 5.00000e+00  9.71384e-01  2.07162e-04
 5.02500e+00  9.73937e-01  2.01575e-04
 5.05000e+00  9.77236e-01  1.96313e-04
 5.07500e+00  9.81163e-01  1.91335e-04
 5.10000e+00  9.85580e-01  1.86598e-04
 5.12500e+00  9.90339e-01  1.82062e-04
 5.15000e+00  9.95279e-01  1.77689e-04
 5.17500e+00  1.00024e+00  1.73443e-04
 5.20000e+00  1.00505e+00  1.69294e-04
 5.22500e+00  1.00957e+00  1.65214e-04
 5.25000e+00  1.01364e+00  1.61182e-04
 5.27500e+00  1.01714e+00  1.57180e-04
 5.30000e+00  1.01996e+00  1.53196e-04
 5.32500e+00  1.02204e+00  1.49223e-04
 5.35000e+00  1.02332e+00  1.45260e-04
 5.37500e+00  1.02377e+00  1.41310e-04
 5.40000e+00  1.02341e+00  1.37377e-04
 5.42500e+00  1.02229e+00  1.33472e-04
 5.45000e+00  1.02045e+00  1.29606e-04
 5.47500e+00  1.01800e+00  1.25792e-04
 5.50000e+00  1.01503e+00  1.22045e-04
 5.52500e+00  1.01167e+00  1.18378e-04
 5.55000e+00  1.00805e+00  1.14805e-04
 5.57500e+00  1.00429e+00  1.11337e-04
 5.60000e+00  1.00053e+00  1.07986e-04
 5.62500e+00  9.96901e-01  1.04760e-04
 5.65000e+00  9.93506e-01  1.01666e-04
 5.67500e+00  9.90453e-01  9.87061e-05
 5.70000e+00  9.87825e-01  9.58837e-05
 5.72500e+00  9.85692e-01  9.31980e-05
 5.75000e+00  9.84102e-01  9.06464e-05
 5.77500e+00  9.83084e-01  8.82247e-05
 5.80000e+00  9.82648e-01  8.59270e-05
 5.82500e+00  9.82784e-01  8.37461e-05
 5.85000e+00  9.83467e-01  8.16737e-05
 5.87500e+00  9.84653e-01  7.97011e-05
 5.90000e+00  9.86288e-01  7.78187e-05
 5.92500e+00  9.88303e-01  7.60172e-05
 5.95000e+00  9.90621e-01  7.42869e-05
 5.97500e+00  9.93160e-01  7.26188e-05
 6.00000e+00  9.95833e-01  7.10042e-05
 6.02500e+00  9.98551e-01  6.94349e-05
 6.05000e+00  1.00123e+00  6.79039e-05
 6.07500e+00  1.00378e+00  6.64045e-05
 6.10000e+00  1.00613e+00  6.49316e-05
 6.12500e+00  1.00821e+00  6.34805e-05
 6.15000e+00  1.00997e+00  6.20478e-05
 6.17500e+00  1.01135e+00  6.06313e-05
 6.20000e+00  1.01232e+00  5.92293e-05
 6.22500e+00  1.01286e+00  5.78413e-05
 6.25000e+00  1.01297e+00  5.64676e-05
 6.27500e+00  1.01266e+00  5.51092e-05
