 r[σ]         g_ii         c_ii        
 2.52000e+00  9.21886e-01  1.18757e-02
 2.54000e+00  9.45500e-01  1.16203e-02
 2.56000e+00  9.68384e-01  1.13586e-02
 2.58000e+00  9.90266e-01  1.10894e-02
 2.60000e+00  1.01092e+00  1.08118e-02
 2.62000e+00  1.03016e+00  1.05259e-02
 2.64000e+00  1.04785e+00  1.02323e-02
 2.66000e+00  1.06387e+00  9.93173e-03
 2.68000e+00  1.07814e+00  9.62530e-03
 2.70000e+00  1.09059e+00  9.31416e-03
 2.72000e+00  1.10117e+00  8.99952e-03
 2.74000e+00  1.10985e+00  8.68258e-03
 2.76000e+00  1.11661e+00  8.36451e-03
 2.78000e+00  1.12145e+00  8.04638e-03
 2.80000e+00  1.12434e+00  7.72923e-03
 2.82000e+00  1.12529e+00  7.41394e-03
 2.84000e+00  1.12430e+00  7.10136e-03
 2.86000e+00  1.12137e+00  6.79219e-03
 2.88000e+00  1.11651e+00  6.48711e-03
 2.90000e+00  1.10974e+00  6.18672e-03
 2.92000e+00  1.10108e+00  5.89162e-03
 2.94000e+00  1.09059e+00  5.60244e-03
 2.96000e+00  1.07837e+00  5.31988e-03
 2.98000e+00  1.06456e+00  5.04478e-03
 3.00000e+00  1.04935e+00  4.77809e-03
 3.02000e+00  1.03302e+00  4.52089e-03
 3.04000e+00  1.01592e+00  4.27437e-03
 3.06000e+00  9.98453e-01  4.03973e-03
 3.08000e+00  9.81071e-01  3.81814e-03
 3.10000e+00  9.64256e-01  3.61061e-03
 3.12000e+00  9.48489e-01  3.41794e-03
 3.14000e+00  9.34224e-01  3.24065e-03
 3.16000e+00  9.21865e-01  3.07892e-03
 3.18000e+00  9.11742e-01  2.93257e-03
 3.20000e+00  9.04097e-01  2.80111e-03
 3.22000e+00  8.99075e-01  2.68374e-03
 3.24000e+00  8.96723e-01  2.57942e-03
 3.26000e+00  8.96996e-01  2.48690e-03
 3.28000e+00  8.99763e-01  2.40484e-03
 3.30000e+00  9.04818e-01  2.33182e-03
 3.32000e+00  9.11903e-01  2.26644e-03
 3.34000e+00  9.20714e-01  2.20732e-03
 3.36000e+00  9.30922e-01  2.15321e-03
 3.38000e+00  9.42185e-01  2.10295e-03
 3.40000e+00  9.54162e-01  2.05552e-03
 3.42000e+00  9.66522e-01  2.01004e-03
 3.44000e+00  9.78955e-01  1.96579e-03
 3.46000e+00  9.91176e-01  1.92219e-03
 3.48000e+00  1.00293e+00  1.87877e-03
 3.50000e+00  1.01400e+00  1.83521e-03
 3.52000e+00  1.02420e+00  1.79128e-03
 3.54000e+00  1.03337e+00  1.74684e-03
 3.56000e+00  1.04140e+00  1.70185e-03
 3.58000e+00  1.04821e+00  1.65631e-03
 3.60000e+00  1.05374e+00  1.61028e-03
 3.62000e+00  1.05797e+00  1.56386e-03
 3.64000e+00  1.06089e+00  1.51718e-03
 3.66000e+00  1.06253e+00  1.47039e-03
 3.68000e+00  1.06293e+00  1.42363e-03
 3.70000e+00  1.06214e+00  1.37708e-03
 3.72000e+00  1.06024e+00  1.33090e-03
 3.74000e+00  1.05731e+00  1.28524e-03
 3.76000e+00  1.05345e+00  1.24027e-03
 3.78000e+00  1.04876e+00  1.19612e-03
 3.80000e+00  1.04335e+00  1.15291e-03
 3.82000e+00  1.03733e+00  1.11078e-03
 3.84000e+00  1.03082e+00  1.06983e-03
 3.86000e+00  1.02394e+00  1.03015e-03
 3.88000e+00  1.01681e+00  9.91817e-04
 3.90000e+00  1.00956e+00  9.54906e-04
 3.92000e+00  1.00232e+00  9.19470e-04
 3.94000e+00  9.95196e-01  8.85555e-04
 3.96000e+00  9.88323e-01  8.53194e-04
 3.98000e+00  9.81817e-01  8.22407e-04
 4.00000e+00  9.75792e-01  7.93207e-04
 4.02000e+00  9.70357e-01  7.65591e-04
 4.04000e+00  9.65611e-01  7.39547e-04
 4.06000e+00  9.61643e-01  7.15049e-04
 4.08000e+00  9.58526e-01  6.92059e-04
 4.10000e+00  9.56319e-01  6.70529e-04
 4.12000e+00  9.55061e-01  6.50395e-04
 4.14000e+00  9.54768e-01  6.31583e-04
 4.16000e+00  9.55436e-01  6.14009e-04
 4.18000e+00  9.57038e-01  5.97580e-04
 4.20000e+00  9.59522e-01  5.82195e-04
 4.22000e+00  9.62817e-01  5.67748e-04
 4.24000e+00  9.66832e-01  5.54133e-04
 4.26000e+00  9.71458e-01  5.41240e-04
 4.28000e+00  9.76573e-01  5.28964e-04
 4.30000e+00  9.82048e-01  5.17204e-04
 4.32000e+00  9.87745e-01  5.05866e-04
 4.34000e+00  9.93527e-01  4.94863e-04
 4.36000e+00  9.99260e-01  4.84119e-04
 4.38000e+00  1.00481e+00  4.73568e-04
 4.40000e+00  1.01007e+00  4.63155e-04
 4.42000e+00  1.01493e+00  4.52836e-04
 4.44000e+00  1.01929e+00  4.42579e-04
 4.46000e+00  1.02308e+00  4.32359e-04
 4.48000e+00  1.02624e+00  4.22164e-04
 4.50000e+00  1.02872e+00  4.11989e-04
 4.52000e+00  1.03051e+00  4.01836e-04
 4.54000e+00  1.03160e+00  3.91715e-04
 4.56000e+00  1.03199e+00  3.81638e-04
 4.58000e+00  1.03171e+00  3.71624e-04
 4.60000e+00  1.03078e+00  3.61694e-04
 4.62000e+00  1.02927e+00  3.51869e-04
 4.64000e+00  1.02722e+00  3.42174e-04
 4.66000e+00  1.02470e+00  3.32632e-04
 4.68000e+00  1.02178e+00  3.23264e-04
 4.70000e+00  1.01853e+00  3.14094e-04
 4.72000e+00  1.01504e+00  3.05140e-04
 4.74000e+00  1.01137e+00  2.96421e-04
 4.76000e+00  1.00761e+00  2.87952e-04
 4.78000e+00  1.00383e+00  2.79746e-04
 4.80000e+00  1.00010e+00  2.71813e-04
 4.82000e+00  9.96500e-01  2.64162e-04
 4.84000e+00  9.93085e-01  2.56797e-04
 4.86000e+00  9.89915e-01  2.49720e-04
 4.88000e+00  9.87041e-01  2.42933e-04
 4.90000e+00  9.84509e-01  2.36432e-04
 4.92000e+00  9.82356e-01  2.30213e-04
 4.94000e+00  9.80611e-01  2.24271e-04
 4.96000e+00  9.79296e-01  2.18596e-04
 4.98000e+00  9.78424e-01  2.13180e-04
 5.00000e+00  9.78001e-01  2.08011e-04
 5.02000e+00  9.78022e-01  2.03076e-04
 5.04000e+00  9.78478e-01  1.98362e-04
 5.06000e+00  9.79349e-01  1.93856e-04
 5.08000e+00  9.80608e-01  1.89543e-04
 5.10000e+00  9.82223e-01  1.85407e-04
 5.12000e+00  9.84152e-01  1.81433e-04
 5.14000e+00  9.86352e-01  1.77606e-04
 5.16000e+00  9.88771e-01  1.73912e-04
 5.18000e+00  9.91355e-01  1.70336e-04
 5.20000e+00  9.94049e-01  1.66863e-04
 5.22000e+00  9.96793e-01  1.63483e-04
 5.24000e+00  9.99532e-01  1.60181e-04
 5.26000e+00  1.00221e+00  1.56948e-04
 5.28000e+00  1.00476e+00  1.53774e-04
 5.30000e+00  1.00715e+00  1.50650e-04
 5.32000e+00  1.00933e+00  1.47571e-04
 5.34000e+00  1.01125e+00  1.44530e-04
 5.36000e+00  1.01288e+00  1.41522e-04
 5.38000e+00  1.01419e+00  1.38546e-04
 5.40000e+00  1.01518e+00  1.35600e-04
 5.42000e+00  1.01581e+00  1.32682e-04
 5.44000e+00  1.01610e+00  1.29794e-04
 5.46000e+00  1.01605e+00  1.26937e-04
 5.48000e+00  1.01566e+00  1.24113e-04
 5.50000e+00  1.01497e+00  1.21325e-04
 5.52000e+00  1.01398e+00  1.18575e-04
 5.54000e+00  1.01274e+00  1.15868e-04
 5.56000e+00  1.01127e+00  1.13207e-04
 5.58000e+00  1.00962e+00  1.10595e-04
 5.60000e+00  1.00782e+00  1.08037e-04
 5.62000e+00  1.00592e+00  1.05534e-04
 5.64000e+00  1.00396e+00  1.03091e-04
 5.66000e+00  1.00198e+00  1.00710e-04
 5.68000e+00  1.00002e+00  9.83921e-05
 5.70000e+00  9.98133e-01  9.61403e-05
 5.72000e+00  9.96339e-01  9.39555e-05
 5.74000e+00  9.94678e-01  9.18381e-05
 5.76000e+00  9.93177e-01  8.97885e-05
 5.78000e+00  9.91862e-01  8.78064e-05
 5.80000e+00  9.90752e-01  8.58908e-05
 5.82000e+00  9.89863e-01  8.40406e-05
 5.84000e+00  9.89206e-01  8.22542e-05
 5.86000e+00  9.88786e-01  8.05295e-05
 5.88000e+00  9.88604e-01  7.88643e-05
 5.90000e+00  9.88656e-01  7.72559e-05
 5.92000e+00  9.88933e-01  7.57017e-05
 5.94000e+00  9.89423e-01  7.41986e-05
 5.96000e+00  9.90111e-01  7.27436e-05
 5.98000e+00  9.90976e-01  7.13335e-05
 6.00000e+00  9.91997e-01  6.99654e-05
 6.02000e+00  9.93148e-01  6.86360e-05
 6.04000e+00  9.94404e-01  6.73423e-05
 6.06000e+00  9.95735e-01  6.60815e-05
 6.08000e+00  9.97115e-01  6.48507e-05
 6.10000e+00  9.98514e-01  6.36473e-05
 6.12000e+00  9.99903e-01  6.24689e-05
 6.14000e+00  1.00126e+00  6.13133e-05
 6.16000e+00  1.00255e+00  6.01785e-05
 6.18000e+00  1.00375e+00  5.90627e-05
 6.20000e+00  1.00484e+00  5.79646e-05
 6.22000e+00  1.00581e+00  5.68827e-05
 6.24000e+00  1.00663e+00  5.58162e-05
 6.26000e+00  1.00730e+00  5.47643e-05
 6.28000e+00  1.00779e+00  5.37263e-05
 6.30000e+00  1.00812e+00  5.27021e-05
 6.32000e+00  1.00827e+00  5.16914e-05
 6.34000e+00  1.00825e+00  5.06943e-05
 6.36000e+00  1.00806e+00  4.97110e-05
 6.38000e+00  1.00771e+00  4.87419e-05
 6.40000e+00  1.00721e+00  4.77872e-05
 6.42000e+00  1.00658e+00  4.68477e-05
 6.44000e+00  1.00584e+00  4.59237e-05
 6.46000e+00  1.00499e+00  4.50158e-05
 6.48000e+00  1.00407e+00  4.41248e-05
 6.50000e+00  1.00309e+00  4.32510e-05
 6.52000e+00  1.00207e+00  4.23951e-05
 6.54000e+00  1.00104e+00  4.15576e-05
 6.56000e+00  1.00002e+00  4.07387e-05
 6.58000e+00  9.99034e-01  3.99388e-05
 6.60000e+00  9.98091e-01  3.91582e-05
 6.62000e+00  9.97215e-01  3.83969e-05
 6.64000e+00  9.96422e-01  3.76550e-05
 6.66000e+00  9.95725e-01  3.69323e-05
 6.68000e+00  9.95136e-01  3.62288e-05
 6.70000e+00  9.94663e-01  3.55440e-05
 6.72000e+00  9.94313e-01  3.48776e-05
 6.74000e+00  9.94089e-01  3.42292e-05
 6.76000e+00  9.93992e-01  3.35981e-05
 6.78000e+00  9.94020e-01  3.29839e-05
 6.80000e+00  9.94168e-01  3.23857e-05
 6.82000e+00  9.94431e-01  3.18030e-05
 6.84000e+00  9.94799e-01  3.12350e-05
 6.86000e+00  9.95261e-01  3.06809e-05
 6.88000e+00  9.95806e-01  3.01400e-05
 6.90000e+00  9.96420e-01  2.96115e-05
 6.92000e+00  9.97088e-01  2.90947e-05
 6.94000e+00  9.97796e-01  2.85888e-05
 6.96000e+00  9.98528e-01  2.80933e-05
 6.98000e+00  9.99269e-01  2.76073e-05
 7.00000e+00  1.00000e+00  2.71304e-05
 7.02000e+00  1.00072e+00  2.66620e-05
 7.04000e+00  1.00139e+00  2.62015e-05
 7.06000e+00  1.00203e+00  2.57486e-05
 7.08000e+00  1.00260e+00  2.53028e-05
 7.10000e+00  1.00310e+00  2.48638e-05
 7.12000e+00  1.00353e+00  2.44313e-05
 7.14000e+00  1.00387e+00  2.40051e-05
 7.16000e+00  1.00413e+00  2.35850e-05
 7.18000e+00  1.00429e+00  2.31710e-05
 7.20000e+00  1.00436e+00  2.27629e-05
 7.22000e+00  1.00435e+00  2.23607e-05
 7.24000e+00  1.00424e+00  2.19643e-05
 7.26000e+00  1.00406e+00  2.15739e-05
 7.28000e+00  1.00379e+00  2.11895e-05
 7.30000e+00  1.00346e+00  2.08110e-05
 7.32000e+00  1.00306e+00  2.04387e-05
 7.34000e+00  1.00262e+00  2.00726e-05
 7.36000e+00  1.00213e+00  1.97128e-05
 7.38000e+00  1.00161e+00  1.93594e-05
 7.40000e+00  1.00108e+00  1.90124e-05
 7.42000e+00  1.00054e+00  1.86719e-05
 7.44000e+00  9.99997e-01  1.83380e-05
 7.46000e+00  9.99473e-01  1.80108e-05
 7.48000e+00  9.98975e-01  1.76902e-05
 7.50000e+00  9.98512e-01  1.73762e-05
 7.52000e+00  9.98091e-01  1.70688e-05
 7.54000e+00  9.97721e-01  1.67680e-05
 7.56000e+00  9.97408e-01  1.64736e-05
 7.58000e+00  9.97157e-01  1.61857e-05
 7.60000e+00  9.96970e-01  1.59040e-05
 7.62000e+00  9.96850e-01  1.56285e-05
 7.64000e+00  9.96798e-01  1.53590e-05
 7.66000e+00  9.96812e-01  1.50953e-05
 7.68000e+00  9.96891e-01  1.48372e-05
 7.70000e+00  9.97031e-01  1.45846e-05
 7.72000e+00  9.97227e-01  1.43372e-05
 7.74000e+00  9.97474e-01  1.40949e-05
 7.76000e+00  9.97766e-01  1.38575e-05
 7.78000e+00  9.98095e-01  1.36246e-05
 7.80000e+00  9.98453e-01  1.33962e-05
 7.82000e+00  9.98833e-01  1.31721e-05
 7.84000e+00  9.99226e-01  1.29520e-05
 7.86000e+00  9.99623e-01  1.27358e-05
 7.88000e+00  1.00002e+00  1.25233e-05
 7.90000e+00  1.00040e+00  1.23143e-05
 7.92000e+00  1.00076e+00  1.21087e-05
 7.94000e+00  1.00110e+00  1.19064e-05
 7.96000e+00  1.00141e+00  1.17073e-05
 7.98000e+00  1.00168e+00  1.15112e-05
 8.00000e+00  1.00190e+00  1.13182e-05
 8.02000e+00  1.00209e+00  1.11280e-05
 8.04000e+00  1.00222e+00  1.09406e-05
 8.06000e+00  1.00231e+00  1.07561e-05
 8.08000e+00  1.00235e+00  1.05743e-05
 8.10000e+00  1.00233e+00  1.03953e-05
 8.12000e+00  1.00228e+00  1.02189e-05
 8.14000e+00  1.00217e+00  1.00453e-05
 8.16000e+00  1.00203e+00  9.87437e-06
 8.18000e+00  1.00185e+00  9.70616e-06
 8.20000e+00  1.00163e+00  9.54065e-06
 8.22000e+00  1.00139e+00  9.37785e-06
 8.24000e+00  1.00113e+00  9.21778e-06
 8.26000e+00  1.00085e+00  9.06043e-06
 8.28000e+00  1.00056e+00  8.90581e-06
 8.30000e+00  1.00027e+00  8.75392e-06
 8.32000e+00  9.99984e-01  8.60476e-06
 8.34000e+00  9.99703e-01  8.45833e-06
 8.36000e+00  9.99436e-01  8.31460e-06
 8.38000e+00  9.99188e-01  8.17358e-06
 8.40000e+00  9.98963e-01  8.03522e-06
 8.42000e+00  9.98765e-01  7.89952e-06
 8.44000e+00  9.98597e-01  7.76643e-06
 8.46000e+00  9.98463e-01  7.63593e-06
 8.48000e+00  9.98363e-01  7.50795e-06
 8.50000e+00  9.98299e-01  7.38247e-06
 8.52000e+00  9.98272e-01  7.25943e-06
 8.54000e+00  9.98280e-01  7.13877e-06
 8.56000e+00  9.98324e-01  7.02044e-06
 8.58000e+00  9.98400e-01  6.90438e-06
 8.60000e+00  9.98506e-01  6.79053e-06
 8.62000e+00  9.98640e-01  6.67882e-06
 8.64000e+00  9.98798e-01  6.56920e-06
 8.66000e+00  9.98976e-01  6.46159e-06
 8.68000e+00  9.99170e-01  6.35595e-06
 8.70000e+00  9.99376e-01  6.25221e-06
 8.72000e+00  9.99588e-01  6.15032e-06
 8.74000e+00  9.99803e-01  6.05022e-06
 8.76000e+00  1.00002e+00  5.95186e-06
 8.78000e+00  1.00022e+00  5.85520e-06
 8.80000e+00  1.00042e+00  5.76018e-06
 8.82000e+00  1.00060e+00  5.66677e-06
 8.84000e+00  1.00077e+00  5.57493e-06
 8.86000e+00  1.00092e+00  5.48463e-06
 8.88000e+00  1.00104e+00  5.39583e-06
 8.90000e+00  1.00114e+00  5.30853e-06
 8.92000e+00  1.00121e+00  5.22268e-06
 8.94000e+00  1.00126e+00  5.13827e-06
 8.96000e+00  1.00128e+00  5.05528e-06
 8.98000e+00  1.00127e+00  4.97371e-06
 9.00000e+00  1.00124e+00  4.89353e-06
 9.02000e+00  1.00118e+00  4.81474e-06
 9.04000e+00  1.00110e+00  4.73732e-06
 9.06000e+00  1.00100e+00  4.66128e-06
 9.08000e+00  1.00088e+00  4.58660e-06
 9.10000e+00  1.00075e+00  4.51327e-06
 9.12000e+00  1.00061e+00  4.44129e-06
 9.14000e+00  1.00046e+00  4.37065e-06
 9.16000e+00  1.00030e+00  4.30134e-06
 9.18000e+00  1.00014e+00  4.23336e-06
 9.20000e+00  9.99984e-01  4.16668e-06
 9.22000e+00  9.99831e-01  4.10131e-06
 9.24000e+00  9.99686e-01  4.03723e-06
 9.26000e+00  9.99551e-01  3.97442e-06
 9.28000e+00  9.99429e-01  3.91286e-06
 9.30000e+00  9.99322e-01  3.85256e-06
 9.32000e+00  9.99231e-01  3.79347e-06
 9.34000e+00  9.99158e-01  3.73559e-06
 9.36000e+00  9.99105e-01  3.67890e-06
 9.38000e+00  9.99071e-01  3.62336e-06
 9.40000e+00  9.99057e-01  3.56897e-06
 9.42000e+00  9.99062e-01  3.51570e-06
 9.44000e+00  9.99086e-01  3.46352e-06
 9.46000e+00  9.99128e-01  3.41241e-06
 9.48000e+00  9.99187e-01  3.36235e-06
 9.50000e+00  9.99261e-01  3.31331e-06
 9.52000e+00  9.99347e-01  3.26527e-06
 9.54000e+00  9.99445e-01  3.21821e-06
 9.56000e+00  9.99551e-01  3.17210e-06
 9.58000e+00  9.99663e-01  3.12693e-06
 9.60000e+00  9.99780e-01  3.08268e-06
 9.62000e+00  9.99897e-01  3.03931e-06
 9.64000e+00  1.00001e+00  2.99682e-06
 9.66000e+00  1.00013e+00  2.95519e-06
 9.68000e+00  1.00023e+00  2.91440e-06
 9.70000e+00  1.00033e+00  2.87444e-06
