# DFT transport data from TCCW2 Community Paper
κe[erg/s-cm-K]  pm_err[erg/s-cm-K]
1.45e7          0.02e7
5.69e7          0.15e7
4.75e7          0.22e7
7.33e7          0.53e7
6.46e7          0.19e7
6.8e7           0.01e7
