      r[a_0]     n(bound)   n(unbound)
3.201548e-05 2.116183e+01 9.394759e-01
3.241836e-05 2.128496e+01 9.449422e-01
3.282631e-05 2.140691e+01 9.503561e-01
3.323939e-05 2.152768e+01 9.557178e-01
3.365767e-05 2.164729e+01 9.610276e-01
3.408121e-05 2.176573e+01 9.662857e-01
3.451009e-05 2.188301e+01 9.714925e-01
3.494436e-05 2.199914e+01 9.766483e-01
3.538410e-05 2.211413e+01 9.817533e-01
3.582937e-05 2.222799e+01 9.868078e-01
3.628024e-05 2.234071e+01 9.918121e-01
3.673678e-05 2.245231e+01 9.967666e-01
3.719908e-05 2.256280e+01 1.001672e+00
3.766719e-05 2.267217e+01 1.006527e+00
3.814119e-05 2.278045e+01 1.011334e+00
3.862115e-05 2.288763e+01 1.016092e+00
3.910715e-05 2.299372e+01 1.020802e+00
3.959927e-05 2.309873e+01 1.025464e+00
4.009759e-05 2.320267e+01 1.030079e+00
4.060217e-05 2.330554e+01 1.034646e+00
4.111310e-05 2.340736e+01 1.039166e+00
4.163047e-05 2.350813e+01 1.043639e+00
4.215434e-05 2.360785e+01 1.048067e+00
4.268481e-05 2.370654e+01 1.052448e+00
4.322195e-05 2.380421e+01 1.056784e+00
4.376585e-05 2.390085e+01 1.061074e+00
4.431659e-05 2.399648e+01 1.065320e+00
4.487427e-05 2.409111e+01 1.069521e+00
4.543896e-05 2.418475e+01 1.073678e+00
4.601076e-05 2.427739e+01 1.077791e+00
4.658975e-05 2.436906e+01 1.081860e+00
4.717603e-05 2.445975e+01 1.085886e+00
4.776969e-05 2.454948e+01 1.089870e+00
4.837082e-05 2.463825e+01 1.093811e+00
4.897951e-05 2.472607e+01 1.097710e+00
4.959586e-05 2.481295e+01 1.101567e+00
5.021997e-05 2.489890e+01 1.105382e+00
5.085194e-05 2.498392e+01 1.109157e+00
5.149185e-05 2.506802e+01 1.112891e+00
5.213982e-05 2.515122e+01 1.116584e+00
5.279594e-05 2.523351e+01 1.120238e+00
5.346032e-05 2.531491e+01 1.123851e+00
5.413306e-05 2.539542e+01 1.127426e+00
5.481426e-05 2.547506e+01 1.130961e+00
5.550404e-05 2.555382e+01 1.134458e+00
5.620250e-05 2.563172e+01 1.137916e+00
5.690974e-05 2.570877e+01 1.141336e+00
5.762589e-05 2.578497e+01 1.144719e+00
5.835105e-05 2.586033e+01 1.148065e+00
5.908533e-05 2.593485e+01 1.151373e+00
5.982885e-05 2.600855e+01 1.154645e+00
6.058173e-05 2.608144e+01 1.157881e+00
6.134409e-05 2.615351e+01 1.161081e+00
6.211603e-05 2.622478e+01 1.164245e+00
6.289769e-05 2.629526e+01 1.167374e+00
6.368919e-05 2.636495e+01 1.170467e+00
6.449065e-05 2.643386e+01 1.173527e+00
6.530219e-05 2.650200e+01 1.176552e+00
6.612395e-05 2.656937e+01 1.179543e+00
6.695604e-05 2.663599e+01 1.182500e+00
6.779861e-05 2.670185e+01 1.185424e+00
6.865178e-05 2.676698e+01 1.188315e+00
6.951569e-05 2.683136e+01 1.191174e+00
7.039047e-05 2.689502e+01 1.194000e+00
7.127625e-05 2.695795e+01 1.196794e+00
7.217319e-05 2.702018e+01 1.199556e+00
7.308140e-05 2.708169e+01 1.202287e+00
7.400105e-05 2.714250e+01 1.204987e+00
7.493227e-05 2.720262e+01 1.207656e+00
7.587521e-05 2.726205e+01 1.210294e+00
7.683002e-05 2.732080e+01 1.212902e+00
7.779684e-05 2.737888e+01 1.215481e+00
7.877583e-05 2.743629e+01 1.218030e+00
7.976713e-05 2.749305e+01 1.220549e+00
8.077091e-05 2.754915e+01 1.223040e+00
8.178733e-05 2.760460e+01 1.225501e+00
8.281653e-05 2.765941e+01 1.227935e+00
8.385868e-05 2.771359e+01 1.230340e+00
8.491395e-05 2.776714e+01 1.232718e+00
8.598250e-05 2.782007e+01 1.235067e+00
8.706449e-05 2.787239e+01 1.237390e+00
8.816010e-05 2.792410e+01 1.239686e+00
8.926950e-05 2.797521e+01 1.241955e+00
9.039286e-05 2.802572e+01 1.244197e+00
9.153035e-05 2.807564e+01 1.246413e+00
9.268216e-05 2.812498e+01 1.248604e+00
9.384846e-05 2.817375e+01 1.250769e+00
9.502944e-05 2.822194e+01 1.252908e+00
9.622528e-05 2.826956e+01 1.255023e+00
9.743617e-05 2.831663e+01 1.257112e+00
9.866229e-05 2.836314e+01 1.259177e+00
9.990385e-05 2.840911e+01 1.261218e+00
1.011610e-04 2.845454e+01 1.263234e+00
1.024340e-04 2.849942e+01 1.265227e+00
1.037230e-04 2.854378e+01 1.267196e+00
1.050283e-04 2.858762e+01 1.269142e+00
1.063499e-04 2.863093e+01 1.271065e+00
1.076882e-04 2.867373e+01 1.272966e+00
1.090434e-04 2.871603e+01 1.274843e+00
1.104156e-04 2.875781e+01 1.276698e+00
1.118050e-04 2.879911e+01 1.278532e+00
1.132120e-04 2.883991e+01 1.280343e+00
1.146366e-04 2.888022e+01 1.282133e+00
1.160792e-04 2.892005e+01 1.283901e+00
1.175399e-04 2.895941e+01 1.285648e+00
1.190190e-04 2.899829e+01 1.287374e+00
1.205168e-04 2.903671e+01 1.289080e+00
1.220333e-04 2.907467e+01 1.290765e+00
1.235690e-04 2.911217e+01 1.292430e+00
1.251240e-04 2.914922e+01 1.294075e+00
1.266985e-04 2.918582e+01 1.295700e+00
1.282929e-04 2.922199e+01 1.297305e+00
1.299073e-04 2.925771e+01 1.298891e+00
1.315420e-04 2.929301e+01 1.300458e+00
1.331973e-04 2.932787e+01 1.302006e+00
1.348735e-04 2.936232e+01 1.303535e+00
1.365707e-04 2.939634e+01 1.305046e+00
1.382893e-04 2.942995e+01 1.306538e+00
1.400295e-04 2.946316e+01 1.308012e+00
1.417916e-04 2.949596e+01 1.309468e+00
1.435759e-04 2.952835e+01 1.310906e+00
1.453827e-04 2.956036e+01 1.312327e+00
1.472121e-04 2.959197e+01 1.313730e+00
1.490646e-04 2.962319e+01 1.315117e+00
1.509405e-04 2.965403e+01 1.316486e+00
1.528399e-04 2.968450e+01 1.317838e+00
1.547632e-04 2.971459e+01 1.319174e+00
1.567107e-04 2.974431e+01 1.320493e+00
1.586828e-04 2.977366e+01 1.321797e+00
1.606796e-04 2.980265e+01 1.323084e+00
1.627016e-04 2.983128e+01 1.324355e+00
1.647490e-04 2.985956e+01 1.325610e+00
1.668222e-04 2.988748e+01 1.326850e+00
1.689214e-04 2.991506e+01 1.328074e+00
1.710471e-04 2.994230e+01 1.329283e+00
1.731996e-04 2.996920e+01 1.330478e+00
1.753791e-04 2.999576e+01 1.331657e+00
1.775860e-04 3.002199e+01 1.332821e+00
1.798208e-04 3.004790e+01 1.333971e+00
1.820836e-04 3.007348e+01 1.335107e+00
1.843749e-04 3.009873e+01 1.336228e+00
