      r[a_0]     n(bound)   n(unbound)
6.144212e-06 1.359589e+00 2.123145e-04
6.224921e-06 5.368073e+00 8.382826e-04
6.306691e-06 1.192241e+01 1.861813e-03
6.389534e-06 2.092266e+01 3.267299e-03
6.473465e-06 3.227190e+01 5.039606e-03
6.558499e-06 4.587616e+01 7.164057e-03
6.644650e-06 6.164429e+01 9.626422e-03
6.731933e-06 7.948797e+01 1.241290e-02
6.820362e-06 9.932151e+01 1.551013e-02
6.909953e-06 1.210619e+02 1.890513e-02
7.000721e-06 1.446287e+02 2.258533e-02
7.092680e-06 1.699438e+02 2.653856e-02
7.185848e-06 1.969317e+02 3.075301e-02
7.280240e-06 2.255191e+02 3.521725e-02
7.375872e-06 2.556351e+02 3.992019e-02
7.472760e-06 2.872109e+02 4.485109e-02
7.570920e-06 3.201799e+02 4.999956e-02
7.670370e-06 3.544776e+02 5.535551e-02
7.771126e-06 3.900415e+02 6.090919e-02
7.873206e-06 4.268111e+02 6.665116e-02
7.976627e-06 4.647278e+02 7.257226e-02
8.081406e-06 5.037349e+02 7.866364e-02
8.187561e-06 5.437774e+02 8.491672e-02
8.295111e-06 5.848024e+02 9.132321e-02
8.404074e-06 6.267582e+02 9.787506e-02
8.514468e-06 6.695952e+02 1.045645e-01
8.626312e-06 7.132651e+02 1.113840e-01
8.739626e-06 7.577214e+02 1.183264e-01
8.854428e-06 8.029191e+02 1.253845e-01
8.970737e-06 8.488146e+02 1.325516e-01
9.088575e-06 8.953656e+02 1.398210e-01
9.207960e-06 9.425316e+02 1.471865e-01
9.328914e-06 9.902730e+02 1.546418e-01
9.451457e-06 1.038552e+03 1.621811e-01
9.575609e-06 1.087332e+03 1.697986e-01
9.701392e-06 1.136576e+03 1.774886e-01
9.828827e-06 1.186252e+03 1.852460e-01
9.957937e-06 1.236325e+03 1.930655e-01
1.008874e-05 1.286763e+03 2.009420e-01
1.022127e-05 1.337537e+03 2.088708e-01
1.035553e-05 1.388615e+03 2.168473e-01
1.049156e-05 1.439970e+03 2.248668e-01
1.062937e-05 1.491572e+03 2.329251e-01
1.076900e-05 1.543397e+03 2.410181e-01
1.091046e-05 1.595417e+03 2.491415e-01
1.105377e-05 1.647607e+03 2.572917e-01
1.119897e-05 1.699945e+03 2.654647e-01
1.134608e-05 1.752406e+03 2.736571e-01
1.149512e-05 1.804968e+03 2.818652e-01
1.164612e-05 1.857610e+03 2.900858e-01
