      r[a_0]     n(bound)   n(unbound)
3.440300e-05 5.483887e+03 2.302178e-09
3.485491e-05 5.514277e+03 2.314936e-09
3.531276e-05 5.544353e+03 2.327562e-09
3.577662e-05 5.574115e+03 2.340057e-09
3.624657e-05 5.603567e+03 2.352421e-09
3.672270e-05 5.632710e+03 2.364656e-09
3.720508e-05 5.661546e+03 2.376762e-09
3.769380e-05 5.690078e+03 2.388740e-09
3.818894e-05 5.718306e+03 2.400590e-09
3.869058e-05 5.746233e+03 2.412315e-09
3.919881e-05 5.773861e+03 2.423914e-09
3.971372e-05 5.801193e+03 2.435388e-09
4.023539e-05 5.828230e+03 2.446739e-09
4.076391e-05 5.854975e+03 2.457967e-09
4.129938e-05 5.881429e+03 2.469073e-09
4.184188e-05 5.907594e+03 2.480058e-09
4.239150e-05 5.933474e+03 2.490922e-09
4.294835e-05 5.959070e+03 2.501668e-09
4.351251e-05 5.984383e+03 2.512295e-09
4.408408e-05 6.009417e+03 2.522806e-09
4.466316e-05 6.034174e+03 2.533199e-09
4.524984e-05 6.058656e+03 2.543477e-09
4.584423e-05 6.082864e+03 2.553641e-09
4.644643e-05 6.106801e+03 2.563690e-09
4.705654e-05 6.130470e+03 2.573627e-09
4.767467e-05 6.153872e+03 2.583452e-09
4.830091e-05 6.177011e+03 2.593167e-09
4.893538e-05 6.199887e+03 2.602771e-09
4.957819e-05 6.222503e+03 2.612266e-09
5.022943e-05 6.244861e+03 2.621653e-09
5.088924e-05 6.266964e+03 2.630933e-09
5.155771e-05 6.288814e+03 2.640107e-09
5.223496e-05 6.310413e+03 2.649175e-09
5.292110e-05 6.331763e+03 2.658139e-09
5.361626e-05 6.352866e+03 2.666999e-09
5.432055e-05 6.373725e+03 2.675757e-09
5.503410e-05 6.394341e+03 2.684413e-09
5.575701e-05 6.414717e+03 2.692969e-09
5.648942e-05 6.434856e+03 2.701424e-09
5.723146e-05 6.454758e+03 2.709781e-09
5.798324e-05 6.474427e+03 2.718040e-09
5.874489e-05 6.493865e+03 2.726201e-09
5.951655e-05 6.513073e+03 2.734267e-09
6.029835e-05 6.532054e+03 2.742237e-09
6.109041e-05 6.550809e+03 2.750112e-09
6.189288e-05 6.569342e+03 2.757894e-09
6.270589e-05 6.587653e+03 2.765584e-09
6.352959e-05 6.605746e+03 2.773181e-09
6.436410e-05 6.623622e+03 2.780688e-09
6.520957e-05 6.641284e+03 2.788105e-09
6.606615e-05 6.658732e+03 2.795433e-09
6.693398e-05 6.675970e+03 2.802672e-09
6.781321e-05 6.693000e+03 2.809824e-09
6.870399e-05 6.709823e+03 2.816889e-09
6.960647e-05 6.726441e+03 2.823869e-09
7.052080e-05 6.742857e+03 2.830764e-09
7.144715e-05 6.759072e+03 2.837574e-09
7.238566e-05 6.775088e+03 2.844302e-09
7.333650e-05 6.790908e+03 2.850947e-09
7.429984e-05 6.806533e+03 2.857510e-09
7.527582e-05 6.821965e+03 2.863993e-09
7.626463e-05 6.837206e+03 2.870396e-09
7.726642e-05 6.852259e+03 2.876720e-09
7.828138e-05 6.867124e+03 2.882965e-09
7.930967e-05 6.881803e+03 2.889133e-09
8.035146e-05 6.896300e+03 2.895224e-09
8.140694e-05 6.910614e+03 2.901240e-09
8.247628e-05 6.924749e+03 2.907180e-09
8.355967e-05 6.938706e+03 2.913045e-09
8.465729e-05 6.952487e+03 2.918837e-09
8.576933e-05 6.966093e+03 2.924557e-09
8.689598e-05 6.979527e+03 2.930204e-09
8.803743e-05 6.992790e+03 2.935780e-09
8.919387e-05 7.005883e+03 2.941285e-09
9.036550e-05 7.018809e+03 2.946720e-09
9.155252e-05 7.031570e+03 2.952086e-09
9.275513e-05 7.044166e+03 2.957384e-09
9.397354e-05 7.056600e+03 2.962614e-09
9.520796e-05 7.068873e+03 2.967777e-09
