# DFT transport data from TCCW2 Community Paper
σ[1/Ω-cm]   pm_err[1/Ω-cm]
2.461e4     0.004e4
2.03e4      0.05e4
1.38e4      0.08e4
2.6e4       0.13e4
2.38e4      0.07e4
2.44e4      0.04e4
