      r[a_0]     n(bound)   n(unbound)
3.440300e-05 5.483887e+03 6.085328e-03
3.485491e-05 5.514277e+03 6.119051e-03
3.531276e-05 5.544353e+03 6.152425e-03
3.577662e-05 5.574115e+03 6.185452e-03
3.624657e-05 5.603567e+03 6.218134e-03
3.672270e-05 5.632710e+03 6.250473e-03
3.720508e-05 5.661546e+03 6.282472e-03
3.769380e-05 5.690077e+03 6.314132e-03
3.818894e-05 5.718306e+03 6.345456e-03
3.869058e-05 5.746233e+03 6.376446e-03
3.919881e-05 5.773861e+03 6.407105e-03
3.971372e-05 5.801193e+03 6.437434e-03
4.023539e-05 5.828230e+03 6.467436e-03
4.076391e-05 5.854975e+03 6.497114e-03
4.129938e-05 5.881429e+03 6.526469e-03
4.184188e-05 5.907594e+03 6.555505e-03
4.239150e-05 5.933474e+03 6.584223e-03
4.294835e-05 5.959070e+03 6.612625e-03
4.351251e-05 5.984383e+03 6.640715e-03
4.408408e-05 6.009417e+03 6.668495e-03
4.466316e-05 6.034174e+03 6.695967e-03
4.524984e-05 6.058656e+03 6.723133e-03
4.584423e-05 6.082864e+03 6.749997e-03
4.644643e-05 6.106801e+03 6.776559e-03
4.705654e-05 6.130470e+03 6.802824e-03
4.767467e-05 6.153872e+03 6.828793e-03
4.830091e-05 6.177011e+03 6.854468e-03
4.893538e-05 6.199887e+03 6.879853e-03
4.957819e-05 6.222503e+03 6.904950e-03
5.022943e-05 6.244861e+03 6.929760e-03
5.088924e-05 6.266964e+03 6.954288e-03
5.155771e-05 6.288814e+03 6.978534e-03
5.223496e-05 6.310413e+03 7.002501e-03
5.292110e-05 6.331763e+03 7.026193e-03
5.361626e-05 6.352866e+03 7.049610e-03
5.432055e-05 6.373725e+03 7.072757e-03
5.503410e-05 6.394341e+03 7.095634e-03
5.575701e-05 6.414717e+03 7.118245e-03
5.648942e-05 6.434856e+03 7.140592e-03
5.723146e-05 6.454758e+03 7.162677e-03
5.798324e-05 6.474427e+03 7.184503e-03
5.874489e-05 6.493865e+03 7.206072e-03
5.951655e-05 6.513073e+03 7.227387e-03
6.029835e-05 6.532053e+03 7.248449e-03
6.109041e-05 6.550809e+03 7.269262e-03
6.189288e-05 6.569342e+03 7.289827e-03
6.270589e-05 6.587653e+03 7.310147e-03
6.352959e-05 6.605746e+03 7.330224e-03
6.436410e-05 6.623622e+03 7.350060e-03
6.520957e-05 6.641284e+03 7.369659e-03
6.606615e-05 6.658732e+03 7.389021e-03
6.693398e-05 6.675970e+03 7.408149e-03
6.781321e-05 6.693000e+03 7.427046e-03
6.870399e-05 6.709823e+03 7.445714e-03
6.960647e-05 6.726441e+03 7.464155e-03
7.052080e-05 6.742857e+03 7.482371e-03
7.144715e-05 6.759072e+03 7.500364e-03
7.238566e-05 6.775088e+03 7.518137e-03
7.333650e-05 6.790908e+03 7.535692e-03
7.429984e-05 6.806533e+03 7.553030e-03
7.527582e-05 6.821965e+03 7.570155e-03
7.626463e-05 6.837206e+03 7.587068e-03
7.726642e-05 6.852259e+03 7.603771e-03
7.828138e-05 6.867124e+03 7.620266e-03
7.930967e-05 6.881803e+03 7.636555e-03
8.035146e-05 6.896300e+03 7.652641e-03
8.140694e-05 6.910614e+03 7.668526e-03
8.247628e-05 6.924749e+03 7.684211e-03
8.355967e-05 6.938706e+03 7.699698e-03
8.465729e-05 6.952487e+03 7.714990e-03
8.576933e-05 6.966093e+03 7.730089e-03
8.689598e-05 6.979527e+03 7.744995e-03
8.803743e-05 6.992790e+03 7.759713e-03
8.919387e-05 7.005883e+03 7.774242e-03
9.036550e-05 7.018809e+03 7.788586e-03
9.155252e-05 7.031570e+03 7.802745e-03
9.275513e-05 7.044166e+03 7.816723e-03
9.397354e-05 7.056600e+03 7.830520e-03
9.520796e-05 7.068873e+03 7.844139e-03
9.645859e-05 7.080987e+03 7.857581e-03
9.772565e-05 7.092943e+03 7.870849e-03
9.900935e-05 7.104744e+03 7.883943e-03
