      r[a_0]     n[bound]   n[unbound]
6.144212e-06 4.903742e-03 3.091601e-04
6.183945e-06 1.948914e-02 1.228707e-03
6.223935e-06 4.356957e-02 2.746876e-03
6.264184e-06 7.696120e-02 4.852077e-03
6.304693e-06 1.194830e-01 7.532893e-03
6.345463e-06 1.709565e-01 1.077808e-02
6.386498e-06 2.312061e-01 1.457656e-02
6.427798e-06 3.000587e-01 1.891743e-02
6.469365e-06 3.773440e-01 2.378993e-02
6.511200e-06 4.628940e-01 2.918350e-02
6.553306e-06 5.565434e-01 3.508770e-02
6.595685e-06 6.581294e-01 4.149226e-02
6.638337e-06 7.674916e-01 4.838708e-02
6.681266e-06 8.844721e-01 5.576221e-02
6.724472e-06 1.008915e+00 6.360783e-02
6.767957e-06 1.140668e+00 7.191429e-02
6.811724e-06 1.279580e+00 8.067207e-02
6.855773e-06 1.425502e+00 8.987182e-02
6.900108e-06 1.578287e+00 9.950432e-02
6.944729e-06 1.737793e+00 1.095605e-01
6.989639e-06 1.903877e+00 1.200313e-01
7.034839e-06 2.076399e+00 1.309081e-01
7.080331e-06 2.255222e+00 1.421822e-01
7.126118e-06 2.440211e+00 1.538449e-01
7.172201e-06 2.631231e+00 1.658880e-01
7.218581e-06 2.828153e+00 1.783030e-01
7.265262e-06 3.030846e+00 1.910820e-01
7.312245e-06 3.239184e+00 2.042168e-01
7.359531e-06 3.453042e+00 2.176996e-01
7.407123e-06 3.672295e+00 2.315226e-01
7.455023e-06 3.896822e+00 2.456781e-01
7.503233e-06 4.126505e+00 2.601586e-01
7.551754e-06 4.361225e+00 2.749567e-01
7.600589e-06 4.600867e+00 2.900651e-01
7.649740e-06 4.845316e+00 3.054766e-01
7.699209e-06 5.094461e+00 3.211841e-01
7.748998e-06 5.348191e+00 3.371807e-01
7.799109e-06 5.606397e+00 3.534595e-01
7.849543e-06 5.868972e+00 3.700137e-01
7.900304e-06 6.135811e+00 3.868368e-01
7.951393e-06 6.406811e+00 4.039222e-01
8.002813e-06 6.681869e+00 4.212635e-01
8.054565e-06 6.960885e+00 4.388542e-01
8.106652e-06 7.243761e+00 4.566883e-01
8.159075e-06 7.530398e+00 4.747596e-01
8.211838e-06 7.820702e+00 4.930620e-01
8.264942e-06 8.114578e+00 5.115897e-01
8.318389e-06 8.411934e+00 5.303367e-01
8.372182e-06 8.712678e+00 5.492973e-01
8.426322e-06 9.016721e+00 5.684660e-01
8.480813e-06 9.323975e+00 5.878370e-01
8.535656e-06 9.634353e+00 6.074050e-01
8.590854e-06 9.947769e+00 6.271646e-01
8.646409e-06 1.026414e+01 6.471104e-01
8.702323e-06 1.058338e+01 6.672373e-01
8.758599e-06 1.090542e+01 6.875402e-01
8.815238e-06 1.123016e+01 7.080139e-01
8.872244e-06 1.155754e+01 7.286536e-01
8.929618e-06 1.188747e+01 7.494543e-01
8.987364e-06 1.221988e+01 7.704113e-01
9.045483e-06 1.255469e+01 7.915198e-01
9.103978e-06 1.289183e+01 8.127752e-01
9.162851e-06 1.323123e+01 8.341730e-01
9.222104e-06 1.357282e+01 8.557086e-01
9.281741e-06 1.391652e+01 8.773777e-01
9.341764e-06 1.426228e+01 8.991759e-01
9.402175e-06 1.461001e+01 9.210989e-01
9.462976e-06 1.495965e+01 9.431425e-01
9.524170e-06 1.531115e+01 9.653027e-01
9.585761e-06 1.566442e+01 9.875753e-01
9.647749e-06 1.601942e+01 1.009956e+00
9.710139e-06 1.637608e+01 1.032442e+00
9.772932e-06 1.673433e+01 1.055028e+00
9.836131e-06 1.709412e+01 1.077712e+00
9.899738e-06 1.745539e+01 1.100488e+00
9.963757e-06 1.781808e+01 1.123354e+00
1.002819e-05 1.818213e+01 1.146306e+00
1.009304e-05 1.854748e+01 1.169340e+00
1.015831e-05 1.891409e+01 1.192453e+00
1.022400e-05 1.928190e+01 1.215642e+00
1.029012e-05 1.965085e+01 1.238903e+00
1.035666e-05 2.002090e+01 1.262232e+00
1.042363e-05 2.039198e+01 1.285628e+00
1.049104e-05 2.076406e+01 1.309085e+00
1.055888e-05 2.113707e+01 1.332603e+00
1.062716e-05 2.151098e+01 1.356176e+00
1.069589e-05 2.188573e+01 1.379802e+00
1.076505e-05 2.226128e+01 1.403479e+00
1.083467e-05 2.263758e+01 1.427203e+00
1.090473e-05 2.301458e+01 1.450972e+00
1.097525e-05 2.339225e+01 1.474782e+00
1.104623e-05 2.377053e+01 1.498631e+00
1.111766e-05 2.414939e+01 1.522516e+00
1.118955e-05 2.452877e+01 1.546435e+00
1.126191e-05 2.490865e+01 1.570385e+00
1.133474e-05 2.528898e+01 1.594363e+00
1.140804e-05 2.566972e+01 1.618367e+00
1.148181e-05 2.605083e+01 1.642394e+00
1.155606e-05 2.643227e+01 1.666443e+00
1.163079e-05 2.681401e+01 1.690509e+00
1.170601e-05 2.719600e+01 1.714593e+00
1.178171e-05 2.757822e+01 1.738690e+00
1.185790e-05 2.796062e+01 1.762798e+00
1.193458e-05 2.834317e+01 1.786917e+00
1.201176e-05 2.872584e+01 1.811042e+00
1.208943e-05 2.910859e+01 1.835173e+00
1.216761e-05 2.949139e+01 1.859307e+00
1.224630e-05 2.987420e+01 1.883441e+00
1.232549e-05 3.025700e+01 1.907575e+00
1.240520e-05 3.063975e+01 1.931706e+00
1.248542e-05 3.102243e+01 1.955832e+00
1.256616e-05 3.140500e+01 1.979952e+00
1.264742e-05 3.178743e+01 2.004062e+00
1.272921e-05 3.216970e+01 2.028163e+00
1.281152e-05 3.255177e+01 2.052251e+00
1.289437e-05 3.293362e+01 2.076325e+00
1.297776e-05 3.331523e+01 2.100383e+00
1.306168e-05 3.369655e+01 2.124425e+00
1.314615e-05 3.407758e+01 2.148447e+00
1.323116e-05 3.445828e+01 2.172448e+00
1.331672e-05 3.483863e+01 2.196427e+00
1.340284e-05 3.521860e+01 2.220383e+00
1.348951e-05 3.559817e+01 2.244313e+00
1.357674e-05 3.597731e+01 2.268217e+00
1.366454e-05 3.635601e+01 2.292092e+00
1.375290e-05 3.673424e+01 2.315938e+00
1.384184e-05 3.711197e+01 2.339752e+00
1.393135e-05 3.748919e+01 2.363534e+00
1.402144e-05 3.786588e+01 2.387283e+00
1.411212e-05 3.824201e+01 2.410996e+00
1.420337e-05 3.861757e+01 2.434673e+00
1.429522e-05 3.899252e+01 2.458313e+00
1.438767e-05 3.936687e+01 2.481914e+00
1.448071e-05 3.974057e+01 2.505474e+00
1.457435e-05 4.011363e+01 2.528994e+00
1.466860e-05 4.048601e+01 2.552471e+00
1.476346e-05 4.085770e+01 2.575905e+00
1.485893e-05 4.122869e+01 2.599294e+00
1.495502e-05 4.159896e+01 2.622637e+00
1.505173e-05 4.196848e+01 2.645934e+00
1.514906e-05 4.233724e+01 2.669183e+00
1.524703e-05 4.270524e+01 2.692384e+00
1.534563e-05 4.307244e+01 2.715535e+00
1.544486e-05 4.343885e+01 2.738635e+00
1.554474e-05 4.380443e+01 2.761683e+00
1.564527e-05 4.416918e+01 2.784679e+00
1.574644e-05 4.453309e+01 2.807622e+00
1.584827e-05 4.489613e+01 2.830511e+00
1.595075e-05 4.525831e+01 2.853344e+00
1.605390e-05 4.561959e+01 2.876121e+00
1.615772e-05 4.597998e+01 2.898842e+00
1.626221e-05 4.633945e+01 2.921505e+00
1.636737e-05 4.669800e+01 2.944110e+00
1.647321e-05 4.705561e+01 2.966656e+00
1.657974e-05 4.741228e+01 2.989143e+00
1.668696e-05 4.776799e+01 3.011569e+00
1.679487e-05 4.812272e+01 3.033933e+00
1.690348e-05 4.847648e+01 3.056236e+00
1.701279e-05 4.882925e+01 3.078476e+00
1.712280e-05 4.918101e+01 3.100654e+00
1.723353e-05 4.953177e+01 3.122767e+00
