# DFT transport data from TCCW2 Community Paper
σ[1/Ω-cm]   pm_err[1/Ω-cm]
1.63e4      0.03e4
1.69e4      0.06e4
1.04e4		0.06e4
1.60e4		0.01e4
1.26e4      0.06e4
1.58e4      0.04e4
