     x         r      Vcoul     Vexc       V        rV      dNedr_b    dNedr_s   dNedr_f   dNedr      ne_b      ne_s      ne_f     ne
7.7054e-04 1.0751e-03 9.288e+02 2.656e-01 9.291e+02 9.989e-01 0.000e+00 6.115e-06 3.995e-05 6.115e-06 0.000e+00 4.210e-01 2.751e+00 4.210e-01 
7.7614e-04 1.0829e-03 9.221e+02 2.656e-01 9.224e+02 9.989e-01 0.000e+00 6.204e-06 4.039e-05 6.204e-06 0.000e+00 4.210e-01 2.741e+00 4.210e-01 
7.8178e-04 1.0908e-03 9.155e+02 2.656e-01 9.157e+02 9.989e-01 0.000e+00 6.295e-06 4.083e-05 6.295e-06 0.000e+00 4.210e-01 2.731e+00 4.210e-01 
7.8746e-04 1.0987e-03 9.089e+02 2.656e-01 9.091e+02 9.989e-01 0.000e+00 6.386e-06 4.127e-05 6.386e-06 0.000e+00 4.210e-01 2.721e+00 4.210e-01 
7.9318e-04 1.1067e-03 9.023e+02 2.656e-01 9.026e+02 9.988e-01 0.000e+00 6.480e-06 4.173e-05 6.480e-06 0.000e+00 4.210e-01 2.711e+00 4.210e-01 
7.9895e-04 1.1147e-03 8.958e+02 2.656e-01 8.960e+02 9.988e-01 0.000e+00 6.574e-06 4.218e-05 6.574e-06 0.000e+00 4.210e-01 2.701e+00 4.210e-01 
8.0475e-04 1.1228e-03 8.893e+02 2.656e-01 8.896e+02 9.988e-01 0.000e+00 6.670e-06 4.264e-05 6.670e-06 0.000e+00 4.210e-01 2.691e+00 4.210e-01 
8.1060e-04 1.1310e-03 8.829e+02 2.656e-01 8.831e+02 9.988e-01 0.000e+00 6.767e-06 4.311e-05 6.767e-06 0.000e+00 4.210e-01 2.682e+00 4.210e-01 
8.1649e-04 1.1392e-03 8.765e+02 2.656e-01 8.768e+02 9.988e-01 0.000e+00 6.866e-06 4.358e-05 6.866e-06 0.000e+00 4.210e-01 2.672e+00 4.210e-01 
8.2243e-04 1.1475e-03 8.702e+02 2.656e-01 8.704e+02 9.988e-01 0.000e+00 6.966e-06 4.405e-05 6.966e-06 0.000e+00 4.210e-01 2.662e+00 4.210e-01 
8.2840e-04 1.1558e-03 8.639e+02 2.656e-01 8.641e+02 9.988e-01 0.000e+00 7.068e-06 4.453e-05 7.068e-06 0.000e+00 4.210e-01 2.653e+00 4.210e-01 
8.3442e-04 1.1642e-03 8.576e+02 2.656e-01 8.579e+02 9.988e-01 0.000e+00 7.171e-06 4.502e-05 7.171e-06 0.000e+00 4.210e-01 2.643e+00 4.210e-01 
8.4049e-04 1.1727e-03 8.514e+02 2.656e-01 8.517e+02 9.988e-01 0.000e+00 7.275e-06 4.551e-05 7.275e-06 0.000e+00 4.210e-01 2.634e+00 4.210e-01 
8.4660e-04 1.1812e-03 8.453e+02 2.656e-01 8.455e+02 9.988e-01 0.000e+00 7.381e-06 4.601e-05 7.381e-06 0.000e+00 4.210e-01 2.624e+00 4.210e-01 
8.5275e-04 1.1898e-03 8.392e+02 2.656e-01 8.394e+02 9.988e-01 0.000e+00 7.489e-06 4.651e-05 7.489e-06 0.000e+00 4.210e-01 2.615e+00 4.210e-01 
8.5894e-04 1.1984e-03 8.331e+02 2.656e-01 8.334e+02 9.988e-01 0.000e+00 7.598e-06 4.702e-05 7.598e-06 0.000e+00 4.210e-01 2.605e+00 4.210e-01 
8.6519e-04 1.2071e-03 8.271e+02 2.656e-01 8.274e+02 9.987e-01 0.000e+00 7.709e-06 4.753e-05 7.709e-06 0.000e+00 4.210e-01 2.596e+00 4.210e-01 
8.7147e-04 1.2159e-03 8.211e+02 2.656e-01 8.214e+02 9.987e-01 0.000e+00 7.821e-06 4.805e-05 7.821e-06 0.000e+00 4.210e-01 2.586e+00 4.210e-01 
8.7781e-04 1.2248e-03 8.152e+02 2.656e-01 8.154e+02 9.987e-01 0.000e+00 7.936e-06 4.858e-05 7.936e-06 0.000e+00 4.210e-01 2.577e+00 4.210e-01 
8.8419e-04 1.2337e-03 8.093e+02 2.655e-01 8.096e+02 9.987e-01 0.000e+00 8.051e-06 4.911e-05 8.051e-06 0.000e+00 4.210e-01 2.568e+00 4.210e-01 
8.9061e-04 1.2426e-03 8.034e+02 2.655e-01 8.037e+02 9.987e-01 0.000e+00 8.169e-06 4.964e-05 8.169e-06 0.000e+00 4.210e-01 2.558e+00 4.210e-01 
8.9708e-04 1.2517e-03 7.976e+02 2.655e-01 7.979e+02 9.987e-01 0.000e+00 8.288e-06 5.018e-05 8.288e-06 0.000e+00 4.210e-01 2.549e+00 4.210e-01 
9.0360e-04 1.2607e-03 7.919e+02 2.655e-01 7.921e+02 9.987e-01 0.000e+00 8.409e-06 5.073e-05 8.409e-06 0.000e+00 4.210e-01 2.540e+00 4.210e-01 
9.1017e-04 1.2699e-03 7.861e+02 2.655e-01 7.864e+02 9.987e-01 0.000e+00 8.531e-06 5.129e-05 8.531e-06 0.000e+00 4.210e-01 2.531e+00 4.210e-01 
9.1678e-04 1.2791e-03 7.805e+02 2.655e-01 7.807e+02 9.987e-01 0.000e+00 8.656e-06 5.185e-05 8.656e-06 0.000e+00 4.210e-01 2.522e+00 4.210e-01 
