r[aB]    gii
0        0
9.976e-1 8.219e-3
1.161e+0 3.699e-2
1.271e+0 8.630e-2
1.358e+0 1.753e-1
1.440e+0 2.685e-1
1.498e+0 3.822e-1
1.687e+0 6.644e-1
1.836e+0 8.315e-1
2.081e+0 9.849e-1
2.240e+0 1.045e+0
2.418e+0 1.055e+0
2.513e+0 1.062e+0
2.605e+0 1.066e+0
2.696e+0 1.053e+0
2.825e+0 1.044e+0
3.094e+0 1.023e+0
3.242e+0 1.016e+0
3.420e+0 1.012e+0
3.664e+0 1.003e+0
3.823e+0 1.003e+0
4.129e+0 9.986e-1
4.590e+0 1.005e+0
4.815e+0 1.004e+0
5.228e+0 1.007e+0
5.703e+0 1.008e+0
