# r/rs, g(r/rs)
0., 0.
8.777912500000000229e-01, 1.123595505617979926e-02
1.014855000000000063e+00, 1.011235955056180025e-01
1.096509999999999874e+00, 2.865168539325843033e-01
1.213159999999999794e+00, 6.573033707865167941e-01
1.393967500000000026e+00, 1.191011235955056202e+00
1.501868750000000086e+00, 1.303370786516854007e+00
1.598104999999999887e+00, 1.314606741573033588e+00
1.723503750000000112e+00, 1.247191011235954994e+00
1.822656250000000089e+00, 1.157303370786516794e+00
1.921808750000000288e+00, 1.112359550561797805e+00
2.032626249999999857e+00, 1.044943820224719211e+00
2.120113750000000241e+00, 9.943820224719099876e-01
2.228015000000000079e+00, 9.662921348314608139e-01
2.318418750000000195e+00, 9.606741573033708015e-01
2.432152499999999939e+00, 9.550561797752807891e-01
2.589630000000000098e+00, 9.775280898876403946e-01
2.755856249999999896e+00, 1.028089887640449396e+00
2.913333750000000055e+00, 1.028089887640449396e+00
3.050397499999999873e+00, 1.039325842696629199e+00
3.172879999999999701e+00, 1.050561797752809001e+00
